date,value
1949-05-30,2392.37
1949-06-29,1982.87
1949-07-28,1967.89
1949-08-30,2374.21
1949-09-29,2203.81
1949-10-30,1926.38
1949-11-29,1664.85
1949-12-27,1502.23
1950-01-30,1270.2
1950-02-27,1474.72
1950-03-30,1334.12
1950-04-27,1357.35
1950-05-30,1282.35
1950-06-29,1167.86
1950-07-30,1306.17
1950-08-30,1520.55
1950-09-28,1369.3
1950-10-30,1391.99
1950-11-29,1433.24
1950-12-27,1314.89
1951-01-30,1465.87
1951-02-27,1529.22
1951-03-29,1541.79
1951-04-29,1510.54
1951-05-30,1584.53
1951-06-28,1628.12
1951-07-30,1692.39
1951-08-30,1809.58
1951-09-27,1890.87
1951-10-30,2032.5
1951-11-29,1922.54
1951-12-27,2021.3
1952-01-30,2300.04
1952-02-28,2224.81
1952-03-30,2152.57
1952-04-29,2476.88
1952-05-29,2719.04
1952-06-29,2996.17
1952-07-30,3059.01
1952-08-28,3068.8
1952-09-29,3248.56
1952-10-30,3784.11
1952-11-27,4245.85
1952-12-25,4396.37
1953-01-29,5481.6
1953-02-26,4870.18
1953-03-30,3723.4
1953-04-29,4115.32
1953-05-28,4030.08
1953-06-29,4167.66
1953-07-30,4647.41
1953-08-30,4910
1953-09-29,5406.43
1953-10-29,5109.37
1953-11-29,5072.96
1953-12-27,4532.04
1954-01-28,4259.12
1954-02-25,4235.38
1954-03-30,3873.01
1954-04-29,4159.95
1954-05-30,3906.95
1954-06-29,4173.99
1954-07-29,3947.71
1954-08-30,4137.17
1954-09-29,4228.56
1954-10-28,3960.28
1954-11-29,3933.92
1954-12-27,4301.9
1955-01-30,4463.3
1955-02-27,4433.58
1955-03-30,4246.45
1955-04-27,4182.3
1955-05-30,4227.48
1955-06-29,4258.17
1955-07-28,4401.39
1955-08-30,4659.32
1955-09-29,4657.59
1955-10-30,4906.4
1955-11-29,4715.87
1955-12-27,5123.54
1956-01-30,5096.7
1956-02-28,5288.44
1956-03-29,5471.02
1956-04-29,5675.87
1956-05-30,5835.13
1956-06-28,5962.99
1956-07-30,5890.15
1956-08-30,5833.16
1956-09-27,5774.9
1956-10-30,5960.46
1956-11-29,6528.4
1956-12-27,6417.8
1957-01-30,6635.64
1957-02-27,6656.63
1957-03-28,6750.34
1957-04-29,6817.6
1957-05-30,5995.49
1957-06-27,5999.86
1957-07-30,5541.21
1957-08-29,6035.08
1957-09-29,6033.49
1957-10-30,5822.17
1957-11-28,5561.91
1957-12-26,5355.53
1958-01-30,5895.2
1958-02-27,5956.78
1958-03-30,5935.79
1958-04-29,6212.03
1958-05-29,6249.98
1958-06-29,6522.88
1958-07-30,6357.79
1958-08-28,6589.95
1958-09-29,6542.74
1958-10-30,6782.93
1958-11-27,6940.51
1958-12-25,7416.45
1959-01-29,7669.5
1959-02-26,7993.6
1959-03-30,8536.71
1959-04-29,8294.04
1959-05-28,8855.86
1959-06-29,8979.28
1959-07-30,9443.86
1959-08-30,9737.92
1959-09-29,9935.32
1959-10-29,10477.09
1959-11-29,10718.35
1959-12-27,9598.71
1960-01-28,10491.82
1960-02-28,11136.69
1960-03-30,11624.15
1960-04-27,11940.66
1960-05-30,10808.2
1960-06-29,11874.06
1960-07-28,11914.81
1960-08-30,12812.54
1960-09-29,13365.25
1960-10-30,13530.89
1960-11-29,13932.58
1960-12-27,14685.29
1961-01-30,16169.72
1961-02-27,16501.81
1961-03-30,17179.08
1961-04-27,17811.75
1961-05-30,18177.39
1961-06-29,18802.17
1961-07-30,18765.09
1961-08-30,17286.36
1961-09-28,16393.95
1961-10-30,14294.94
1961-11-29,14254.83
1961-12-27,15403.36
1962-01-30,16247.83
1962-02-27,16105.33
1962-03-29,15388.73
1962-04-29,14722.67
1962-05-30,14601.55
1962-06-28,15400.79
1962-07-30,15014.52
1962-08-30,15084.46
1962-09-27,13860.79
1962-10-30,13364.21
1962-11-29,15298.52
1962-12-27,15071.56
1963-01-30,15475.18
1963-02-27,15921.25
1963-03-28,16912.14
1963-04-29,16842.65
1963-05-30,16442.68
1963-06-27,16364.49
1963-07-30,14572.82
1963-08-29,14191.11
1963-09-29,13676.59
1963-10-30,14228.29
1963-11-28,13407.33
1963-12-26,12878.43
1964-01-30,13851.96
1964-02-27,13158.92
1964-03-30,12758.07
1964-04-29,12863.19
1964-05-28,13692.45
1964-06-29,14143.88
1964-07-30,13578.78
1964-08-30,13278.17
1964-09-29,12624.79
1964-10-29,12543.58
1964-11-29,12502.44
1964-12-27,12577.29
1965-01-28,12843.2
1965-02-25,12541.32
1965-03-30,11673.72
1965-04-29,12087.2
1965-05-30,11265.19
1965-06-29,10821.21
1965-07-29,11199.81
1965-08-30,12816.49
1965-09-29,12491.48
1965-10-28,12726.2
1965-11-29,13972.49
1965-12-27,14381.66
1966-01-30,14914.69
1966-02-27,15194.74
1966-03-30,15919.84
1966-04-27,15515.68
1966-05-30,15120.92
1966-06-29,14882.61
1966-07-28,14877.51
1966-08-30,14431.79
1966-09-29,14455.37
1966-10-30,14128.17
1967-12-30,13630.02
1968-12-30,14236.8
1969-12-30,14344.75
1970-12-30,14655.64
1971-12-30,14227.68
1972-12-30,14005.97
1973-12-30,14631.25
1974-12-30,14473.4
1975-12-30,14257.68
1976-12-30,12928.24
1977-12-30,12709.58
1978-12-30,13170.92
1979-12-30,12189.27
1980-12-30,12212.31
1981-09-22,12412.45
1982-02-15,12730.5
1983-07-11,12800.41
0297-02-19,13653.24
0382-01-05,13672.29
0458-09-03,14232.93
0549-01-09,14815.35
0631-03-01,15592.69
0716-01-15,16907.43
0800-11-29,15947.95
0880-04-23,15641.57
0956-12-21,15438.22
1052-10-19,16583.44
1129-06-18,15844.59
1214-05-03,16449.9
1296-06-21,16927.25
1378-08-11,17639.21
1463-06-27,17490.65
1548-05-12,16352.35
1627-10-05,16766.11
1715-05-17,17529.15
1800-04-01,18422.3
1876-11-28,18935.71
1953-07-28,20089.73
2049-05-25,19596.26
2050-01-22,20204.97
2051-09-03,21310.56
2052-10-23,17714.21
2053-03-18,16931.44
2054-10-27,17775.02
2055-09-12,17857.97
2056-07-28,17635.07
2057-09-17,16995.67
2058-11-05,17308.59
2059-09-20,16213.33
2060-05-20,16104.87
2061-12-30,17026.84
2062-08-29,18047.41
2063-01-03,19380.27
2064-02-22,19853.83
2065-01-08,19660.45
