date,value
1991-12-30,129.41
1992-12-30,166.57
1993-12-30,6.84
1994-12-30,-22.3
1995-12-30,-14.29
1996-12-30,65.14
1997-12-30,30.22
1998-12-30,-3.97
1999-12-30,19.18
2000-12-30,51.73
2001-12-30,-20.62
2002-12-30,-17.52
2003-12-30,10.27
2004-12-30,-15.4
2005-12-30,-8.33
2006-12-30,130.43
2007-12-30,96.66
2008-12-30,-65.39
2009-12-30,79.98
2010-12-30,-14.31
2011-12-30,-21.68
2012-12-30,3.17
2013-12-30,-6.75
2014-12-30,52.87
2015-12-30,9.41
2016-12-30,-12.31
2017-12-30,6.56
2018-12-30,-14.5
2019-12-30,7.87
2020-12-30,13.87
2021-12-30,4.8
2022-12-30,-15.13
2023-12-30,-3.7
2024-12-30,12.67
2025-12-30,-2.17
