date,value
1990-12-30,307.64
1991-01-30,311.47
1991-02-27,318.28
1991-03-28,287.17
1991-04-29,271.84
1991-05-30,273.15
1991-06-27,326.26
1991-07-30,340.56
1991-08-29,421.34
1991-09-29,425.35
1991-10-30,513.19
1991-11-28,607.67
1991-12-30,684.77
1992-01-30,731.64
1992-02-27,848.67
1992-03-30,882.79
1992-04-29,1029.84
1992-05-28,2850.89
1992-06-29,2740.6
1992-07-30,2415.35
1992-08-30,1884.7
1992-09-29,1603.26
1992-10-29,1153.87
1992-11-29,1645.97
1992-12-30,1773.95
1993-01-28,2710.96
1993-02-25,3020.22
1993-03-30,2079.82
1993-04-29,3043.68
1993-05-30,2092.58
1993-06-29,2249.55
1993-07-29,1968.14
1993-08-30,1995.24
1993-09-29,1979.09
1993-10-28,1803.91
1993-11-29,2179.01
1993-12-30,1844.66
1994-01-30,1699.4
1994-02-27,1695.22
1994-03-30,1543.69
1994-04-28,1296.72
1994-05-30,1216.46
1994-06-29,1022.8
1994-07-28,725.81
1994-08-30,1700.11
1994-09-29,1708.13
1994-10-30,1413.18
1994-11-29,1472.94
1994-12-29,1395.98
1995-01-30,1207.36
1995-02-27,1174.09
1995-03-30,1378.28
1995-04-27,1231.49
1995-05-30,1484.61
1995-06-29,1333.77
1995-07-30,1471.2
1995-08-30,1527.09
1995-09-28,1521.07
1995-10-30,1505.4
1995-11-29,1346.4
1995-12-28,1166.87
1996-01-30,1122.59
1996-02-28,1151.41
1996-03-28,1152.66
1996-04-29,1405.73
1996-05-30,1325.78
1996-06-27,1655.52
1996-07-30,1689.81
1996-08-29,1660.87
1996-09-29,1789.68
1996-10-30,1990.2
1996-11-28,2100.82
1996-12-30,1865.04
1997-01-30,1955.92
1997-02-27,2102.45
1997-03-30,2489
1997-04-29,2806.3
1997-05-29,2589.31
1997-06-29,2515.83
1997-07-30,2391.09
1997-08-28,2449.42
1997-09-29,2195.86
1997-10-30,2356.11
1997-11-27,2276.16
1997-12-30,2387.91
1998-01-29,2404.1
1998-02-26,2403.83
1998-03-30,2471.95
1998-04-29,2666.74
1998-05-28,2796.08
1998-06-29,2650.15
1998-07-30,2602.86
1998-08-30,2270.6
1998-09-29,2450.56
1998-10-29,2394.27
1998-11-29,2453.47
1998-12-30,2256.75
1999-01-28,2227.63
1999-02-25,2137.51
1999-03-30,2263.89
1999-04-29,2175.5
1999-05-30,2482.92
1999-06-29,3278.85
1999-07-29,3098.79
1999-08-30,3140.91
1999-09-29,3017.55
1999-10-28,2885.33
1999-11-29,2750.24
1999-12-30,2619.16
2000-01-30,2933.24
2000-02-28,3257.11
2000-03-30,3391.83
2000-04-27,3457.82
2000-05-30,3563.31
2000-06-29,3607.5
2000-07-30,3777.29
2000-08-30,3772.92
2000-09-28,3547.17
2000-10-30,3635.84
2000-11-29,3836.29
2000-12-28,3843.81
2001-01-30,3805.17
2001-02-27,3594.74
2001-03-29,3867.75
2001-04-29,3864.13
2001-05-30,4019.32
2001-06-28,4019.38
2001-07-30,3489.69
2001-08-30,3333.08
2001-09-27,3192.81
2001-10-30,3066.18
2001-11-29,3178.32
2001-12-30,3004.67
2002-01-30,2716.85
2002-02-27,2766.08
2002-03-28,2893.51
2002-04-29,2991.94
2002-05-30,2719.22
2002-06-27,3106.84
2002-07-30,2958.02
2002-08-29,2975.02
2002-09-29,2818.61
2002-10-30,2682.08
2002-11-28,2551.63
2002-12-30,2420.81
2003-01-30,2662.52
2003-02-27,2663.52
2003-03-30,2645.25
2003-04-29,2670.06
2003-05-29,2770.79
2003-06-29,2609.32
2003-07-30,2590.21
2003-08-28,2484.7
2003-09-29,2381.17
2003-10-30,2350.86
2003-11-27,2442.76
2003-12-30,2620.11
2004-01-29,2770.56
2004-02-26,2901.78
2004-03-30,2997.75
2004-04-29,2737.63
2004-05-30,2654.02
2004-06-29,2379.1
2004-07-29,2360.79
2004-08-30,2284.41
2004-09-29,2372.41
2004-10-28,2231.3
2004-11-29,2264.29
2004-12-30,2146.73
2005-01-30,2015.91
2005-02-27,2196.37
2005-03-30,1971.14
2005-04-28,1921.36
2005-05-30,1760.05
2005-06-29,1792.64
2005-07-28,1787.84
2005-08-30,1909.75
2005-09-29,1875.02
2005-10-30,1769.58
2005-11-29,1794.43
2005-12-29,1903.01
2006-01-30,2046.38
2006-02-27,2108.79
2006-03-30,2096
2006-04-27,2305.5
2006-05-30,2614.42
2006-06-29,2658.4
2006-07-30,2556.28
2006-08-30,2623.9
2006-09-28,2785.92
2006-10-30,2937.88
2006-11-29,3360.54
2006-12-28,4276.52
2007-01-30,4440.17
2007-02-27,4566.71
2007-03-29,5001.3
2007-04-29,5994.81
2007-05-30,6374.7
2007-06-28,5915.03
2007-07-30,6923.6
2007-08-30,8096.46
2007-09-27,8590.13
2007-10-30,9193.13
2007-11-29,7476.78
2007-12-30,8080.4
2008-01-30,6698.46
2008-02-28,6625.96
2008-03-30,5245.97
2008-04-29,5545.28
2008-05-29,5112.19
2008-06-29,4033.36
