0,Trump (2024),counter,Biden,Trump (2016),Obama,GW Bush,Clinton,GHW Bush,Reagan,Carter,Nixon,Kennedy,Eisenhower,Roosevelt,Hoover
,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,-2.5,1,3.7,1.8,0.8,0.4,1.0,1.5,-3.4,5.2,-4.2,4.6,3.5,5.2,0.3
,0.1,2,2.6,3.6,-7.9,3.9,1.7,8.7,-7.8,-0.1,-4.9,11.2,2.8,6.0,6.0
,-1.3,3,5.2,7.5,-18.0,-5.7,2.8,5.5,-6.6,-2.2,-9.4,14.2,0.9,-13.6,5.4
,-7.0,4,9.7,7.5,-11.0,-11.8,4.7,7.7,-3.2,-3.6,-6.3,17.1,-1.4,-10.7,5.1
,-7.7,5,15.4,8.4,-2.6,-5.0,2.0,13.1,-5.5,-3.6,-4.3,17.6,-4.1,27.0,6.8
,-2.0,6,16.1,9.7,2.6,-4.5,4.4,17.1,-5.6,-5.9,-4.5,19.8,-4.4,47.2,2.3
,2.9,7,18.7,10.2,2.6,-6.9,4.4,16.2,-6.6,-1.6,-9.8,16.4,-5.9,66.6,12.9
,5.1,8,21.4,12.3,10.2,-7.9,3.9,26.4,-6.8,-3.2,-15.3,20.2,-3.5,51.9,18.9
,7.1,9,24.9,12.4,13.9,-13.8,7.5,28.4,-12.6,-5.2,-11.9,22.6,-9.1,69.3,30.6
,10.9,10,18.9,14.6,17.9,-20.8,6.4,27.6,-17.3,-5.5,-14.1,20.1,-9.0,50.1,24.2
,13.4,11,27.2,17.1,15.6,-19.4,8.5,24.4,-13.3,-9.6,-10.4,23.6,-4.4,36.8,-0.5
,13.5,12,26.1,20.4,22.2,-13.3,7.1,26.4,-10.1,-7.1,-13.4,28.4,-3.5,50.8,-13.8
,13.0,13,31.6,21.6,24.4,-12.7,8.1,29.1,-12.8,-6.9,-15.1,28.8,-3.3,54.2,-11.7
,,14,24.7,28.4,19.8,-14.0,11.7,20.2,-14.3,-12.6,-21.5,23.9,1.6,70.5,-6.1
,,15,20.8,23.4,23.2,-15.8,8.3,21.3,-19.5,-14.8,-17.4,26.0,1.9,64.3,-4.1
,,16,25.1,20.1,30.5,-12.7,3.3,24.2,-20.3,-12.6,-17.3,25.2,5.0,64.1,-0.5
,,17,14.1,20.4,32.4,-18.1,4.5,20.9,-17.1,-5.2,-24.8,17.5,10.1,59.7,2.6
,,18,14.1,23.0,21.6,-18.8,5.8,32.0,-20.4,-4.8,-29.4,7.4,13.8,46.7,0.9
,,19,4.5,23.6,15.0,-24.7,3.0,30.8,-22.0,-6.4,-32.9,-1.4,13.8,49.8,-15.7
,,20,14.0,28.1,22.9,-30.7,6.2,30.1,-23.8,-1.4,-28.0,4.8,20.3,32.5,-12.6
,,21,9.2,32.0,17.1,-30.3,10.2,17.9,-15.0,1.2,-24.8,6.4,16.3,39.7,-12.0
,,22,-1.0,32.5,27.3,-38.0,7.3,11.8,-14.3,0.4,-22.2,1.3,25.9,38.9,-23.4
,,23,6.9,23.3,32.0,-32.6,9.5,11.1,-4.8,-8.8,-23.2,1.8,23.5,34.5,-30.2
,,24,12.7,25.5,31.7,-28.8,5.2,17.7,-1.4,-7.2,-19.5,12.1,33.4,45.6,-31.8
,,25,6.0,14.0,40.3,-33.1,6.5,20.7,0.1,-5.9,-15.0,13.6,40.2,45.0,-36.8
,,26,12.6,23.0,43.5,-34.9,9.1,25.7,3.4,-2.1,-11.5,19.2,42.8,38.9,-33.7
,,27,9.6,26.6,48.1,-36.0,13.0,34.1,5.4,-5.7,-10.7,15.8,43.3,33.4,-26.2
,,28,13.5,28.9,47.9,-35.5,16.1,37.1,8.9,-0.5,-7.4,19.9,42.6,29.3,-31.3
,,29,15.1,34.0,52.1,-30.3,19.3,37.1,17.0,-0.3,-4.1,25.7,47.9,41.7,-37.9
,,30,15.4,25.2,50.1,-26.7,23.7,42.4,15.6,-3.0,-8.1,27.5,47.7,46.3,-46.4
,,31,22.9,33.8,47.4,-25.9,26.3,35.6,19.3,0.8,-8.9,24.9,59.9,56.2,-38.9
,,32,26.7,35.5,44.2,-24.7,30.3,41.7,15.7,1.7,-11.8,24.5,69.6,69.2,-43.5
,,33,24.5,33.1,36.0,-23.3,30.3,44.5,17.0,7.1,-8.6,30.5,68.3,72.8,-42.9
,,34,18.4,35.4,26.2,-24.3,35.5,41.7,18.2,7.1,-9.3,29.1,70.2,76.9,-60.0
,,35,15.8,38.1,39.8,-20.1,34.8,43.4,16.4,-0.3,-13.0,33.3,65.0,90.2,-56.6
,,36,26.1,42.8,39.1,-19.5,40.3,37.1,18.4,4.0,-13.3,31.9,77.4,97.7,-60.9
,,37,31.7,46.9,40.3,-15.4,42.8,52.4,17.4,5.7,-5.8,,77.2,105.0,-66.6
,,38,33.8,46.7,46.4,-14.0,47.4,49.4,16.3,11.8,-4.1,,70.8,118.5,-67.5
,,39,40.7,34.4,52.4,-12.9,48.5,50.8,11.8,11.3,-1.7,,76.7,122.1,-65.9
,,40,45.1,17.5,57.2,-14.4,49.6,47.5,13.3,0.0,-1.1,,88.9,127.8,-69.9
,,41,39.0,32.5,56.0,-15.8,51.7,51.6,13.9,4.1,-0.6,,88.5,110.2,-76.0
,,42,45.7,38.5,46.2,-14.8,55.1,51.8,7.1,9.0,1.1,,76.1,119.8,-81.6
,,43,50.8,41.0,52.0,-13.2,55.5,49.1,9.0,11.9,-1.1,,83.0,126.6,-81.8
,,44,52.5,48.8,53.9,-16.2,48.4,55.0,7.2,19.2,-0.9,,92.5,142.0,-74.9
,,45,56.0,59.2,56.9,-16.0,51.2,51.3,18.6,19.9,2.5,,85.2,144.1,-65.4
,,46,59.1,52.9,60.7,-15.2,59.3,52.6,18.2,22.9,2.0,,76.7,144.4,-66.7
,,47,57.5,48.7,57.6,-14.0,63.5,53.0,18.2,24.8,3.0,,77.6,162.7,-71.3
,,48,66.6,64.7,58.0,-10.7,75.5,57.6,16.4,37.6,7.7,,75.7,163.8,-73.0
,,49,,,59.1,-7.8,71.7,,19.0,,8.9,,81.9,162.3,
,,50,,,67.2,-10.2,82.3,,27.8,,7.1,,74.3,172.2,
,,51,,,69.0,-8.5,83.3,,28.9,,3.1,,68.6,176.2,
,,52,,,75.1,-10.2,75.5,,28.6,,2.9,,71.9,173.6,
,,53,,,78.3,-12.0,85.8,,28.0,,-1.3,,78.3,150.8,
,,54,,,82.0,-9.4,96.7,,34.9,,-3.2,,84.8,148.2,
,,55,,,79.2,-9.4,105.2,,36.5,,-3.8,,84.6,135.1,
,,56,,,88.1,-6.1,121.2,,35.9,,-0.1,,86.7,159.2,
,,57,,,82.2,-7.2,108.5,,34.2,,-3.8,,76.2,144.9,
,,58,,,87.6,-6.6,119.6,,29.6,,0.1,,65.3,110.1,
,,59,,,96.0,-8.2,112.0,,35.1,,-0.1,,60.0,88.7,
,,60,,,101.5,-5.0,121.5,,43.9,,-11.5,,62.6,69.6,
,,61,,,106.2,-5.1,125.0,,50.4,,-10.0,,55.8,61.1,
,,62,,,98.9,-2.7,127.3,,50.7,,-10.9,,62.5,63.2,
,,63,,,107.5,-2.6,143.3,,61.5,,-11.2,,59.2,73.1,
,,64,,,108.9,-1.5,155.4,,70.0,,-13.3,,64.1,29.8,
,,65,,,110.2,-0.3,157.7,,67.6,,-16.7,,69.3,48.1,
,,66,,,114.6,-3.4,152.9,,76.0,,-19.5,,71.8,41.5,
,,67,,,118.7,-3.4,162.9,,78.5,,-20.6,,76.3,76.5,
,,68,,,115.4,-2.9,159.8,,68.0,,-26.8,,83.9,89.3,
,,69,,,123.5,-0.8,121.9,,80.0,,-33.4,,86.1,84.1,
,,70,,,120.1,1.6,135.8,,64.6,,,,95.1,86.9,
,,71,,,125.2,4.8,154.7,,73.6,,,,100.0,101.1,
,,72,,,130.7,6.5,169.8,,77.4,,,,104.5,94.4,
,,73,,,129.7,7.9,185.0,,72.3,,,,115.2,101.7,
,,74,,,122.6,9.4,196.7,,95.0,,,,116.1,87.8,
,,75,,,134.8,7.0,187.1,,102.2,,,,115.9,93.9,
,,76,,,130.7,8.1,198.2,,107.6,,,,116.1,67.6,
,,77,,,132.7,12.7,209.5,,105.2,,,,124.4,66.7,
,,78,,,135.1,16.4,201.8,,106.4,,,,128.7,77.1,
,,79,,,130.2,14.3,218.2,,116.3,,,,127.9,65.8,
,,80,,,134.7,10.7,208.0,,126.8,,,,135.8,83.8,
,,81,,,120.1,12.1,206.1,,134.7,,,,132.3,70.7,
,,82,,,114.2,16.1,197.4,,129.0,,,,121.7,98.8,
