date,value
1927-12-30,17.66
1928-01-30,17.57
1928-02-28,17.26
1928-03-30,19.28
1928-04-29,19.75
1928-05-30,20
1928-06-29,19.14
1928-07-30,19.43
1928-08-30,20.87
1928-09-28,21.14
1928-10-30,21.68
1928-11-29,24.28
1928-12-30,24.35
1929-01-30,25.74
1929-02-27,25.59
1929-03-27,25.53
1929-04-29,25.94
1929-05-30,24.83
1929-06-28,27.41
1929-07-30,28.88
1929-08-29,31.71
1929-09-29,30.16
1929-10-30,24.15
1929-11-26,20.92
1929-12-30,21.45
1930-01-30,22.79
1930-02-27,23.28
1930-03-30,24.15
1930-04-29,24.9
1930-05-28,24.49
1930-06-29,20.46
1930-07-30,21.21
1930-08-28,21.37
1930-09-29,18.59
1930-10-30,16.94
1930-11-28,16.57
1930-12-30,15.34
1931-01-30,16.09
1931-02-27,17.93
1931-03-30,16.69
1931-04-29,15.09
1931-05-28,13.02
1931-06-29,14.83
1931-07-30,13.73
1931-08-30,13.86
1931-09-29,9.71
1931-10-30,10.53
1931-11-29,9.5
1931-12-30,8.12
1932-01-29,7.89
1932-02-28,8.29
1932-03-30,7.31
1932-04-29,5.83
1932-05-30,4.47
1932-06-29,4.43
1932-07-29,6.1
1932-08-30,8.39
1932-09-29,8.08
1932-10-30,6.96
1932-11-29,6.55
1932-12-30,6.89
1933-01-30,6.94
1933-02-27,5.66
1933-03-30,5.85
1933-04-28,8.32
1933-05-30,9.64
1933-06-29,10.91
1933-07-30,9.95
1933-08-30,11.09
1933-09-29,9.83
1933-10-30,8.96
1933-11-28,9.88
1933-12-29,10.1
1934-01-30,11.17
1934-02-27,10.76
1934-03-30,10.75
1934-04-29,10.46
1934-05-30,9.61
1934-06-29,9.81
1934-07-30,8.68
1934-08-30,9.15
1934-09-28,9.1
1934-10-30,8.81
1934-11-29,9.54
1934-12-30,9.5
1935-01-30,9.1
1935-02-27,8.74
1935-03-29,8.47
1935-04-29,9.28
1935-05-30,9.58
1935-06-28,10.23
1935-07-30,11.08
1935-08-30,11.32
1935-09-29,11.59
1935-10-30,12.46
1935-11-29,12.95
1935-12-30,13.43
1936-01-30,14.31
1936-02-28,14.55
1936-03-30,14.92
1936-04-29,13.77
1936-05-28,14.4
1936-06-29,14.84
1936-07-30,15.85
1936-08-30,15.99
1936-09-29,16.01
1936-10-30,17.21
1936-11-29,17.28
1936-12-30,17.18
1937-01-29,17.83
1937-02-26,18.09
1937-03-30,17.92
1937-04-29,16.43
1937-05-27,16.26
1937-06-29,15.4
1937-07-30,16.98
1937-08-30,16.04
1937-09-29,13.76
1937-10-29,12.36
1937-11-29,11.11
1937-12-30,10.55
1938-01-30,10.69
1938-02-27,11.34
1938-03-30,8.5
1938-04-29,9.7
1938-05-30,9.27
1938-06-29,11.56
1938-07-29,12.4
1938-08-30,12.06
1938-09-29,12.24
1938-10-30,13.17
1938-11-29,12.73
1938-12-30,13.21
1939-01-30,12.3
1939-02-27,12.7
1939-03-30,10.98
1939-04-28,10.92
1939-05-30,11.6
1939-06-29,10.86
1939-07-30,12.04
1939-08-30,11.18
1939-09-29,13.02
1939-10-30,12.83
1939-11-29,12.2
1939-12-29,12.49
1940-01-30,12.05
1940-02-28,12.13
1940-03-29,12.25
1940-04-29,12.19
1940-05-30,9.27
1940-06-28,9.98
1940-07-30,10.29
1940-08-30,10.56
1940-09-29,10.66
1940-10-30,11.08
1940-11-29,10.61
1940-12-30,10.58
1941-01-30,10.07
1941-02-27,9.92
1941-03-30,9.96
1941-04-29,9.31
1941-05-30,9.35
1941-06-29,9.85
1941-07-30,10.39
1941-08-29,10.3
1941-09-29,10.2
1941-10-30,9.5
1941-11-28,9.1
1941-12-30,8.69
1942-01-30,8.81
1942-02-27,8.59
1942-03-30,8.01
1942-04-29,7.66
1942-05-28,8.15
1942-06-29,8.3
1942-07-30,8.56
1942-08-30,8.62
1942-09-29,8.85
1942-10-30,9.42
1942-11-29,9.29
1942-12-30,9.77
1943-01-29,10.47
1943-02-26,11
1943-03-30,11.58
1943-04-29,11.59
1943-05-28,12.11
1943-06-29,12.35
1943-07-30,11.68
1943-08-30,11.8
1943-09-29,12.08
1943-10-29,11.92
1943-11-29,11.02
1943-12-30,11.67
1944-01-30,11.85
1944-02-28,11.82
1944-03-30,12.02
1944-04-28,11.87
1944-05-30,12.35
1944-06-29,12.98
1944-07-30,12.71
1944-08-30,12.82
1944-09-29,12.78
1944-10-30,12.78
1944-11-29,12.83
1944-12-29,13.28
1945-01-30,13.47
1945-02-27,14.3
1945-03-30,13.64
1945-04-29,14.84
1945-05-30,15.01
1945-06-29,14.96
1945-07-30,14.66
1945-08-30,15.51
1945-09-28,16.16
1945-10-30,16.65
1945-11-29,17.19
1945-12-30,17.36
1946-01-30,18.57
1946-02-27,17.28
1946-03-29,18.08
1946-04-29,18.76
1946-05-30,19.18
1946-06-27,18.43
1946-07-30,17.96
1946-08-29,16.65
1946-09-29,14.96
1946-10-30,14.84
1946-11-29,14.67
1946-12-30,15.3
1947-01-30,15.66
1947-02-27,15.43
1947-03-30,15.17
1947-04-29,14.58
1947-05-28,14.45
1947-06-29,15.21
1947-07-30,15.76
1947-08-28,15.32
1947-09-29,15.11
1947-10-30,15.43
1947-11-28,14.99
1947-12-30,15.3
1948-01-30,14.69
1948-02-27,14
1948-03-30,15.08
1948-04-29,15.48
1948-05-27,16.69
1948-06-29,16.74
1948-07-29,15.85
1948-08-30,15.97
1948-09-29,15.49
1948-10-29,16.54
1948-11-29,14.75
1948-12-30,15.2
1949-01-30,15.22
1949-02-27,14.62
1949-03-30,15.06
1949-04-29,14.74
1949-05-30,14.19
1949-06-29,14.16
1949-07-28,15.04
1949-08-30,15.22
1949-09-29,15.58
1949-10-30,16.04
1949-11-29,16.06
1949-12-30,16.76
1950-01-30,17.05
1950-02-27,17.22
1950-03-30,17.29
1950-04-28,18.07
1950-05-30,18.78
1950-06-29,17.69
1950-07-30,17.84
1950-08-30,18.42
1950-09-28,19.45
1950-10-30,19.53
1950-11-29,19.51
1950-12-29,20.41
1951-01-30,21.66
1951-02-27,21.8
1951-03-30,21.4
1951-04-29,22.43
1951-05-30,21.52
1951-06-28,20.96
1951-07-30,22.4
1951-08-30,23.28
1951-09-27,23.26
1951-10-30,22.94
1951-11-29,22.88
1951-12-30,23.77
