date,value
1927-12-30,329.27
1928-01-30,327.6
1928-02-28,325.58
1928-03-30,363.68
1928-04-29,372.55
1928-05-30,375.07
1928-06-29,361.04
1928-07-30,366.51
1928-08-30,393.68
1928-09-28,394.16
1928-10-30,406.58
1928-11-29,455.34
1928-12-30,459.32
1929-01-30,485.54
1929-02-27,482.71
1929-03-27,484.41
1929-04-29,495.1
1929-05-30,471.13
1929-06-28,517.04
1929-07-30,538.47
1929-08-29,591.24
1929-09-29,562.34
1929-10-30,450.28
1929-11-26,390.06
1929-12-30,402.26
1930-01-30,429.89
1930-02-27,441.72
1930-03-30,460.94
1930-04-29,472.46
1930-05-28,467.43
1930-06-29,392.83
1930-07-30,412.14
1930-08-28,417.77
1930-09-29,361.23
1930-10-30,331.16
1930-11-28,325.9
1930-12-30,307.33
1931-01-30,326.42
1931-02-27,368.38
1931-03-30,345.1
1931-04-29,314.03
1931-05-28,274.49
1931-06-29,316.79
1931-07-30,293.3
1931-08-30,296.07
1931-09-29,208.8
1931-10-30,227.96
1931-11-29,208.46
1931-12-30,179.4
1932-01-29,177.97
1932-02-28,189.65
1932-03-30,168.42
1932-04-29,135.29
1932-05-30,105.24
1932-06-29,105.07
1932-07-29,144.68
1932-08-30,200.47
1932-09-29,194.5
1932-10-30,168.8
1932-11-29,160.06
1932-12-30,169.65
1933-01-30,173.53
1933-02-27,143.76
1933-03-30,149.76
1933-04-28,212.99
1933-05-30,246.78
1933-06-29,277.1
1933-07-30,245
1933-08-30,271
1933-09-29,240.21
1933-10-30,218.95
1933-11-28,241.43
1933-12-29,246.81
1934-01-30,272.96
1934-02-27,260.96
1934-03-30,260.72
1934-04-29,253.68
1934-05-30,233.07
1934-06-29,236.14
1934-07-30,208.94
1934-08-30,220.26
1934-09-28,215.83
1934-10-30,210.5
1934-11-29,227.94
1934-12-30,228.68
1935-01-30,215.83
1935-02-27,205.78
1935-03-29,199.42
1935-04-29,216.91
1935-05-30,223.92
1935-06-28,240.86
1935-07-30,260.87
1935-08-30,266.52
1935-09-29,272.88
