0,Trump (2024),counter,Biden,Trump (2016),Obama,GW Bush,Clinton,GHW Bush,Reagan,Carter,Nixon,Kennedy,Eisenhower,Roosevelt,Hoover,Harding
,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,-5.3,1,3.3,3.3,-0.6,3.6,-0.1,2.6,-3.0,6.1,-4.2,3.1,2.9,6.4,2.3,-5.4
,-0.8,2,1.2,3.9,-9.4,4.5,0.1,10.8,-4.6,0.8,-4.0,8.5,2.2,8.1,8.2,0.1
,-2.4,3,4.4,8.8,-20.0,0.8,2.0,6.8,-1.9,-1.1,-8.1,10.9,0.2,-8.8,8.2,-1.4
,-6.5,4,11.3,8.1,-13.8,-5.1,3.9,8.5,1.1,-3.0,-5.0,13.3,-1.3,-1.7,5.3,-0.4
,-9.4,5,14.3,9.5,-7.5,3.1,3.7,14.4,0.4,-2.1,-3.5,13.6,-3.1,37.8,8.8,3.3
,-5.9,6,16.5,9.9,-3.7,4.8,6.7,17.3,-0.2,-5.1,-4.8,16.7,-4.0,56.4,1.4,-3.4
,-1.8,7,16.4,11.6,-4.3,0.8,6.4,15.4,-1.7,-3.3,-11.4,14.5,-5.4,74.2,13.8,-10.0
,-1.7,8,17.9,14.5,3.9,1.0,7.1,25.8,-4.1,-6.0,-17.2,18.1,-2.9,61.1,18.5,-10.1
,1.4,9,19.3,14.8,7.6,-4.5,10.5,29.5,-11.3,-9.1,-15.1,20.5,-7.9,81.7,29.6,-11.7
,3.3,10,14.2,17.2,10.0,-15.0,7.6,27.3,-14.4,-10.6,-17.5,17.4,-6.9,68.3,17.1,-6.5
,5.9,11,20.9,22.2,10.0,-12.9,11.4,25.1,-14.2,-13.6,-13.1,17.9,-2.8,56.5,-6.8,-3.7
,6.2,12,16.3,26.9,17.2,-5.4,11.5,28.0,-10.5,-12.4,-17.5,20.8,-0.8,74.2,-18.6,1.7
,7.8,13,22.6,29.3,18.1,-3.8,13.6,30.2,-11.9,-12.3,-18.8,22.4,-1.0,77.3,-15.3,6.3
,,14,18.5,36.7,14.0,-4.7,20.4,22.5,-12.3,-18.7,-24.5,17.2,3.1,90.3,-8.9,6.9
,,15,14.4,30.9,16.9,-3.0,15.9,24.2,-17.0,-21.7,-21.1,18.6,3.8,83.6,-7.6,12.4
,,16,17.0,26.0,23.0,-0.1,10.0,28.0,-17.2,-20.0,-20.3,18.4,7.0,80.7,-2.5,17.1
,,17,11.3,26.4,24.7,-4.5,11.4,25.6,-14.6,-11.6,-25.3,11.4,12.6,78.3,-4.8,20.9
