0,Obama,counter,Trump (2016),Trump (2024)
,0.0,0,0.0,0.0
,4.3,1,-0.3,0.6
,2.8,2,0.4,1.1
,3.3,3,1.2,0.9
,3.9,4,1.1,-0.6
,5.0,5,1.0,0.3
,8.6,6,0.4,-0.2
,5.0,7,0.3,0.4
,2.6,8,0.4,-0.1
,2.5,9,0.4,-0.9
,4.1,10,1.1,-0.2
,3.4,11,0.9,0.2
,5.0,12,1.0,0.6
,7.9,13,1.0,-0.4
,8.0,14,1.6,0.3
,2.7,15,2.0,0.3
,3.5,16,2.5,0.0
,3.7,17,2.9,1.1
,2.7,18,3.4,1.1
,-2.0,19,3.3,1.3
,-2.1,20,3.5,1.6
,-3.3,21,4.1,1.1
,-4.4,22,4.0,-0.6
,-7.7,23,4.1,-1.1
,-4.0,24,4.2,-1.6
,-5.0,25,4.3,-1.5
,-6.5,26,4.1,-3.1
,-8.7,27,5.5,-1.6
,-13.0,28,4.9,-3.3
,-13.5,29,4.9,-4.5
,-11.5,30,4.6,-3.4
,-15.2,31,4.3,-5.1
,-15.1,32,4.0,-4.6
,-16.0,33,4.1,-7.2
,-10.6,34,4.5,-7.9
,-10.4,35,4.5,-7.4
,-6.8,36,4.1,-8.7
,-6.0,37,5.0,-6.8
,-6.4,38,4.8,-6.2
,-3.4,39,4.7,-7.2
,-1.3,40,4.5,-6.2
,-2.6,41,3.2,-6.4
,-4.6,42,3.4,-6.3
,2.2,43,3.3,-4.7
,0.1,44,3.2,-4.5
,1.1,45,3.1,-5.6
,3.4,46,3.8,-5.9
,1.3,47,4.0,-7.7
,-2.2,48,4.3,-7.2
,-0.9,49,4.0,-6.9
,0.7,50,3.9,-6.3
,3.6,51,3.9,-10.8
,4.6,52,3.6,-16.1
,3.8,53,3.8,-16.3
,1.3,54,3.7,-17.6
,2.5,55,3.8,-9.8
,6.4,56,3.6,-12.9
,6.6,57,3.2,-11.3
,4.5,58,2.5,-10.6
,5.8,59,3.4,-10.8
,7.5,60,3.1,-12.8
,8.0,61,2.9,-12.7
,3.4,62,3.7,-14.7
,5.6,63,3.4,-12.6
,4.8,64,4.5,-11.1
,5.8,65,5.2,-9.3
,7.6,66,5.1,-8.7
,6.5,67,5.2,-8.6
,6.2,68,5.0,-8.1
,8.5,69,5.2,-7.9
,8.4,70,5.3,-7.4
,9.0,71,5.1,-6.0
,12.7,72,5.2,-6.6
,12.2,73,5.6,-7.3
,14.2,74,5.6,-6.9
,12.7,75,5.5,-6.4
,15.4,76,5.6,-6.4
,12.9,77,5.4,-3.4
,12.8,78,5.3,-2.7
,9.8,79,5.8,-2.6
,10.9,80,5.7,-2.2
,9.6,81,3.8,-1.5
,13.0,82,4.2,-1.4
,12.8,83,4.9,-1.8
,12.2,84,5.4,-3.4
,10.3,85,5.6,-3.4
,10.2,86,5.9,-4.1
,13.1,87,6.3,-2.1
,10.9,88,6.4,-2.7
,12.6,89,6.2,-2.3
,14.1,90,6.2,-2.3
,17.1,91,7.0,-1.9
,17.3,92,7.4,-1.3
,15.7,93,7.3,-1.3
,17.0,94,7.0,-1.8
,16.7,95,7.1,-0.8
,16.6,96,7.2,-0.7
,17.0,97,7.1,-0.2
,16.6,98,7.0,-0.4
,17.3,99,7.4,-0.1
,17.5,100,7.3,-1.2
,14.7,101,7.1,-0.3
,13.3,102,7.1,-1.1
,13.1,103,8.0,-1.1
,14.1,104,7.3,-1.3
,14.4,105,7.2,-0.4
,10.9,106,7.2,0.7
,11.2,107,7.4,0.7
,11.9,108,7.4,1.5
,14.3,109,6.5,2.0
,14.1,110,7.5,2.6
,15.2,111,6.5,2.5
,14.2,112,6.7,2.9
,14.7,113,6.9,3.8
,11.3,114,7.1,3.0
,11.6,115,6.1,2.9
,9.4,116,6.8,3.5
,9.2,117,6.9,3.8
,9.6,118,6.8,3.5
,9.2,119,7.6,3.6
,11.9,120,7.8,3.2
,12.5,121,8.3,3.5
,15.8,122,8.3,4.1
,16.8,123,8.3,4.1
,16.8,124,8.9,4.2
,18.1,125,8.9,4.3
,18.5,126,8.9,5.1
,18.5,127,8.7,5.2
,21.2,128,9.1,5.6
,21.6,129,9.1,5.6
,22.0,130,9.0,5.3
,21.7,131,8.8,5.2
,21.1,132,8.8,4.8
,22.5,133,9.0,3.1
,22.6,134,9.1,4.6
,24.5,135,8.8,4.1
,24.9,136,9.0,4.9
,24.5,137,9.2,4.8
,23.8,138,9.0,5.6
,25.5,139,8.9,5.4
,25.1,140,7.3,6.6
,23.5,141,7.5,6.9
,24.9,142,8.6,6.9
,25.8,143,8.5,6.6
,24.7,144,8.7,6.6
,21.7,145,7.0,6.0
,22.9,146,6.8,5.7
,23.8,147,6.9,5.3
,25.1,148,8.0,6.9
,27.4,149,7.6,6.4
,27.4,150,7.4,6.9
,27.7,151,7.6,7.1
,27.7,152,7.6,7.5
,28.0,153,7.7,6.8
,27.8,154,8.2,6.1
,26.8,155,8.8,6.6
,23.9,156,9.0,7.5
,23.5,157,8.2,7.1
,24.6,158,8.6,7.4
,26.2,159,8.5,7.7
,27.3,160,8.4,8.0
,28.3,161,9.5,8.9
,29.7,162,9.9,8.8
,29.5,163,10.0,9.4
,30.3,164,9.9,9.2
,30.7,165,10.1,9.1
,32.7,166,10.2,9.6
,32.3,167,10.4,10.2
,32.7,168,10.4,10.7
,32.2,169,10.1,10.0
,33.1,170,10.2,9.7
,31.7,171,9.9,9.2
,30.5,172,9.9,9.8
,29.7,173,10.4,10.1
,32.0,174,10.5,10.6
,31.7,175,10.9,10.9
,31.3,176,11.4,11.0
,27.9,177,11.6,11.0
,27.3,178,11.7,11.4
,29.2,179,12.4,11.0
,31.0,180,12.2,11.6
,31.3,181,12.0,11.3
,32.3,182,12.3,8.3
,33.1,183,12.5,10.0
,33.7,184,12.3,9.8
,33.3,185,12.4,10.3
,35.6,186,12.6,9.6
,36.2,187,12.7,10.2
,35.1,188,12.8,11.3
,36.3,189,12.8,11.3
,35.5,190,13.4,10.7
,34.3,191,12.9,11.4
,35.7,192,13.1,12.3
,34.1,193,12.6,13.7
,32.5,194,12.7,13.9
,32.1,195,13.6,13.9
,29.5,196,13.3,12.8
,32.4,197,13.4,13.1
,28.7,198,13.6,13.3
,29.5,199,13.6,11.9
,29.8,200,13.9,12.3
,30.0,201,14.1,11.1
,32.5,202,14.1,11.2
,32.8,203,14.2,12.9
,35.7,204,13.8,13.2
,35.7,205,13.7,13.3
,36.4,206,13.8,11.4
,35.0,207,13.5,11.3
,35.8,208,12.9,10.3
,37.8,209,13.8,9.4
,37.9,210,13.5,9.8
,37.8,211,13.7,8.1
,36.0,212,14.4,9.2
,35.5,213,14.3,10.8
,37.4,214,14.6,11.8
,37.3,215,14.5,12.6
,37.9,216,15.7,13.2
,35.6,217,15.6,12.6
,36.1,218,16.6,12.9
,37.7,219,16.3,13.2
,37.8,220,16.2,13.4
,36.6,221,15.8,13.6
,37.4,222,15.8,13.2
,37.0,223,16.1,13.1
,35.6,224,16.7,13.8
,36.1,225,17.1,14.1
,36.9,226,17.3,12.9
,37.4,227,17.2,12.7
,38.4,228,16.8,
,37.6,229,17.8,
,37.7,230,18.4,
,36.1,231,18.1,
,36.9,232,18.0,
,38.4,233,18.2,
,38.8,234,18.1,
,39.2,235,18.0,
