date,value
1990-12-30,23.06
1991-12-30,18.37
1992-12-30,15.45
1993-12-30,12.69
1994-12-30,13.93
1995-12-30,12.39
1996-12-30,16.44
1997-12-30,22.36
1998-12-30,25.6
1999-12-30,24.37
2000-12-30,23.32
2001-12-30,25.75
2002-12-30,27.29
2003-12-30,21.98
2004-12-30,15.48
2005-12-30,12.81
2006-12-30,12.81
2007-12-30,17.54
2008-12-30,32.69
2009-12-30,31.48
2010-12-30,22.55
2011-12-30,24.2
2012-12-30,17.8
2013-12-30,14.23
2014-12-30,14.18
2015-12-30,16.67
2016-12-30,15.83
2017-12-30,11.09
2018-12-30,16.64
2019-12-30,15.39
2020-12-30,29.25
2021-12-30,19.66
2022-12-30,25.64
2023-12-30,16.85
2024-12-30,15.55
2025-12-30,19.1
