date,value
1990-01-30,25.36
1990-02-27,21.99
1990-03-29,19.73
1990-04-29,19.52
1990-05-30,17.37
1990-06-28,15.5
1990-07-30,21.11
1990-08-30,29.9
1990-09-27,29.11
1990-10-30,30.04
1990-11-29,22.16
1990-12-30,26.38
1991-01-30,20.91
1991-02-27,21.23
1991-03-27,16.88
1991-04-29,18.24
1991-05-30,15.93
1991-06-27,19.55
1991-07-30,15.18
1991-08-29,14.46
1991-09-29,15.85
1991-10-30,15.48
1991-11-28,20.26
1991-12-30,19.31
1992-01-30,17.4
1992-02-27,16.68
1992-03-30,16.18
1992-04-29,15.53
1992-05-28,13.86
1992-06-29,13.35
1992-07-30,13.17
1992-08-30,13.58
1992-09-29,14.28
1992-10-29,16.15
1992-11-29,13.01
1992-12-30,12.57
1993-01-28,12.42
1993-02-25,13.16
1993-03-30,12.53
1993-04-29,12.42
1993-05-27,13.47
1993-06-29,11.26
1993-07-29,11.73
1993-08-30,11.85
1993-09-29,12.99
1993-10-28,11.46
1993-11-29,13.76
1993-12-30,11.66
1994-01-30,10.63
1994-02-27,14.87
1994-03-30,20.45
1994-04-28,13.77
1994-05-30,13.03
1994-06-29,14.97
1994-07-28,11.13
1994-08-30,11.97
1994-09-29,14.28
1994-10-30,14.56
1994-11-29,15.95
1994-12-29,13.2
1995-01-30,11.96
1995-02-27,11.75
1995-03-30,13.37
1995-04-27,11.75
1995-05-30,12.85
1995-06-29,11.38
1995-07-30,13.49
1995-08-30,11.52
1995-09-28,12.74
1995-10-30,13.83
1995-11-29,11.58
1995-12-28,12.52
1996-01-30,12.53
1996-02-28,17.04
1996-03-28,18.88
1996-04-29,15.83
1996-05-30,16.07
1996-06-27,13.68
1996-07-30,19.46
1996-08-29,17.01
1996-09-29,16.95
1996-10-30,18.11
1996-11-28,17.14
1996-12-30,20.92
1997-01-29,19.47
1997-02-27,21.1
1997-03-30,22.14
1997-04-29,20.06
1997-05-29,19.19
1997-06-29,21.53
1997-07-30,21.48
1997-08-28,24.76
1997-09-29,22.91
1997-10-30,35.09
1997-11-27,27.43
1997-12-30,24.01
1998-01-29,21.47
1998-02-26,18.55
1998-03-30,24.22
1998-04-29,21.18
1998-05-28,21.32
1998-06-29,19.71
1998-07-30,24.8
1998-08-30,44.28
1998-09-29,40.95
1998-10-29,28.05
1998-11-29,26.01
1998-12-30,24.42
1999-01-28,26.25
1999-02-25,27.88
1999-03-30,23.26
1999-04-29,25.07
1999-05-27,25.39
1999-06-29,21.09
1999-07-29,24.64
1999-08-30,24.45
1999-09-29,25.41
1999-10-28,22.2
1999-11-29,24.18
1999-12-30,24.64
2000-01-30,24.95
2000-02-28,23.37
2000-03-30,24.11
2000-04-27,26.2
2000-05-30,23.65
2000-06-29,19.54
2000-07-30,20.74
2000-08-30,16.84
2000-09-28,20.57
2000-10-30,23.63
2000-11-29,29.65
2000-12-28,26.85
2001-01-30,22.02
2001-02-27,28.35
2001-03-29,28.64
2001-04-29,25.48
2001-05-30,22.64
2001-06-28,19.06
2001-07-30,21.62
2001-08-30,24.92
2001-09-27,31.93
2001-10-30,33.56
2001-11-29,23.84
2001-12-30,23.8
2002-01-30,21.09
2002-02-27,21.59
2002-03-27,17.4
2002-04-29,21.91
2002-05-30,19.98
2002-06-27,25.4
2002-07-30,32.03
2002-08-29,32.64
2002-09-29,39.69
2002-10-30,31.14
2002-11-28,27.5
2002-12-30,28.62
2003-01-30,31.17
2003-02-27,29.63
2003-03-30,29.15
2003-04-29,21.21
2003-05-29,19.47
2003-06-29,19.52
2003-07-30,19.49
2003-08-28,18.63
2003-09-29,22.72
2003-10-30,16.1
2003-11-27,16.32
2003-12-30,18.31
2004-01-29,16.63
2004-02-26,14.55
2004-03-30,16.74
2004-04-29,17.19
2004-05-27,15.5
2004-06-29,14.34
2004-07-29,15.32
2004-08-30,15.29
2004-09-29,13.34
2004-10-28,16.27
2004-11-29,13.24
2004-12-30,13.29
2005-01-30,12.82
2005-02-27,12.08
2005-03-30,14.02
2005-04-28,15.31
2005-05-30,13.29
2005-06-29,12.04
2005-07-28,11.57
2005-08-30,12.6
2005-09-29,11.92
2005-10-30,15.32
2005-11-29,12.06
2005-12-29,12.07
2006-01-30,12.95
2006-02-27,12.34
2006-03-30,11.39
2006-04-27,11.59
2006-05-30,16.44
2006-06-29,13.08
2006-07-30,14.95
2006-08-30,12.31
2006-09-28,11.98
2006-10-30,11.1
2006-11-29,10.91
2006-12-28,11.56
2007-01-30,10.42
2007-02-27,15.42
2007-03-29,14.64
2007-04-29,14.22
2007-05-30,13.05
2007-06-28,16.23
2007-07-30,23.52
2007-08-30,23.38
2007-09-27,18
2007-10-30,18.53
2007-11-29,22.87
2007-12-30,22.5
2008-01-30,26.2
2008-02-28,26.54
2008-03-30,25.61
2008-04-29,20.79
2008-05-29,17.83
2008-06-29,23.95
2008-07-30,22.94
2008-08-28,20.65
2008-09-29,39.39
2008-10-30,59.89
2008-11-27,55.28
2008-12-30,40
2009-01-29,44.84
2009-02-26,46.35
2009-03-30,44.14
2009-04-29,36.5
2009-05-28,28.92
2009-06-29,26.35
2009-07-30,25.92
2009-08-30,26.01
2009-09-29,25.61
2009-10-29,30.69
2009-11-29,24.51
2009-12-30,21.68
2010-01-28,24.62
2010-02-25,19.5
2010-03-30,17.59
2010-04-29,22.05
2010-05-27,32.07
2010-06-29,34.54
2010-07-29,23.5
2010-08-30,26.05
2010-09-29,23.7
2010-10-28,21.2
2010-11-29,23.54
2010-12-30,17.75
2011-01-30,19.53
2011-02-27,18.35
2011-03-30,17.74
2011-04-28,14.75
2011-05-30,15.45
2011-06-29,16.52
2011-07-28,25.25
2011-08-30,31.62
2011-09-29,42.96
2011-10-30,29.96
2011-11-29,27.8
2011-12-29,23.4
2012-01-30,19.44
2012-02-28,18.43
2012-03-29,15.5
2012-04-29,17.15
2012-05-30,24.06
2012-06-28,17.08
2012-07-30,18.93
2012-08-30,17.47
2012-09-27,15.73
2012-10-30,18.6
2012-11-29,15.87
2012-12-30,18.02
2013-01-30,14.28
2013-02-27,15.51
2013-03-27,12.7
2013-04-29,13.52
2013-05-30,16.3
2013-06-27,16.86
2013-07-30,13.45
2013-08-29,17.01
2013-09-29,16.6
2013-10-30,13.75
2013-11-28,13.7
2013-12-30,13.72
2014-01-30,18.41
2014-02-27,14
2014-03-30,13.88
2014-04-29,13.41
2014-05-29,11.4
2014-06-29,11.57
2014-07-30,16.95
2014-08-28,11.98
2014-09-29,16.31
2014-10-30,14.03
2014-11-27,13.33
2014-12-30,19.2
2015-01-29,20.97
2015-02-26,13.34
2015-03-30,15.29
2015-04-29,14.55
2015-05-28,13.84
2015-06-29,18.23
2015-07-30,12.12
2015-08-30,28.43
2015-09-29,24.5
2015-10-29,15.07
2015-11-29,16.13
2015-12-30,18.21
2016-01-28,20.2
2016-02-28,20.55
2016-03-30,13.95
2016-04-28,15.7
2016-05-30,14.19
2016-06-29,15.63
2016-07-28,11.87
2016-08-30,13.42
2016-09-29,13.29
2016-10-30,17.06
2016-11-29,13.33
2016-12-29,14.04
2017-01-30,11.99
2017-02-27,12.92
2017-03-30,12.37
2017-04-27,10.82
2017-05-30,10.41
2017-06-29,11.18
2017-07-30,10.26
2017-08-30,10.59
2017-09-28,9.51
2017-10-30,10.18
2017-11-29,11.28
2017-12-28,11.04
2018-01-30,13.54
2018-02-27,19.85
2018-03-28,19.97
2018-04-29,15.93
2018-05-30,15.43
2018-06-28,16.09
2018-07-30,12.83
2018-08-30,12.86
2018-09-27,12.12
2018-10-30,21.23
2018-11-29,18.07
2018-12-30,25.42
2019-01-30,16.57
2019-02-27,14.78
2019-03-28,13.71
2019-04-29,13.12
2019-05-30,18.71
2019-06-27,15.08
2019-07-30,16.12
2019-08-29,18.98
2019-09-29,16.24
2019-10-30,13.22
2019-11-28,12.62
2019-12-30,13.78
2020-01-30,18.84
2020-02-27,40.11
2020-03-30,53.54
2020-04-29,34.15
2020-05-28,27.51
2020-06-29,30.43
2020-07-30,24.46
2020-08-30,26.41
2020-09-29,26.37
2020-10-29,38.02
2020-11-29,20.57
2020-12-30,22.75
2021-01-28,33.09
2021-02-25,27.95
2021-03-30,19.4
2021-04-29,18.61
2021-05-27,16.76
2021-06-29,15.83
2021-07-29,18.24
2021-08-30,16.48
2021-09-29,23.14
2021-10-28,16.26
2021-11-29,27.19
2021-12-30,17.22
2022-01-30,24.83
2022-02-27,30.15
2022-03-30,20.56
2022-04-28,33.4
2022-05-30,26.19
2022-06-29,28.71
2022-07-28,21.33
2022-08-30,25.87
2022-09-29,31.62
2022-10-30,25.88
2022-11-29,20.58
2022-12-29,21.67
2023-01-30,19.4
2023-02-27,20.7
2023-03-30,18.7
2023-04-27,15.78
2023-05-30,17.94
2023-06-29,13.59
2023-07-30,13.63
2023-08-30,13.57
2023-09-28,17.52
2023-10-30,18.14
2023-11-29,12.92
2023-12-28,12.45
2024-01-30,14.35
2024-02-28,13.4
2024-03-27,13.01
2024-04-29,15.65
2024-05-30,12.92
2024-06-27,12.44
2024-07-30,16.36
2024-08-29,15
2024-09-29,16.73
2024-10-30,23.16
2024-11-28,13.51
2024-12-30,17.35
2025-01-30,16.43
2025-02-27,19.63
2025-03-30,22.28
2025-04-29,24.7
2025-05-29,18.57
2025-06-29,16.73
2025-07-30,16.72
2025-08-28,15.36
2025-09-29,16.28
2025-10-30,17.44
2025-11-27,16.35
2025-12-14,16.5
