date,value
1990-01-30,64.21
1990-02-27,55.41
1990-03-29,49.45
1990-04-29,48.85
1990-05-30,43.37
1990-06-28,38.49
1990-07-30,52.22
1990-08-30,73.29
1990-09-27,70.76
1990-10-30,72.58
1990-11-29,53.42
1990-12-30,63.6
1991-01-30,50.11
1991-02-27,50.8
1991-03-27,40.33
1991-04-29,43.52
1991-05-30,37.89
1991-06-27,46.37
1991-07-30,35.95
1991-08-29,34.15
1991-09-29,37.26
1991-10-30,36.34
1991-11-28,47.42
1991-12-30,45.17
1992-01-30,40.64
1992-02-27,38.82
1992-03-30,37.47
1992-04-29,35.91
1992-05-28,32
1992-06-29,30.71
1992-07-30,30.24
1992-08-30,31.09
1992-09-29,32.6
1992-10-29,36.74
1992-11-29,29.55
1992-12-30,28.57
1993-01-28,28.09
1993-02-25,29.66
1993-03-30,28.15
1993-04-29,27.82
1993-05-27,30.13
1993-06-29,25.15
1993-07-29,26.2
1993-08-30,26.4
1993-09-29,28.88
1993-10-28,25.37
1993-11-29,30.44
1993-12-30,25.8
1994-01-30,23.45
1994-02-27,32.7
1994-03-30,44.81
1994-04-28,30.13
1994-05-30,28.49
1994-06-29,32.63
1994-07-28,24.19
1994-08-30,25.91
1994-09-29,30.83
1994-10-30,31.41
1994-11-29,34.37
1994-12-29,28.44
1995-01-30,25.67
1995-02-27,25.12
1995-03-30,28.49
1995-04-27,24.95
1995-05-30,27.23
1995-06-29,24.07
1995-07-30,28.53
1995-08-30,24.3
1995-09-28,26.82
1995-10-30,29.02
1995-11-29,24.32
1995-12-28,26.31
1996-01-30,26.18
1996-02-28,35.48
1996-03-28,39.11
1996-04-29,32.67
1996-05-30,33.1
1996-06-27,28.16
1996-07-30,39.98
1996-08-29,34.88
1996-09-29,34.65
1996-10-30,36.9
1996-11-28,34.86
1996-12-30,42.55
1997-01-29,39.47
1997-02-27,42.64
1997-03-30,44.63
1997-04-29,40.39
1997-05-29,38.66
1997-06-29,43.32
1997-07-30,43.17
1997-08-28,49.67
1997-09-29,45.84
1997-10-30,70.04
1997-11-27,54.79
1997-12-30,48.01
1998-01-29,42.86
1998-02-26,36.96
1998-03-30,48.17
1998-04-29,42.04
1998-05-28,42.24
1998-06-29,39
1998-07-30,49.02
1998-08-30,87.41
1998-09-29,80.74
1998-10-29,55.17
1998-11-29,51.16
1998-12-30,48.06
1999-01-28,51.54
1999-02-25,54.67
1999-03-30,45.47
1999-04-29,48.66
1999-05-27,49.28
1999-06-29,40.93
1999-07-29,47.68
1999-08-30,47.2
1999-09-29,48.82
1999-10-28,42.57
1999-11-29,46.34
1999-12-30,47.22
2000-01-30,47.68
2000-02-28,44.39
2000-03-30,45.43
2000-04-27,49.34
2000-05-30,44.48
2000-06-29,36.56
2000-07-30,38.71
2000-08-30,31.43
2000-09-28,38.2
2000-10-30,43.81
2000-11-29,54.93
2000-12-28,49.77
