date,value
1915-12-30,19.25
1916-12-30,19.47
1917-12-30,19.66
1918-12-30,19.84
1919-12-30,20.03
1920-12-30,20.63
1921-12-30,20.69
1922-12-30,20.84
1923-12-30,20.75
1924-12-30,20.78
1925-12-30,20.75
1926-12-30,20.72
1927-12-30,20.75
1928-12-30,20.78
1929-12-30,20.72
1930-12-30,20.69
1931-12-30,22.59
1932-12-30,20.78
1933-12-30,26.47
1934-12-30,35
1935-12-30,35
1936-12-30,35
1937-12-30,35
1938-12-30,35
1939-12-30,34.69
1940-12-30,34.06
1941-12-30,34.06
1942-12-30,34.06
1943-12-30,34.06
1944-12-30,34.06
1945-12-30,35
1946-12-30,35
1947-12-30,35
1948-12-30,35
1949-12-30,31.88
1950-12-30,35
1951-12-30,35
1952-12-30,34.69
1953-12-30,35
1954-12-30,35.31
1955-12-30,35.31
1956-12-30,35.31
1957-12-30,35
1958-12-30,35.31
1959-12-30,35.31
1960-12-30,35.31
1961-12-30,35.31
1962-12-30,35.31
1963-12-30,35.31
1964-12-30,35.31
1965-12-30,35.31
1966-12-30,35.31
1965-12-30,35.31
1966-12-04,40.2
1967-04-06,40.84
1968-08-06,35.99
1971-12-07,40.97
1972-01-03,59.1
1973-12-30,99.95
1974-12-30,161.68
1975-12-30,160.41
1976-12-30,123.79
1977-12-30,148.95
1978-12-30,196.8
1979-12-30,320.98
1980-12-30,607.76
1981-12-30,449.58
1982-12-30,376.11
1983-12-30,419.4
1984-12-30,358.12
1985-12-30,320.83
1986-12-30,368.23
1987-12-30,451.09
1988-12-30,432.21
1989-12-30,380.12
1990-12-30,383.9
1991-12-30,358.94
1992-12-30,343.23
1993-12-30,363.95
1994-12-30,384.64
1995-12-30,383.76
1996-12-30,386.25
1997-12-30,329.33
1998-12-30,294.19
1999-12-30,280.6
2000-12-30,276.68
2001-12-30,271.13
2002-12-30,312.86
2003-12-30,367.63
2004-12-30,409.81
2005-12-30,448.98
2006-12-30,611.54
2007-12-30,704.68
2008-12-30,880.21
2009-12-30,982.65
2010-12-30,1230.75
2011-12-30,1567.96
2012-12-30,1679.83
2013-12-30,1399.56
2014-12-30,1256.25
2015-12-30,1151.95
2016-12-30,1249.98
2017-12-30,1269.34
2018-12-30,1265.6
2019-12-30,1405.33
2020-12-30,1784.66
2021-12-30,1792.73
2022-12-30,1798.96
2023-12-30,1953.69
2024-12-30,2404.58
2025-12-30,3471.83
