date,value
1966-12-04,39.84
1967-04-06,41.1
1968-08-06,35.96
1971-12-07,40.8
1972-01-03,58.17
1973-12-30,97.12
1974-12-30,158.76
1975-12-30,160.87
1976-12-30,124.8
1977-12-30,147.84
1978-12-30,193.57
1979-12-30,307.01
1980-12-30,614.75
1981-12-30,459.16
1982-12-30,376.11
1983-12-30,423.71
1984-12-30,360.65
1985-12-30,317.42
1986-12-30,368.2
1987-12-30,446.84
1988-12-30,436.78
1989-12-30,381.27
1990-12-30,383.73
1991-12-30,362.34
1992-12-30,343.87
1993-12-30,360.05
1994-12-30,384.16
1995-12-30,384.07
1996-12-30,387.73
1997-12-30,331
1998-12-30,294.12
1999-12-30,278.86
2000-12-30,279.29
2001-12-30,271.19
2002-12-30,310.08
2003-12-30,363.83
2004-12-30,409.53
2005-12-30,444.99
2006-12-30,604.34
2007-12-30,696.43
2008-12-30,872.37
2009-12-30,973.66
2010-12-30,1226.66
2011-12-30,1573.16
2012-12-30,1668.86
2013-12-30,1409.51
2014-12-30,1266.06
2015-12-30,1158.86
2016-12-30,1251.92
2017-12-30,1260.39
2018-12-30,1268.93
2019-12-30,1393.34
2020-12-30,1773.73
2021-12-30,1798.89
2022-12-30,1801.87
2023-12-30,1943
2024-12-30,2378.83
2025-12-30,3404.35
