date,value
1967-04-06,-16.07
1968-08-06,6.16
1971-12-07,16.37
1972-01-03,48.74
1973-12-30,73.49
1974-12-30,67.04
1975-12-30,-25.2
1976-12-30,-4.06
1977-12-30,23.08
1978-12-30,35.57
1979-12-30,133.41
1980-12-30,12.5
1981-12-30,-32.15
1982-12-30,12
1983-12-30,-14.84
1984-12-30,-19
1985-12-30,5.83
1986-12-30,19.54
1987-12-30,24.46
1988-12-30,-15.69
1989-12-30,-2.23
1990-12-30,-2.49
1991-12-30,-9.62
1992-12-30,-5.8
1993-12-30,17.35
1994-12-30,-2.09
1995-12-30,1.1
1996-12-30,-4.43
1997-12-30,-21.74
1998-12-30,-0.61
1999-12-30,1.18
2000-12-30,-6.26
2001-12-30,1.41
2002-12-30,23.96
2003-12-30,21.74
2004-12-30,4.97
2005-12-30,17.12
2006-12-30,23.92
2007-12-30,31.59
2008-12-30,3.41
2009-12-30,27.63
2010-12-30,27.74
2011-12-30,11.65
2012-12-30,5.68
2013-12-30,-27.79
2014-12-30,-0.19
2015-12-30,-11.59
2016-12-30,8.63
2017-12-30,12.57
2018-12-30,-1.15
2019-12-30,18.83
2020-12-30,24.43
2021-12-30,-3.51
2022-12-30,-0.23
2023-12-30,13.08
2024-12-30,27.23
2025-12-30,64.36
