date,value
1914-12-31,614.78
1915-01-31,620.93
1915-02-28,627.2
1915-03-31,620.93
1915-04-30,614.78
1915-05-31,614.78
1915-06-30,614.78
1915-07-31,614.78
1915-08-31,614.78
1915-09-30,608.75
1915-10-31,602.84
1915-11-30,602.84
1915-12-31,603.87
1916-01-31,603.87
1916-02-29,598.12
1916-03-31,592.48
1916-04-30,586.94
1916-05-31,581.51
1916-06-30,581.51
1916-07-31,576.17
1916-08-31,565.79
1916-09-30,555.78
1916-10-31,546.11
1916-11-30,541.4
1916-12-31,542.01
1917-01-31,528.46
1917-02-28,528.46
1917-03-31,503.3
1917-04-30,495.43
1917-05-31,487.81
1917-06-30,495.43
1917-07-31,487.81
1917-08-31,476.81
1917-09-30,469.74
1917-10-31,469.74
1917-11-30,462.89
1917-12-31,457.12
1918-01-31,453.87
1918-02-28,457.12
1918-03-31,450.68
1918-04-30,441.35
1918-05-31,435.35
1918-06-30,423.82
1918-07-31,415.56
1918-08-31,407.62
1918-09-30,399.98
1918-10-31,392.61
1918-11-30,387.86
1918-12-31,391.57
1919-01-31,398.82
1919-02-28,393.96
1919-03-31,386.88
1919-04-30,382.3
1919-05-31,382.3
1919-06-30,371.32
1919-07-31,365.02
1919-08-31,362.97
1919-09-30,356.96
1919-10-31,349.24
1919-11-30,341.85
1919-12-31,344.79
1920-01-31,341.25
1920-02-29,337.79
1920-03-31,327.8
1920-04-30,323.03
1920-05-31,318.39
1920-06-30,319.92
1920-07-31,327.8
1920-08-31,332.72
1920-09-30,334.39
1920-10-31,336.08
1920-11-30,343.01
1920-12-31,351.25
1921-01-31,362.71
1921-02-28,364.69
1921-03-31,368.72
1921-04-30,377.05
1921-05-31,379.19
1921-06-30,377.05
1921-07-31,377.05
1921-08-31,381.36
1921-09-30,381.36
1921-10-31,383.55
1921-11-30,385.77
1921-12-31,397.76
1922-01-31,397.76
1922-02-28,402.53
1922-03-31,402.53
1922-04-30,402.53
1922-05-31,402.53
1922-06-30,400.13
1922-07-31,404.95
1922-08-31,404.95
1922-09-30,402.53
1922-10-31,400.13
1922-11-30,397.76
1922-12-31,398.4
1923-01-31,398.4
1923-02-28,398.4
1923-03-31,396.04
1923-04-30,396.04
1923-05-31,393.71
1923-06-30,389.14
1923-07-31,391.41
1923-08-31,389.14
1923-09-30,386.89
1923-10-31,386.89
1923-11-30,386.89
1923-12-31,387.45
1924-01-31,389.7
1924-02-29,391.98
1924-03-31,394.28
1924-04-30,394.28
1924-05-31,394.28
1924-06-30,391.98
1924-07-31,394.28
1924-08-31,391.98
1924-09-30,389.7
1924-10-31,389.7
1924-11-30,387.45
1924-12-31,386.89
1925-01-31,389.14
1925-02-28,386.89
1925-03-31,389.14
1925-04-30,386.89
1925-05-31,382.47
1925-06-30,378.14
1925-07-31,378.14
1925-08-31,378.14
1925-09-30,378.14
1925-10-31,371.84
1925-11-30,373.92
1925-12-31,373.38
1926-01-31,373.38
1926-02-28,375.48
1926-03-31,373.38
1926-04-30,375.48
1926-05-31,377.6
1926-06-30,381.91
1926-07-31,384.11
1926-08-31,381.91
1926-09-30,379.74
1926-10-31,377.6
1926-11-30,377.6
1926-12-31,382.47
1927-01-31,384.66
1927-02-28,386.89
1927-03-31,386.89
1927-04-30,384.66
1927-05-31,380.29
1927-06-30,386.89
1927-07-31,389.14
1927-08-31,386.89
1927-09-30,384.66
1927-10-31,386.89
1927-11-30,386.89
1927-12-31,387.45
1928-01-31,391.98
1928-02-29,391.98
1928-03-31,391.98
1928-04-30,389.7
1928-05-31,391.98
1928-06-30,391.98
1928-07-31,391.98
1928-08-31,387.45
1928-09-30,389.7
1928-10-31,389.7
1928-11-30,391.98
1928-12-31,390.85
1929-01-31,390.85
1929-02-28,393.14
1929-03-31,395.47
1929-04-30,393.14
1929-05-31,390.85
1929-06-30,386.33
1929-07-31,386.33
1929-08-31,386.33
1929-09-30,386.33
1929-10-31,386.33
1929-11-30,388.57
1929-12-31,390.28
1930-01-31,392.58
1930-02-28,394.9
1930-03-31,392.58
1930-04-30,394.9
1930-05-31,397.25
1930-06-30,402.04
1930-07-31,404.47
1930-08-31,402.04
1930-09-30,404.47
1930-10-31,406.94
1930-11-30,414.52
1930-12-31,458.28
1931-01-31,464.12
1931-02-28,467.09
1931-03-31,470.11
1931-04-30,476.25
1931-05-31,482.56
1931-06-30,482.56
1931-07-31,482.56
1931-08-31,485.78
1931-09-30,489.04
1931-10-31,495.69
1931-11-30,499.09
1931-12-31,468.73
