date,value
0297-02-19,366.63
0382-01-05,392.68
0458-09-03,380.66
0549-01-09,359.53
0631-03-01,367.26
0716-01-15,364.83
0800-11-29,358.2
0880-04-23,363.11
0967-12-04,381.17
1052-10-19,385.53
1129-06-18,385.45
1214-05-03,385.11
1296-06-21,387.43
1378-08-11,382.38
1463-06-27,363.37
1548-05-12,363.32
1627-10-05,357
1715-05-17,353.43
1800-04-01,344.61
1876-11-28,305.79
1967-04-06,301.26
2049-05-25,298.5
2050-01-22,297.1
2051-09-03,298.07
2052-10-23,300.36
2053-03-18,296.66
2054-10-27,295.21
2055-09-12,291.88
2056-05-11,295.93
2057-09-17,298.2
2058-11-05,306.19
2059-09-20,306.27
2060-08-06,302.95
2061-12-30,307.97
2062-08-29,313.59
2063-01-03,312.88
2064-02-22,318.54
2065-10-22,326.56
2066-02-27,319.38
2067-04-18,336.67
1954-11-28,324.14
1955-01-17,335.84
1956-06-11,334.39
1957-01-21,343.46
1958-03-13,341.4
1959-10-22,368.47
1960-03-17,378.01
1961-05-06,376.94
1962-09-29,384.74
1963-02-04,459.8
1964-03-25,495.83
1965-02-08,530.42
1966-12-25,513.03
1967-05-20,491.12
1968-12-29,491.31
1969-02-17,483.84
1970-07-13,491.05
1971-11-18,499.74
1972-07-18,641.36
1973-03-29,672.31
1973-04-29,671.02
1973-05-30,841.3
1973-06-28,901.27
1973-07-30,838.8
1973-08-30,743.82
1973-09-27,715.41
1973-10-30,687.92
1973-11-29,704.5
1973-12-30,783.71
1974-01-30,922.34
1974-02-27,1158.35
1974-03-28,1167.43
1974-04-29,1132.32
1974-05-30,1038.7
1974-06-27,966.04
1974-07-30,1005.55
1974-08-29,1001.55
1974-09-29,940.27
1974-10-30,1050.37
1974-11-28,1139.92
1974-12-30,1165.32
1975-01-30,1091.2
1975-02-27,1116.68
1975-03-26,1087.95
1975-04-29,1020.73
1975-05-29,1017.1
1975-06-29,998.98
1975-07-30,990.3
1975-08-28,959.37
1975-09-29,816.74
1975-10-30,842.54
1975-11-27,806.4
1975-12-30,815.12
1976-01-29,742.59
1976-02-26,764.78
1976-03-30,747.26
1976-04-29,736.83
1976-05-27,715.06
1976-06-29,703.05
1976-07-29,634.95
1976-08-30,579.09
1976-09-29,650.16
1976-10-28,681.33
1976-11-29,723.54
1976-12-30,745.71
1977-01-30,728.38
1977-02-27,776.38
1977-03-30,812.09
1977-04-28,787.59
1977-05-30,766.02
1977-06-29,759.64
1977-07-28,764.1
1977-08-30,769.51
1977-09-29,808.5
1977-10-30,842.01
1977-11-29,832.72
1977-12-29,860.16
1978-01-30,904.2
1978-02-27,933.32
1978-03-30,919.6
1978-04-27,858.14
1978-05-30,924.67
1978-06-29,906.34
1978-07-30,976.52
1978-08-30,1013.13
1978-09-28,1054.75
1978-10-30,1171.27
1978-11-29,927
1978-12-28,1069.64
1979-01-30,1100.63
1979-02-27,1171.21
1979-03-29,1107.47
1979-04-29,1112.29
1979-05-30,1250.32
1979-06-28,1233.36
1979-07-30,1303.26
1979-08-30,1388.8
1979-09-27,1716.58
1979-10-30,1628.89
1979-11-29,1773.02
1979-12-30,2203.68
1980-01-30,2769.55
1980-02-28,2616.46
1980-03-30,2026.58
1980-04-29,2067.78
1980-05-29,2095.46
1980-06-29,2584
1980-07-30,2410.43
1980-08-28,2454.06
1980-09-29,2572.81
1980-10-30,2419.21
1980-11-27,2344.7
1980-12-30,2203.36
1981-01-29,1881.61
1981-02-26,1799.04
1981-03-30,1874.32
1981-04-29,1741.32
1981-05-28,1719.67
1981-06-29,1500.66
1981-07-30,1427.05
1981-08-27,1487
1981-09-29,1476.1
1981-10-29,1481.57
1981-11-29,1430.35
1981-12-30,1372.6
1982-01-28,1328.04
1982-02-25,1238.59
1982-03-30,1093.98
1982-04-29,1212.58
1982-05-27,1095.97
1982-06-29,1044.17
1982-07-29,1133.1
1982-08-30,1352.31
1982-09-29,1300.62
1982-10-28,1386.16
1982-11-29,1409.56
1982-12-30,1480.61
1983-01-30,1658.98
1983-02-27,1382.99
1983-03-30,1364.87
1983-04-28,1401.8
1983-05-30,1427.46
1983-06-29,1351.03
1983-07-28,1363.38
1983-08-30,1334.35
1983-09-29,1294.09
1983-10-30,1224.77
1983-11-29,1293.27
1983-12-29,1214.78
1984-01-30,1177.24
1984-02-28,1249.29
1984-03-29,1221.39
1984-04-29,1176.99
1984-05-30,1196.19
1984-06-28,1167.22
1984-07-30,1058.47
1984-08-30,1073.25
1984-09-27,1057.23
1984-10-30,1024.66
1984-11-29,1006.59
1984-12-30,946.55
1985-01-30,932.22
1985-02-27,884
1985-03-28,999.82
1985-04-29,979.6
1985-05-30,941.38
1985-06-27,948.8
1985-07-30,981.75
1985-08-29,1002.78
1985-09-29,972.45
1985-10-30,966.64
1985-11-28,968.87
1985-12-30,965.03
1986-01-30,1041.85
1986-02-27,998.23
1986-03-26,1024.31
1986-04-29,1023.97
1986-05-29,1017
1986-06-29,1017.76
1986-07-30,1053.85
1986-08-28,1134.99
1986-09-29,1232.87
1986-10-30,1174.15
1986-11-27,1139.48
1986-12-30,1141.08
1987-01-29,1181.47
1987-02-26,1172.75
1987-03-30,1205.65
1987-04-29,1300.83
1987-05-28,1288.39
1987-06-29,1270.63
1987-07-30,1315.9
1987-08-27,1285.45
1987-09-29,1287.86
1987-10-29,1309.27
1987-11-29,1380.53
1987-12-30,1359.84
1988-01-28,1297.07
1988-02-28,1178.32
1988-03-30,1268.09
1988-04-28,1238.87
1988-05-30,1246.32
1988-06-29,1194.16
1988-07-28,1177.82
1988-08-30,1155.66
1988-09-29,1066.63
1988-10-30,1106.42
1988-11-29,1129.63
1988-12-29,1097.91
1989-01-30,1051.72
1989-02-27,1025.91
1989-03-30,1008.3
1989-04-27,999.13
1989-05-30,947.1
1989-06-29,964.69
1989-07-30,957.05
1989-08-30,930.92
1989-09-28,952.2
1989-10-30,965.76
1989-11-29,1042.24
1989-12-28,1025.75
1990-01-30,1057.18
1990-02-27,1030.94
1990-03-29,932.85
1990-04-29,929.77
1990-05-30,908.01
1990-06-28,875.06
1990-07-30,917.96
1990-08-30,951.26
1990-09-27,987.13
1990-10-30,916.34
1990-11-29,927.66
1990-12-30,942.61
1991-01-30,885.72
1991-02-27,868.62
1991-03-27,845.83
1991-04-29,843.26
1991-05-30,860.04
1991-06-27,870.2
1991-07-30,861.11
1991-08-29,819.39
1991-09-29,824.04
1991-10-30,839.03
1991-11-28,858.72
1991-12-30,826.64
1992-01-30,827.19
1992-02-27,821.65
1992-03-30,790.77
1992-04-29,777.5
1992-05-28,779.39
1992-06-29,790.07
1992-07-30,821.78
1992-08-27,779.5
1992-09-29,796.7
1992-10-29,770.69
1992-11-29,758.02
1992-12-30,756.73
1993-01-28,748.16
1993-02-25,741.03
1993-03-30,756.76
1993-04-29,791.73
1993-05-27,852.26
1993-06-29,846.61
1993-07-29,901.79
1993-08-30,825.56
1993-09-29,783.95
1993-10-28,817.14
1993-11-29,820.34
1993-12-30,864.26
1994-01-30,834.42
1994-02-27,837.19
1994-03-30,853.95
1994-04-28,823.8
1994-05-30,844.67
1994-06-29,839.97
1994-07-28,834.77
1994-08-30,836.17
1994-09-29,853.58
1994-10-30,835.85
1994-11-29,826.01
1994-12-29,824.18
1995-01-30,806.62
1995-02-27,803.09
1995-03-30,823.55
1995-04-27,827.11
1995-05-30,814.35
1995-06-29,819.83
1995-07-30,810.84
1995-08-30,805.14
1995-09-28,807.98
1995-10-30,802.52
1995-11-29,814.49
1995-12-28,812.6
1996-01-30,842.34
1996-02-28,833.68
1996-03-28,821.84
1996-04-29,805.16
1996-05-30,804.45
1996-06-27,784.89
1996-07-30,792.02
1996-08-29,794.1
1996-09-29,775.33
1996-10-30,772.88
1996-11-28,756.37
1996-12-30,751.59
1997-01-30,699.46
1997-02-27,728.79
1997-03-26,704.59
1997-04-29,685.49
1997-05-29,696.6
1997-06-29,672.19
1997-07-30,655.17
1997-08-28,652.74
1997-09-29,657.83
1997-10-30,619.57
1997-11-27,592.99
1997-12-30,578.33
1998-01-29,602.41
1998-02-26,590.83
1998-03-30,596.4
1998-04-29,616.74
1998-05-28,579.34
1998-06-29,585.26
1998-07-30,571.99
1998-08-27,539.71
1998-09-29,579.86
1998-10-29,576.48
1998-11-29,581.69
1998-12-30,565.71
1999-01-28,560.8
1999-02-25,562.37
1999-03-30,546.99
1999-04-29,554.78
1999-05-27,526.05
1999-06-29,506.94
1999-07-29,496.81
1999-08-30,491.47
1999-09-29,583.55
1999-10-28,573.11
1999-11-29,559.64
1999-12-29,557.44
