date,value
1970-08-06,-26.96
1971-12-07,-9.82
1972-01-03,31.33
1973-12-30,13.94
1974-12-30,-0.06
1975-12-30,-9.15
1976-12-30,1.79
1977-12-30,24.44
1978-12-30,87.42
1979-12-30,95.94
1980-12-30,-13.31
1981-12-30,-36.39
1982-12-30,2.3
1983-12-30,1.79
1984-12-30,-26.59
1985-12-30,16.57
1986-12-30,40.32
1987-12-30,4.71
1988-12-30,4.1
1989-12-30,-6.15
1990-12-30,-15.71
1991-12-30,-17.85
1992-12-30,4.51
1993-12-30,11.46
1994-12-30,5.84
1995-12-30,-4.5
1996-12-30,-7.22
1997-12-30,-1.76
1998-12-30,-0.76
1999-12-30,22.97
2000-12-30,39.73
2001-12-30,-22.46
2002-12-30,24.58
2003-12-30,35.95
2004-12-30,5.9
2005-12-30,12.08
2006-12-30,15.85
2007-12-30,37.21
2008-12-30,-41.46
2009-12-30,62.69
2010-12-30,20.12
2011-12-30,-22.85
2012-12-30,12.78
2013-12-30,-11.13
2014-12-30,-11.13
2015-12-30,-26.07
2016-12-30,1.3
2017-12-30,3.81
2018-12-30,-14.7
2019-12-30,22.12
2020-12-30,10.44
2021-12-30,-10.44
2022-12-30,10.68
2023-12-30,-6.99
2024-12-30,-9.86
2025-12-30,107.98
