date,value
1052-10-19,2135.61
1129-06-18,2031.77
1206-02-14,1934.47
1296-06-21,1612.81
1375-11-15,1612.81
1463-06-27,1398.65
1548-05-12,1369.13
1627-10-05,1390.5
1715-05-17,1444.13
1800-04-01,1504.71
1876-11-28,1569.8
1967-04-06,1423.72
2049-05-25,1448.96
2050-01-22,1468.5
2051-09-03,1501.01
2052-10-23,1323.76
2053-06-21,1228.41
2054-10-27,1221.91
2055-09-12,1186.86
2056-07-28,1149.64
2057-09-17,1026.11
2058-11-05,941.49
2059-09-20,925.33
2060-08-06,985.03
2061-12-30,790.19
2062-08-29,865.01
2063-01-03,876.88
2064-02-22,823.7
2065-10-22,899.65
2066-02-27,884.1
2067-04-18,934.4
1954-11-28,893.37
1955-01-17,899.06
1956-06-11,820.2
1957-01-21,851.75
1958-03-13,860.16
1959-10-22,784.82
1960-03-17,765.4
1961-05-06,813.26
1962-09-29,778.81
1963-02-04,845.17
1964-03-25,1110.01
1965-02-08,1097.79
1966-12-25,1186.56
1967-05-20,1061.16
1968-12-29,1002
1969-02-17,1073.43
1970-07-13,1092.46
1971-11-18,1041.13
1972-07-18,1233.1
1973-03-29,1059.46
1973-04-29,1035.75
1973-05-30,1127.86
1973-06-28,1178.59
1973-07-30,1274.23
1973-08-30,1194.41
1973-09-27,1229.59
1973-10-30,1156.55
1973-11-29,1099.8
1973-12-27,1145.02
1974-01-30,1339.39
1974-02-27,1869.08
1974-03-28,1667.46
1974-04-29,1602.72
1974-05-30,1400.42
1974-06-27,1336.98
1974-07-30,1413.65
1974-08-29,1196.7
1974-09-29,1222.03
1974-10-30,1186.72
1974-11-28,1158.71
1974-12-30,1018.65
1975-01-30,922.49
1975-02-27,949.25
1975-03-30,960.34
1975-04-29,885.37
1975-05-29,908.26
1975-06-29,943.61
1975-07-30,1033.74
1975-08-28,968.28
1975-09-29,929.52
1975-10-30,854.29
1975-11-27,845.77
1975-12-30,865.39
1976-01-29,812.2
1976-02-26,800.04
1976-03-30,801.27
1976-04-29,925.71
1976-05-27,936.28
1976-06-29,1001.3
1976-07-29,943.39
1976-08-30,873.84
1976-09-29,915.04
1976-10-28,876.32
1976-11-29,868.13
1976-12-29,839.99
1977-01-30,881.12
1977-02-27,903.83
1977-03-30,889.18
1977-04-28,855.32
1977-05-30,824.86
1977-06-29,815.49
1977-07-28,799
1977-08-30,784.27
1977-09-29,819.22
1977-10-30,898.56
1977-11-29,905.67
1977-12-29,979.63
1978-01-30,1133.87
1978-02-27,1181.01
1978-03-30,1164.68
1978-04-27,1072.68
1978-05-30,1271.74
1978-06-29,1191.5
1978-07-30,1318.72
1978-08-30,1267.76
1978-09-28,1388.71
1978-10-30,1829.61
1978-11-29,1539.58
1978-12-28,1684.18
1979-01-30,1816.83
1979-02-27,1935.37
1979-03-29,1782.59
1979-04-29,1866.38
1979-05-30,2018.37
1979-06-28,1882.54
1979-07-30,1680.32
1979-08-30,1858.88
1979-09-27,2460.72
1979-10-30,2065.33
1979-11-29,2317
1979-12-27,2912.72
1980-01-30,3449.5
1980-02-28,3761.58
1980-03-30,2333.07
1980-04-29,2257.93
1980-05-29,2347.44
1980-06-29,2706.08
1980-07-30,2500.14
1980-08-28,2568.1
1980-09-29,2719.5
1980-10-30,2500.23
1980-11-27,2429.21
1980-12-30,2244.1
1981-01-29,1718.1
1981-02-26,1694.27
1981-03-30,1881.2
1981-04-29,1728.29
1981-05-28,1693.98
1981-06-29,1491.9
1981-07-30,1436.38
1981-08-30,1493.64
1981-09-29,1434.22
1981-10-29,1434.26
1981-11-29,1363.91
1981-12-30,1310.56
1982-01-28,1259.46
1982-02-25,1173.97
1982-03-30,1101.21
1982-04-29,1093.1
1982-05-27,970.71
1982-06-29,944.6
1982-07-29,945.52
1982-08-30,1046.92
1982-09-29,940.34
1982-10-28,1146.7
1982-11-29,1250.09
1982-12-29,1291.24
1983-01-30,1644.8
1983-02-27,1305.73
1983-03-30,1317.26
1983-04-28,1403.11
1983-05-30,1470.38
1983-06-29,1382.31
1983-07-28,1432.64
1983-08-30,1415.15
1983-09-29,1304.53
1983-10-30,1204.33
1983-11-29,1310.64
1983-12-29,1266.36
1984-01-30,1238.65
1984-02-28,1271.97
1984-03-29,1256.92
1984-04-29,1232.99
1984-05-30,1238.77
1984-06-28,1187.16
1984-07-30,1026.56
1984-08-30,1055.04
1984-09-27,1000.8
1984-10-30,995.25
1984-11-29,967.68
1984-12-27,894.29
1985-01-30,857.61
1985-02-27,758.63
1985-03-28,867.16
1985-04-29,824.36
1985-05-30,802.64
1985-06-27,802.87
1985-07-30,850.54
1985-08-29,1000.54
1985-09-29,902.46
1985-10-30,952.55
1985-11-28,1017.99
1985-12-30,1004.28
1986-01-30,1088.94
1986-02-27,1184.89
1986-03-30,1193.3
1986-04-29,1245.25
1986-05-29,1255.88
1986-06-29,1266.68
1986-07-30,1365.36
1986-08-28,1834.8
1986-09-29,1606.95
1986-10-30,1659.6
1986-11-27,1396.6
1986-12-30,1393.87
1987-01-29,1519.98
1987-02-26,1515.98
1987-03-30,1601.3
1987-04-29,1733.01
1987-05-28,1648.45
1987-06-29,1571.6
1987-07-30,1743.19
1987-08-30,1672.02
1987-09-29,1575.22
1987-10-29,1472.93
1987-11-29,1440.2
1987-12-30,1397.58
1988-01-28,1269.89
1988-02-28,1329.17
1988-03-30,1467.44
1988-04-28,1435.13
1988-05-30,1689.67
1988-06-29,1521.23
1988-07-28,1426.35
1988-08-30,1446.1
1988-09-29,1357.02
1988-10-30,1479.97
1988-11-29,1630.9
1988-12-29,1393.3
1989-01-30,1379.74
1989-02-27,1427.12
1989-03-30,1396.53
1989-04-27,1391.39
1989-05-30,1302.75
1989-06-29,1291.8
1989-07-30,1295.17
1989-08-30,1220.61
1989-09-28,1273.47
1989-10-30,1253.26
1989-11-29,1306.64
1989-12-28,1249.57
1990-01-30,1279.86
1990-02-27,1280.16
1990-03-29,1193
1990-04-29,1182.39
1990-05-30,1227.7
1990-06-28,1208.05
1990-07-30,1202.18
1990-08-30,1178.97
1990-09-27,1059.81
1990-10-30,1059.5
1990-11-29,1029.4
1990-12-30,992.63
1991-01-30,938.21
1991-02-27,972.71
1991-03-27,940.21
1991-04-29,940.01
1991-05-30,895.61
1991-06-27,900.09
1991-07-30,862.06
1991-08-29,801.68
1991-09-29,829.91
1991-10-30,851.01
1991-11-28,868.43
1991-12-30,791.2
1992-01-30,837.35
1992-02-27,836.66
1992-03-30,834.77
1992-04-29,804.67
1992-05-28,846.23
1992-06-29,873.12
1992-07-30,882.74
1992-08-30,826.43
1992-09-29,838.93
1992-10-29,809.81
1992-11-29,823.44
1992-12-30,803.56
1993-01-28,821.11
1993-02-25,780.48
1993-03-30,814.26
1993-04-29,871.36
1993-05-27,890.29
1993-06-29,861.69
1993-07-29,929.82
1993-08-30,853.18
1993-09-29,801.4
1993-10-28,823.56
1993-11-29,810.27
1993-12-30,871.67
1994-01-30,843.91
1994-02-27,869.62
1994-03-30,927.47
1994-04-28,874.24
1994-05-30,879.12
1994-06-29,879.41
1994-07-28,917.26
1994-08-30,895.16
1994-09-29,900.32
1994-10-30,896.48
1994-11-29,871.58
1994-12-29,898.52
1995-01-30,889.56
1995-02-27,878.55
1995-03-30,940.63
1995-04-27,948.15
1995-05-30,917.67
1995-06-29,935.96
1995-07-30,897.14
1995-08-30,902.39
1995-09-28,891.67
1995-10-30,860.44
1995-11-29,867.3
1995-12-28,836.87
1996-01-30,877.43
1996-02-28,859.5
1996-03-28,846.59
1996-04-29,827.04
1996-05-30,822.37
1996-06-27,801.46
1996-07-30,821.3
1996-08-29,813.58
1996-09-29,782.9
1996-10-30,776.35
1996-11-28,762.17
1996-12-30,751.49
1997-01-30,712.13
1997-02-27,792.26
1997-03-30,752.98
1997-04-29,753.55
1997-05-29,804.89
1997-06-29,865.26
1997-07-30,874.23
1997-08-28,820.44
