date,value
1915-12-30,0.51
1916-12-30,0.67
1917-12-30,0.84
1918-12-30,0.98
1919-12-30,1.13
1920-12-30,1.03
1921-12-30,0.63
1922-12-30,0.68
1923-12-30,0.65
1924-12-30,0.67
1925-12-30,0.69
1926-12-30,0.62
1927-12-30,0.57
1928-12-30,0.58
1929-12-30,0.53
1930-12-30,0.38
1931-12-30,0.29
1932-12-30,0.28
1933-12-30,0.35
1934-12-30,0.48
1935-12-30,0.64
1936-12-30,0.45
1937-12-30,0.45
1938-12-30,0.43
1939-12-30,0.39
1940-12-30,0.35
1941-12-30,0.35
1942-12-30,0.38
1943-12-30,0.45
1944-12-30,0.45
1945-12-30,0.52
1946-12-30,0.8
1947-12-30,0.72
1948-12-30,0.74
1949-12-30,0.72
1950-12-30,0.74
1951-12-30,0.89
1952-12-30,0.85
1953-12-30,0.85
1954-12-30,0.85
1955-12-30,0.89
1956-12-30,0.92
1957-12-30,0.92
1958-12-30,0.89
1959-12-30,0.92
1960-12-30,0.92
1961-12-30,0.93
1962-12-30,1.09
1963-12-30,1.29
1964-12-30,1.3
1965-12-30,1.3
1966-12-30,1.3
1965-12-30,1.66
1966-12-04,2.19
1967-04-06,1.8
1968-08-06,1.75
1971-12-07,1.52
1972-01-03,1.7
1973-12-30,2.59
1974-12-30,4.75
1975-12-30,4.42
1976-12-30,4.34
1977-12-30,4.65
1978-12-30,5.5
1979-12-30,12.52
1980-12-30,19.48
1981-12-30,10.01
1982-12-30,7.93
1983-12-30,11.33
1984-12-30,8.06
1985-12-30,6.16
1986-12-30,5.4
1987-12-30,7.05
1988-12-30,6.42
1989-12-30,5.42
1990-12-30,4.76
1991-12-30,3.99
1992-12-30,3.92
1993-12-30,4.41
1994-12-30,5.3
1995-12-30,5.2
1996-12-30,5.15
1997-12-30,5
1998-12-30,5.5
1999-12-30,5.28
2000-12-30,4.91
2001-12-30,4.39
2002-12-30,4.61
2003-12-30,4.95
2004-12-30,6.69
2005-12-30,7.39
2006-12-30,11.83
2007-12-30,13.51
2008-12-30,14.98
2009-12-30,14.77
2010-12-30,20.51
2011-12-30,35.56
2012-12-30,31.63
2013-12-30,23.53
2014-12-30,18.76
2015-12-30,15.51
2016-12-30,17.13
2017-12-30,17.24
2018-12-30,15.64
2019-12-30,16.36
2020-12-30,20.8
2021-12-30,24.97
2022-12-30,21.67
2023-12-30,23.58
2024-12-30,28.13
2025-12-30,40.86
