date,value
1988-12-30,-7.78
1989-12-30,29.7
1990-12-30,34.68
1991-12-30,-37.39
1992-12-30,0.56
1993-12-30,-26.16
1994-12-30,23.14
1995-12-30,14.91
1996-12-30,28.15
1997-12-30,-33.64
1998-12-30,-33.54
1999-12-30,136.53
2000-12-30,-9.43
2001-12-30,-14.3
2002-12-30,55.66
2003-12-30,0.6
2004-12-30,33.27
2005-12-30,44.48
2006-12-30,1.06
2007-12-30,58.89
2008-12-30,-61.76
2009-12-30,117.5
2010-12-30,19.66
2011-12-30,15.94
2012-12-30,2.51
2013-12-30,-0.77
2014-12-30,-49.73
2015-12-30,-32.55
2016-12-30,52.41
2017-12-30,17.44
2018-12-30,-24.22
2019-12-30,34.01
2020-12-30,-24.42
2021-12-30,50.8
2022-12-30,7.22
2023-12-30,-6.19
2024-12-30,-4
2025-12-30,-15.12
