date,value
1946-12-30,1.36
1947-12-30,1.84
1948-12-30,2.57
1949-12-30,2.57
1950-12-30,2.57
1951-12-30,2.57
1952-12-30,2.57
1953-12-30,2.72
1954-12-30,2.82
1955-12-30,2.82
1956-12-30,2.82
1957-12-30,3.04
1958-12-30,3.06
1959-12-30,2.98
1960-12-30,2.97
1961-12-30,2.97
1962-12-30,2.97
1963-12-30,2.97
1964-12-30,2.95
1965-12-30,2.92
1966-12-30,2.94
1965-12-30,3.03
1966-12-04,3.07
1967-04-06,3.3
1968-08-06,3.35
1971-12-07,3.56
1972-01-03,3.56
1973-12-30,3.87
1974-12-30,10.37
1975-12-30,11.16
1976-12-30,12.65
1977-12-30,14.3
1978-12-30,14.85
1979-12-30,22.4
1980-12-30,37.38
1981-12-30,36.67
1982-12-30,33.64
1983-12-30,30.4
1984-12-30,29.24
1985-12-30,27.87
1986-12-30,14.41
1987-12-30,19.03
1988-12-30,15.99
1989-12-30,19.58
1990-12-30,24.84
1991-12-30,21.14
1992-12-30,20.6
1993-12-30,18.51
1994-12-30,17.45
1995-12-30,18.44
1996-12-30,21.68
1997-12-30,20.39
1998-12-30,14.6
1999-12-30,19.69
2000-12-30,29.73
2001-12-30,25.25
2002-12-30,26.59
2003-12-30,30.9
2004-12-30,41.58
2005-12-30,57.25
2006-12-30,66.92
2007-12-30,74.89
2008-12-30,98.69
2009-12-30,63.78
2010-12-30,79.95
2011-12-30,96.79
2012-12-30,94.03
2013-12-30,97.57
2014-12-30,91.56
2015-12-30,49.19
2016-12-30,44.22
2017-12-30,51.86
2018-12-30,64.58
2019-12-30,57.31
2020-12-30,38.58
2021-12-30,68.23
2022-12-30,94.25
2023-12-30,77.7
2024-12-30,75.82
2025-12-30,64.42
