date,value
1967-04-06,0.4234
1968-08-06,0.5378
1971-12-07,0.4487
1972-01-03,0.5145
1973-12-30,0.6615
1974-12-30,0.693
1975-12-30,0.7858
1976-12-30,1.4272
1977-12-30,2.4011
1978-12-30,1.6548
1979-12-30,1.7463
1980-12-30,1.6427
1981-12-30,1.2717
1982-12-30,1.4043
1983-12-30,1.3331
1984-12-30,1.4548
1985-12-30,1.4208
1986-12-30,2.0103
1987-12-30,1.0898
1988-12-30,1.2077
1989-12-30,1.042
1990-12-30,0.8072
1991-12-30,0.7071
1992-12-30,0.4945
1993-12-30,0.5892
1994-12-30,1.3796
1995-12-30,1.4468
1996-12-30,1.2853
1997-12-30,2.0471
1998-12-30,1.3798
1999-12-30,1.0427
2000-12-30,0.9194
2001-12-30,0.5477
2002-12-30,0.4503
2003-12-30,0.5078
2004-12-30,0.6827
2005-12-30,1.0141
2006-12-30,1.0377
2007-12-30,1.1179
2008-12-30,1.2654
2009-12-30,1.1518
2010-12-30,1.536
2011-12-30,2.4751
2012-12-30,1.7498
2013-12-30,1.2258
2014-12-30,2.4306
2015-12-30,1.3243
2016-12-30,1.3751
2017-12-30,1.3404
2018-12-30,1.136
2019-12-30,1.0182
2020-12-30,1.1138
2021-12-30,1.6933
2022-12-30,2.1443
2023-12-30,1.7006
2024-12-30,0.8727
2025-12-30,0.608
