date,value
1959-12-30,0.31
1960-12-30,0.3
1961-12-30,0.3
1962-12-30,0.29
1963-12-30,0.3
1964-12-30,0.4
1965-12-30,0.49
1966-12-30,0.63
1965-12-30,0.49
1966-12-04,0.51
1967-04-06,0.62
1968-08-06,0.62
1971-12-07,52.1
1972-01-03,51.3
1973-12-30,59.55
1974-12-30,77.14
1975-12-30,64.59
1976-12-30,69.3
1977-12-30,66.05
1978-12-30,65.64
1979-12-30,91.86
1980-12-30,100.88
1981-12-30,84.13
1982-12-30,72.7
1983-12-30,76.46
1984-12-30,66.65
1985-12-30,66.58
1986-12-30,65.85
1987-12-30,82.54
1988-12-30,120.34
1989-12-30,131.15
1990-12-30,123.29
1991-12-30,108.98
1992-12-30,107.2
1993-12-30,91.45
1994-12-30,111.46
1995-12-30,136.34
1996-12-30,105.95
1997-12-30,103.58
1998-12-30,75.07
1999-12-30,72.2
2000-12-30,83.94
2001-12-30,72.47
2002-12-30,71.64
2003-12-30,81.1
2004-12-30,129.21
2005-12-30,168.5
2006-12-30,309.96
2007-12-30,322.93
2008-12-30,313.13
2009-12-30,236.42
2010-12-30,342.99
2011-12-30,400.12
2012-12-30,361.2
2013-12-30,333.74
2014-12-30,311.84
2015-12-30,250.28
2016-12-30,220.4
2017-12-30,224.06
2018-12-30,5.47
2019-12-30,2.72
2020-12-30,2.8
2021-12-30,4.24
2022-12-30,3.98
2023-12-30,3.87
2024-12-30,4.22
2025-12-30,4.81
