date,value
1959-07-30,3.22
1959-08-30,3.45
1959-09-29,3.34
1959-10-29,3.62
1959-11-29,3.4
1959-12-30,3.51
1960-01-28,3.52
1960-02-28,3.31
1960-03-30,3.2
1960-04-28,3.22
1960-05-30,3.29
1960-06-29,3.33
1960-07-28,3.35
1960-08-30,3.19
1960-09-29,3.14
1960-10-30,3.01
1960-11-29,3.04
1960-12-29,3
1961-01-30,2.96
1961-02-27,3.1
1961-03-29,3.09
1961-04-27,3.29
1961-05-30,3.44
1961-06-29,3.32
1961-07-30,3.31
1961-08-30,3.38
1961-09-28,3.2
1961-10-30,3.2
1961-11-29,3.18
1961-12-28,3.24
1962-01-30,3.28
1962-02-27,3.26
1962-03-29,3.25
1962-04-29,3.19
1962-05-30,3.08
1962-06-28,3.04
1962-07-30,3.02
1962-08-30,3.08
1962-09-27,2.99
1962-10-30,3.05
1962-11-29,3.05
1962-12-30,3.05
1963-01-30,3.1
1963-02-27,3.13
1963-03-28,3.16
1963-04-29,3.15
1963-05-30,3.15
1963-06-27,3.12
1963-07-30,3.12
1963-08-29,3.12
1963-09-29,3.16
1963-10-30,3.16
1963-11-28,3.14
1963-12-30,3.18
1964-01-30,3.26
1964-02-27,3.6
1964-03-30,3.86
1964-04-29,4.11
1964-05-27,3.78
1964-06-29,3.68
1964-07-30,4.02
1964-08-30,3.92
1964-09-29,4.61
1964-10-29,5.57
1964-11-29,5.61
1964-12-30,3.84
1965-01-28,3.94
1965-02-25,4.15
1965-03-30,4.9
1965-04-29,5.08
1965-05-27,4.76
1965-06-29,4.48
1965-07-29,5.05
1965-08-30,5.03
1965-09-29,5.65
1965-10-28,5.84
1965-11-29,5.38
1965-12-29,5.84
1966-01-30,6.06
1966-02-27,6.91
1966-03-30,7.85
1966-04-28,6.61
1966-05-30,7.06
1966-06-29,7.05
1966-07-28,6.39
1966-08-30,4.88
1966-09-29,5.64
1966-10-30,5.72
1967-12-30,5.24
1968-12-30,5.3
1969-12-30,5.3
1970-12-30,4.78
1971-12-30,4.42
1972-12-30,4.17
1973-12-30,4.41
1974-12-30,4.07
1975-12-30,4.47
1976-12-30,4.43
1977-12-30,4.75
1978-12-30,5.9
1979-12-30,5.65
1980-12-30,5.48
1981-09-22,6.08
1982-02-15,6.13
1983-07-11,5.74
0297-02-19,4.18
0376-07-15,4.19
0458-09-03,4.18
0549-01-09,4.09
0631-03-01,4.09
0716-01-15,4.3
0800-11-29,4.23
0880-04-23,4.35
0967-12-04,4.62
1052-10-19,4.93
1129-06-18,4.58
1206-02-14,5.08
1296-06-21,5.14
1375-11-15,5.27
1463-06-27,5.22
1548-05-12,5.62
1627-10-05,5.91
1715-05-17,5.88
1800-04-01,6.04
1876-11-28,6.3
1967-04-06,6.25
2049-05-25,5.91
2050-01-22,6.24
2051-09-03,6.2
2052-10-23,6.16
2053-06-21,5.55
2054-10-27,5.12
2055-09-12,4.93
2056-07-28,4.71
2057-09-17,4.58
2058-11-05,4.06
2059-09-20,3.87
2060-08-06,3.77
2061-12-30,408.23
2062-08-29,407.2
2063-01-03,426.35
2064-02-22,425.28
2065-10-22,423.17
2066-02-27,420.04
2067-04-18,419.01
1954-11-28,417.99
1955-01-17,417.99
1956-06-11,416.96
1957-01-21,397.25
1958-12-07,395.31
1959-10-22,395.31
1960-03-17,411.05
1961-05-06,409.98
1962-09-29,409.22
1963-02-04,408.01
1964-03-25,407.03
1965-02-08,389.69
1966-12-25,388.76
1967-05-20,387.84
1968-12-29,386.01
1969-02-17,385.1
1970-07-13,384.19
1971-11-18,402.22
1972-07-18,421.96
1973-03-29,447.94
1973-04-29,444.85
1973-05-30,441.81
1973-06-28,438.81
1973-07-30,437.82
1973-08-30,430.06
1973-09-27,429.11
1973-10-30,425.34
1973-11-29,422.56
1973-12-30,480
1974-01-30,474.98
1974-02-27,468.94
1974-03-28,463.06
1974-04-29,461.67
1974-05-30,538.86
1974-06-27,568.17
1974-07-30,563.57
1974-08-29,556.8
1974-09-29,511.95
1974-10-30,481.7
1974-11-28,458.54
1974-12-30,443.2
1975-01-30,429.11
1975-02-27,395.12
1975-03-30,393.62
1975-04-29,392.13
1975-05-29,389.92
1975-06-29,377.99
1975-07-30,382.73
1975-08-28,382.02
1975-09-29,379.92
1975-10-30,377.85
1975-11-27,375.12
1975-12-30,373.76
1976-01-29,369.09
1976-02-26,367.77
1976-03-30,384.42
1976-04-29,406.05
1976-05-27,403.17
1976-06-29,401.04
1976-07-29,418.03
1976-08-30,415.85
1976-09-29,414.4
1976-10-28,389.97
1976-11-29,389.3
1976-12-30,360.25
1977-01-30,366.67
1977-02-27,371.14
1977-03-30,401.17
1977-04-28,389.76
1977-05-30,379.8
1977-06-29,369.32
1977-07-28,343.71
1977-08-30,316.24
1977-09-29,315.21
1977-10-30,314.18
1977-11-29,312.66
1977-12-29,327.24
1978-01-30,321.27
1978-02-27,319.23
1978-03-30,325.61
1978-04-27,323.07
1978-05-30,330.06
1978-06-29,312.91
1978-07-30,316.67
1978-08-30,329.89
1978-09-28,328.62
1978-10-30,343.71
1978-11-29,331.7
1978-12-28,342.48
1979-01-30,382.26
1979-02-27,438.79
1979-03-29,458.1
1979-04-29,437.47
1979-05-30,391.09
1979-06-28,389.84
1979-07-30,375.64
1979-08-30,395.55
1979-09-27,469.14
1979-10-30,398.91
1979-11-29,439.86
1979-12-30,439.47
1980-01-30,541.6
1980-02-28,504.9
1980-03-30,370.48
1980-04-29,370.35
1980-05-29,376.58
1980-06-29,358.83
1980-07-30,400.76
1980-08-28,360.86
1980-09-29,368.64
1980-10-30,371.82
1980-11-27,356.74
1980-12-30,327.53
1981-01-29,318.85
1981-02-26,309.39
1981-03-30,324.16
1981-04-29,309.75
1981-05-28,301.73
1981-06-29,295.5
1981-07-30,306.36
1981-08-30,300.54
1981-09-29,283.8
1981-10-29,281.46
1981-11-29,273.68
1981-12-30,271.09
1982-01-28,265.95
1982-02-25,259.14
1982-03-30,256
1982-04-29,258.32
1982-05-27,252.53
1982-06-29,226.13
1982-07-29,238.2
1982-08-30,234.41
1982-09-29,224.05
1982-10-28,236.5
1982-11-29,228.75
1982-12-30,241.26
1983-01-30,260.56
1983-02-27,276.76
1983-03-30,263.58
1983-04-28,269.07
1983-05-30,265.01
1983-06-29,257.72
1983-07-28,264.76
1983-08-30,244.66
1983-09-29,229.83
1983-10-30,220.36
1983-11-29,223.12
1983-12-29,218.12
1984-01-30,209.71
1984-02-28,218.93
1984-03-29,237.36
1984-04-29,225.26
1984-05-30,215.25
1984-06-28,201.41
1984-07-30,195.21
1984-08-30,203.72
1984-09-27,188.93
1984-10-30,194.52
1984-11-29,196.81
1984-12-30,196.05
1985-01-30,206.38
1985-02-27,193.23
1985-03-28,203.87
1985-04-29,210.46
1985-05-30,205.92
1985-06-27,199.35
1985-07-30,202.72
1985-08-29,198.61
1985-09-29,193.6
1985-10-30,199.56
1985-11-28,193.83
1985-12-30,199.94
1986-01-30,205.28
1986-02-27,201.42
1986-03-30,211.98
1986-04-29,201.23
1986-05-29,198.45
1986-06-29,194.42
1986-07-30,185.58
1986-08-28,179.36
1986-09-29,190.26
1986-10-30,184.24
1986-11-27,185.18
1986-12-30,185.74
1987-01-29,186.37
1987-02-26,192.93
1987-03-30,193.88
1987-04-29,189.99
1987-05-28,202.49
1987-06-29,212.44
1987-07-30,236.68
1987-08-30,226.98
1987-09-29,239.12
1987-10-29,249.68
1987-11-29,345.2
1987-12-30,422.07
1988-01-28,337
1988-02-28,265.56
1988-03-30,312.87
1988-04-28,271.33
1988-05-30,277.27
1988-06-29,305.83
1988-07-28,271.52
1988-08-30,291.39
1988-09-29,332.87
1988-10-30,409.91
1988-11-29,420.96
1988-12-29,423.96
1989-01-30,399.54
1989-02-27,376.01
1989-03-30,373.2
1989-04-27,378.64
1989-05-30,311.04
1989-06-29,295.01
1989-07-30,305.97
1989-08-30,355.31
1989-09-28,348.37
1989-10-30,309.16
1989-11-29,296.56
1989-12-28,281.38
1990-01-30,261.26
1990-02-27,296.73
1990-03-29,324.57
1990-04-29,312.8
1990-05-30,293.35
1990-06-28,296.12
1990-07-30,317.86
1990-08-30,325.99
1990-09-27,317.82
1990-10-30,299.61
1990-11-29,285.07
1990-12-30,291.7
1991-01-30,266.32
1991-02-27,283.27
1991-03-27,264.62
1991-04-29,265.59
1991-05-30,238.47
1991-06-27,248.75
1991-07-30,247.2
1991-08-29,255.03
1991-09-29,263.62
1991-10-30,260
1991-11-28,252.22
1991-12-30,236.83
1992-01-30,239.41
1992-02-27,248.74
1992-03-30,244.87
1992-04-29,238.74
1992-05-28,242.3
1992-06-29,261.43
1992-07-30,270.91
1992-08-30,263.27
1992-09-29,248.83
1992-10-29,239.99
1992-11-29,230.56
1992-12-30,239.82
1993-01-28,235.25
1993-02-25,225.41
1993-03-30,226.87
1993-04-29,197.12
1993-05-27,194.61
1993-06-29,201.04
1993-07-29,205.51
1993-08-30,202.71
1993-09-29,191.18
1993-10-28,187.07
1993-11-29,175.88
1993-12-30,190.26
1994-01-30,196.36
1994-02-27,196.79
1994-03-30,201.6
1994-04-28,210.08
1994-05-30,236.18
1994-06-29,244.1
1994-07-28,252.14
1994-08-30,261.95
1994-09-29,256.93
1994-10-30,278.33
1994-11-29,303.81
1994-12-29,308.12
1995-01-30,304.75
1995-02-27,288.57
1995-03-30,306.8
1995-04-27,280.3
1995-05-30,279.75
1995-06-29,294.01
1995-07-30,285.55
1995-08-30,280.58
1995-09-28,280.03
1995-10-30,270.72
1995-11-29,277.2
1995-12-28,264.77
1996-01-30,242.34
1996-02-28,243.64
1996-03-28,242.39
1996-04-29,249.71
1996-05-30,243.05
1996-06-27,189.38
1996-07-30,193.13
1996-08-29,198.91
1996-09-29,192.15
1996-10-30,189.5
1996-11-28,223.72
1996-12-30,209.48
1997-01-30,214.91
1997-02-27,230.4
1997-03-30,231.84
1997-04-29,227.52
1997-05-29,239.75
1997-06-29,229.39
1997-07-30,219.06
1997-08-28,198.59
1997-09-29,192.1
1997-10-30,181.64
1997-11-27,167.77
1997-12-30,153.98
1998-01-29,157.69
1998-02-26,151.42
1998-03-30,157.1
1998-04-29,164.75
1998-05-28,152.56
1998-06-29,144.46
1998-07-30,152.19
1998-08-30,142.13
1998-09-29,143.93
1998-10-29,141.61
1998-11-29,137.68
1998-12-30,129.89
1999-01-28,125.65
1999-02-25,121.57
1999-03-30,121.2
1999-04-29,135.86
1999-05-27,120.33
1999-06-29,147.5
1999-07-29,147.06
1999-08-30,150.57
1999-09-29,157.53
1999-10-28,153.99
1999-11-29,153.33
1999-12-30,163.39
2000-01-30,161.28
2000-02-28,149.5
2000-03-30,150.73
2000-04-27,148.76
2000-05-30,152.53
2000-06-29,152.58
2000-07-30,162.59
2000-08-30,165.2
2000-09-28,170.01
2000-10-30,156.92
2000-11-29,155.81
2000-12-28,156.92
2001-01-30,156.31
2001-02-27,148.62
2001-03-29,138.86
2001-04-29,139.76
2001-05-30,136.5
2001-06-28,127.67
2001-07-30,123.21
2001-08-30,123.3
2001-09-27,116.87
2001-10-30,112.91
2001-11-29,131.28
2001-12-30,119.2
2002-01-30,133.05
2002-02-27,129.53
2002-03-27,137.2
2002-04-29,131.41
2002-05-30,136.61
2002-06-27,137.61
2002-07-30,121.34
2002-08-29,122.63
2002-09-29,117.62
2002-10-30,127.03
2002-11-28,133.35
2002-12-30,124.28
2003-01-30,140.51
2003-02-27,136.53
2003-03-30,124.77
2003-04-29,127.23
2003-05-29,137.11
2003-06-29,131.34
2003-07-30,143.48
2003-08-28,140.31
2003-09-29,141.6
2003-10-30,163.37
2003-11-27,158.57
2003-12-30,182.55
2004-01-29,199.08
2004-02-26,232.65
2004-03-30,233.83
2004-04-29,207.52
2004-05-27,218
2004-06-29,204.9
2004-07-29,222.76
2004-08-30,218.05
2004-09-29,237.8
2004-10-28,227.69
2004-11-29,243.69
2004-12-30,252.05
2005-01-30,247.46
2005-02-27,252.26
2005-03-30,252.06
2005-04-28,247.47
2005-05-30,249.72
2005-06-29,257.63
2005-07-28,278.57
2005-08-30,286.35
2005-09-29,292.3
2005-10-30,307.02
2005-11-29,338.72
2005-12-29,354.28
2006-01-30,363.63
2006-02-27,354.78
2006-03-30,401.67
2006-04-27,533.95
2006-05-30,592
2006-06-29,550.45
2006-07-30,572.21
2006-08-30,548.78
2006-09-28,549.9
2006-10-30,533.23
2006-11-29,507.69
2006-12-28,456.19
2007-01-30,411.69
2007-02-27,433.2
2007-03-29,493.77
2007-04-29,552.7
2007-05-30,525.45
2007-06-28,534.66
2007-07-30,565.76
2007-08-30,529.18
2007-09-27,561.69
2007-10-30,540.03
2007-11-29,484.51
2007-12-30,465.41
2008-01-30,502.68
2008-02-28,586.94
2008-03-30,583.63
2008-04-29,590.7
2008-05-29,540.2
2008-06-29,571.22
2008-07-30,545
2008-08-28,504.93
2008-09-29,425.79
2008-10-30,274.64
2008-11-27,246.52
2008-12-30,214.04
2009-01-29,223.35
2009-02-26,231.97
2009-03-30,278.87
2009-04-29,310.55
2009-05-28,331.45
2009-06-29,337.68
2009-07-30,391.91
2009-08-30,419.65
2009-09-29,419.54
2009-10-29,439.8
2009-11-29,469.46
2009-12-30,496.73
2010-01-28,453.43
2010-02-25,486.43
2010-03-30,525.57
2010-04-29,493.81
2010-05-27,457.87
2010-06-29,434.49
2010-07-29,489.29
2010-08-30,496.6
2010-09-29,538.39
2010-10-28,550.41
2010-11-29,563.59
2010-12-30,653.35
2011-01-30,651.94
2011-02-27,652.67
2011-03-30,620.68
2011-04-28,597.42
2011-05-30,595.76
2011-06-29,610.48
2011-07-28,638.78
2011-08-30,596.16
2011-09-29,447.11
2011-10-30,516.99
2011-11-29,508.02
2011-12-29,490.48
2012-01-30,538.99
2012-02-28,548.39
2012-03-29,537.71
2012-04-29,537.43
2012-05-30,471.95
2012-06-28,490.56
2012-07-30,481.44
2012-08-30,483.61
2012-09-27,525.92
2012-10-30,491.82
2012-11-29,508.53
2012-12-30,511.52
2013-01-30,521.56
2013-02-27,490.09
2013-03-27,470.46
2013-04-29,442.16
2013-05-30,455.43
2013-06-27,421.39
2013-07-30,430.62
2013-08-29,444.79
2013-09-29,457.5
2013-10-30,455.02
2013-11-28,447.09
2013-12-30,476.33
2014-01-30,444.09
2014-02-27,444.93
2014-03-30,415.87
