date,value
1959-12-30,1.1511
1960-12-30,1.1392
1961-12-30,1.129
1962-12-30,1.0952
1963-12-30,1.1929
1964-12-30,1.2174
1965-12-30,1.2532
1966-12-30,1.3445
1965-12-30,1.2776
1966-12-04,1.1369
1967-04-06,1.227
1968-08-06,1.3778
1971-12-07,1.3881
1972-01-03,1.304
1973-12-30,2.2043
1974-12-30,3.2225
1975-12-30,2.9138
1976-12-30,2.7144
1977-12-30,2.24
1978-12-30,2.335
1979-12-30,2.6524
1980-12-30,3.0085
1981-12-30,3.1347
1982-12-30,2.4146
1983-12-30,3.1227
1984-12-30,3.1087
1985-12-30,2.5108
1986-12-30,1.9384
1987-12-30,1.5895
1988-12-30,2.3621
1989-12-30,2.4573
1990-12-30,2.4458
1991-12-30,2.3991
1992-12-30,2.3215
1993-12-30,2.2711
1994-12-30,2.3951
1995-12-30,2.699
1996-12-30,3.8234
1997-12-30,2.6658
1998-12-30,2.2227
1999-12-30,1.9122
2000-12-30,1.8732
2001-12-30,1.9017
2002-12-30,2.1713
2003-12-30,2.2672
2004-12-30,2.3807
2005-12-30,1.8988
2006-12-30,2.4058
2007-12-30,3.5036
2008-12-30,4.8976
2009-12-30,3.5462
2010-12-30,4.0323
2011-12-30,6.7081
2012-12-30,6.9934
2013-12-30,5.9712
2014-12-30,3.974
2015-12-30,3.7337
2016-12-30,3.6188
2017-12-30,3.6407
2018-12-30,3.7043
2019-12-30,3.8544
2020-12-30,3.6393
2021-12-30,5.7491
2022-12-30,6.9469
2023-12-30,5.6579
2024-12-30,236.7512
2025-12-30,377.3771
