date,value
1960-12-30,-3.87
1961-12-30,1.19
1962-12-30,1.81
1963-12-30,6.66
1964-12-30,5.16
1965-12-30,-1.27
1966-12-30,13.87
1965-12-30,-16.69
1966-12-04,-0.36
1967-04-06,3.71
1968-08-06,27.81
1971-12-07,-21.76
1972-01-03,27.81
1973-12-30,70.56
1974-12-30,28.24
1975-12-30,-25.24
1976-12-30,-1.47
1977-12-30,-12.51
1978-12-30,3.86
1979-12-30,18.75
1980-12-30,33.27
1981-12-30,-30.52
1982-12-30,-8.95
1983-12-30,43.67
1984-12-30,-21.12
1985-12-30,-8.09
1986-12-30,-40.46
1987-12-30,22.54
1988-12-30,53.45
1989-12-30,-14.23
1990-12-30,-2.4
1991-12-30,8.05
1992-12-30,-15.94
1993-12-30,43.1
1994-12-30,-24.61
1995-12-30,62.56
1996-12-30,-28.37
1997-12-30,-0.39
1998-12-30,-21.46
1999-12-30,-5.51
2000-12-30,11.67
2001-12-30,-8.55
2002-12-30,19.22
2003-12-30,2.61
2004-12-30,-19.96
2005-12-30,6.1
2006-12-30,82.5
2007-12-30,16.58
2008-12-30,-11.05
2009-12-30,-0.66
2010-12-30,57.05
2011-12-30,9.48
2012-12-30,7.42
2013-12-30,-41.61
2014-12-30,-8.26
2015-12-30,-3.56
2016-12-30,-1.88
2017-12-30,-0.36
2018-12-30,6.91
2019-12-30,3.4
2020-12-30,24.82
2021-12-30,22.57
2022-12-30,14.37
2023-12-30,-30.62
2024-12-30,9645.09
2025-12-30,-99.05
