date,value
1959-07-30,12.9577
1959-08-30,12.7367
1959-09-29,12.4951
1959-10-29,12.5294
1959-11-29,12.5294
1959-12-30,12.4746
1960-01-28,12.5612
1960-02-28,12.672
1960-03-30,13.078
1960-04-28,13.1758
1960-05-30,13.2633
1960-06-29,12.63
1960-07-28,12.6518
1960-08-30,12.0786
1960-09-29,11.8999
1960-10-30,11.636
1960-11-29,11.6382
1960-12-29,11.8308
1961-01-30,12.4695
1961-02-27,12.7141
1961-03-29,11.7984
1961-04-27,12.5041
1961-05-30,12.5885
1961-06-29,12.595
1961-07-30,12.1928
1961-08-30,12.1408
1961-09-28,11.7412
1961-10-30,11.6767
1961-11-29,12.0487
1961-12-28,11.8917
1962-01-30,11.5584
1962-02-27,11.6143
1962-03-29,12.2809
1962-04-29,12.2189
1962-05-30,12.2295
1962-06-28,12.048
1962-07-30,11.5079
1962-08-30,11.3695
1962-09-27,11.3745
1962-10-30,11.3639
1962-11-29,11.6461
1962-12-30,11.9475
1963-01-30,12.1703
1963-02-27,12.6499
1963-03-28,12.3842
1963-04-29,12.5154
1963-05-30,13.0293
1963-06-27,13.109
1963-07-30,12.6608
1963-08-29,12.1544
1963-09-29,12.5767
1963-10-30,12.2217
1963-11-28,12.494
1963-12-30,12.5371
1964-01-30,12.5475
1964-02-27,12.5726
1964-03-30,12.6623
1964-04-29,13.0214
1964-05-27,12.8502
1964-06-29,12.5944
1964-07-30,12.1868
1964-08-30,12.609
1964-09-29,12.4979
1964-10-29,12.3527
1964-11-29,13.0741
1964-12-30,13.0575
1965-01-28,13.1299
1965-02-25,13.3925
1965-03-30,13.7166
1965-04-29,13.7838
1965-05-27,13.5804
1965-06-29,13.1025
1965-07-29,12.7697
1965-08-30,12.1736
1965-09-29,11.8715
1965-10-28,11.6305
1965-11-29,12.355
1965-12-29,12.6489
1966-01-30,13.0242
1966-02-27,12.5617
1966-03-30,12.5306
1966-04-28,12.7187
1966-05-30,12.7027
1966-06-29,13.5356
1966-07-28,14.0041
1966-08-30,14.2874
1966-09-29,13.6225
1966-10-30,13.4809
1967-12-30,14.1574
1968-12-30,13.9221
1969-12-30,13.6672
1970-12-30,13.9574
1971-12-30,13.8115
1972-12-30,12.9005
1973-12-30,13.1648
1974-12-30,12.6738
1975-12-30,11.9367
1976-12-30,11.3965
1977-12-30,10.8768
1978-12-30,10.9307
1979-12-30,11.156
1980-12-30,11.2563
1981-09-22,11.2281
1982-02-15,11.3764
1983-07-11,11.379
0297-02-19,10.8527
0382-01-05,10.8736
0458-09-03,10.5227
0549-01-09,9.8432
0631-03-01,9.5589
0716-01-15,9.3184
0800-11-29,10.0972
0880-04-23,10.8705
0967-12-04,10.7104
1052-10-19,10.601
1129-06-18,10.5441
1206-02-14,10.376
1296-06-21,11.2741
1375-11-15,11.3207
1463-06-27,11.3469
1548-05-12,11.1099
1627-10-05,11.246
1715-05-17,10.3463
1800-04-01,10.0098
1876-11-28,10.2144
1967-04-06,10.4597
2049-05-25,10.752
2050-01-22,10.7379
2051-09-03,10.4495
2052-10-23,10.9755
2053-03-18,11.0515
2054-10-27,11.7219
2055-09-12,11.2276
2056-07-28,12.9851
2057-09-17,11.8286
2058-11-05,11.523
2059-09-20,12.2182
2060-08-06,12.6634
2061-12-30,12.7647
2062-08-29,12.6922
2063-01-03,12.2573
2064-02-22,11.9854
2065-10-22,12.4062
2066-02-27,12.1953
2067-04-18,10.8973
1954-11-28,9.6452
1955-01-17,8.8546
1956-06-11,8.3795
1957-01-21,8.9513
1958-12-07,9.5944
1959-10-22,9.5748
1960-03-17,9.3918
1961-05-06,9.6223
1962-09-29,10.1238
1963-02-04,9.9443
1964-03-25,9.3984
1965-02-08,9.9309
1966-12-25,10.0992
1967-05-20,10.7265
1968-12-29,10.2945
1969-02-17,10.7457
1970-07-13,11.8589
1971-11-18,12.0771
1972-07-18,11.9175
1973-03-29,11.6956
1973-04-29,12.7434
1973-05-30,17.3588
1973-06-28,16.2558
1973-07-30,21.2067
1973-08-30,17.5942
1973-09-27,18.3046
1973-10-30,16.5171
1973-11-29,18.3944
1973-12-30,18.6066
1974-01-30,20.9042
1974-02-27,21.4073
1974-03-28,19.0972
1974-04-29,18.8833
