date,value
1463-06-27,2.2914
1548-05-12,2.279
1627-10-05,2.2666
1715-05-17,2.1736
1800-04-01,2.1619
1876-11-28,2.1504
1967-04-06,2.139
2049-05-25,2.1333
2050-01-22,2.1221
2051-09-03,2.111
2052-10-23,2.1155
2053-03-18,2.1518
2054-10-27,2.1615
2055-09-12,2.1711
2056-07-28,2.1091
2057-09-17,2.0777
2058-11-05,2.0467
2059-09-20,2.0364
2060-08-06,2.0261
2061-12-30,2.0464
2062-08-29,2.0817
2063-01-03,2.0765
2064-02-22,2.0914
2065-10-22,2.1211
2066-02-27,2.1451
2067-04-18,2.1795
1954-11-28,2.2888
1955-01-17,2.3283
1956-06-11,2.362
1957-01-21,2.3699
1958-12-07,2.6684
1959-10-22,2.8018
1960-03-17,2.7882
1961-05-06,2.9568
1962-09-29,3.109
1963-02-04,3.1209
1964-03-25,2.9201
1965-02-08,2.6906
1966-12-25,2.4
1967-05-20,2.107
1968-12-29,2.1733
1969-02-17,2.3964
1970-07-13,2.5046
1971-11-18,2.7259
1972-07-18,2.7444
1973-03-29,2.9425
1973-04-29,3.4217
1973-05-30,3.6187
1973-06-28,3.6671
1973-07-30,4.2778
1973-08-30,5.8469
1973-09-27,6.0337
1973-10-30,4.8101
1973-11-29,5.0577
1973-12-30,6.1671
1974-01-30,4.8799
1974-02-27,4.7222
1974-03-28,4.5651
1974-04-29,4.6704
1974-05-30,3.7798
1974-06-27,3.6996
1974-07-30,3.6957
1974-08-29,3.2192
1974-09-29,3.2607
1974-10-30,2.7995
1974-11-28,2.6337
1974-12-30,2.3213
1975-01-30,2.461
1975-02-27,2.4054
1975-03-30,2.5462
1975-04-29,2.6951
1975-05-29,2.6163
1975-06-29,2.8585
1975-07-30,2.8864
1975-08-28,3.1246
1975-09-29,3.3142
1975-10-30,3.02
1975-11-27,3.2548
1975-12-30,3.3331
1976-01-29,3.359
1976-02-26,3.4337
1976-03-30,3.1333
1976-04-29,3.5361
1976-05-27,3.7737
1976-06-29,4.8185
1976-07-29,4.1521
1976-08-30,4.1219
1976-09-29,4.2924
1976-10-28,4.4457
1976-11-29,4.2044
1976-12-30,3.9877
1977-01-30,3.8955
1977-02-27,4.0498
1977-03-30,4.1282
1977-04-28,3.9379
1977-05-30,3.5787
1977-06-29,3.2362
1977-07-28,2.9797
1977-08-30,2.7592
1977-09-29,2.6645
1977-10-30,2.5601
1977-11-29,2.5539
1977-12-29,2.62
1978-01-30,2.725
1978-02-27,2.781
1978-03-30,2.7891
1978-04-27,2.9101
1978-05-30,2.9841
1978-06-29,2.9436
1978-07-30,3.0155
1978-08-30,3.0277
1978-09-28,3.034
1978-10-30,3.2232
1978-11-29,3.2376
1978-12-28,3.0169
1979-01-30,2.861
1979-02-27,2.8834
1979-03-29,2.6997
1979-04-29,2.8633
1979-05-30,2.8309
1979-06-28,2.8111
1979-07-30,2.7848
1979-08-30,2.806
1979-09-27,2.7746
1979-10-30,2.7654
1979-11-29,2.7892
1979-12-30,2.9148
1980-01-30,3.3604
1980-02-28,3.4247
1980-03-30,3.3875
1980-04-29,3.2403
1980-05-29,2.9228
1980-06-29,2.859
1980-07-30,3.3894
1980-08-28,3.547
1980-09-29,3.2206
1980-10-30,3.3283
1980-11-27,3.3369
1980-12-30,3.3404
1981-01-29,3.1274
1981-02-26,3.1243
1981-03-30,2.9566
1981-04-29,2.9041
1981-05-28,2.9393
1981-06-29,2.7471
1981-07-30,2.5611
1981-08-30,2.2191
1981-09-29,2.0565
1981-10-29,2.1029
1981-11-29,1.912
1981-12-30,1.9223
1982-01-28,2.0626
1982-02-25,2.0267
1982-03-30,2.1306
1982-04-29,2.193
1982-05-27,2.0461
1982-06-29,2.1715
1982-07-29,2.1008
1982-08-30,1.9373
1982-09-29,1.9357
1982-10-28,1.9028
1982-11-29,1.9699
1982-12-30,1.9803
1983-01-30,2.0092
1983-02-27,2.1482
1983-03-30,2.251
1983-04-28,2.1146
1983-05-30,2.2452
1983-06-29,2.2848
1983-07-28,2.3296
