date,value
1969-02-17,966.92
1970-07-13,1092.91
1971-11-18,1097.92
1972-07-18,1187.99
1973-03-29,1212.77
1973-04-29,1123.04
1973-05-30,1006.63
1973-06-28,913.68
1973-07-30,1035.4
1973-08-30,1008.45
1973-09-27,889.9
1973-10-30,957.78
1973-11-29,945.2
1973-12-30,892.28
1974-01-30,959.38
1974-02-27,1091.79
1974-03-28,1032.47
1974-04-29,921.45
1974-05-30,915.91
1974-06-27,858.01
1974-07-30,854.07
1974-08-29,813.76
1974-09-29,638.75
1974-10-30,752.81
1974-11-28,697.11
1974-12-30,746.55
1975-01-30,817.24
1975-02-27,764.93
1975-03-30,870.98
1975-04-29,986.71
1975-05-29,837.93
1975-06-29,897.03
1975-07-30,821.88
1975-08-28,776.05
1975-09-29,673.48
1975-10-30,792.13
1975-11-27,842.28
1975-12-30,903.98
1976-01-29,943.9
1976-02-26,972.77
1976-03-30,906.52
1976-04-29,904.9
1976-05-27,839.23
1976-06-29,926.79
1976-07-29,885.77
1976-08-30,869.23
1976-09-29,875.84
1976-10-28,942.28
1976-11-29,995.49
1976-12-29,1069
1977-01-30,955.55
1977-02-27,1058.07
1977-03-30,1021.35
1977-04-28,992.09
1977-05-30,965.01
1977-06-29,1024.01
1977-07-28,985.13
1977-08-30,1052.22
1977-09-29,966.11
1977-10-30,923.17
1977-11-29,1046.89
1977-12-29,1111.56
1978-01-30,1091.03
1978-02-27,1090.45
1978-03-30,1057.23
1978-04-27,1056.32
1978-05-30,1048.7
1978-06-29,988.16
1978-07-30,1057.04
1978-08-30,989.28
1978-09-28,1018.61
1978-10-30,1012.58
1978-11-29,1017.93
1978-12-28,1076.51
1979-01-30,1047.5
1979-02-27,1050.4
1979-03-29,978.77
1979-04-29,1013.92
1979-05-30,1045.73
1979-06-28,1035.5
1979-07-30,1124.77
1979-08-30,1092.95
1979-09-27,1107.34
1979-10-30,901.2
1979-11-29,889.91
1979-12-30,897.87
1980-01-30,952.34
1980-02-28,880.44
1980-03-30,747
1980-04-29,697.29
1980-05-29,777.22
1980-06-29,808.55
1980-07-30,799.58
1980-08-28,717.84
1980-09-29,663.17
1980-10-30,668.63
1980-11-27,672.66
1980-12-30,660.37
1981-01-29,666.63
1981-02-26,611.65
