date,value
1967-04-06,0.6214
1968-08-06,0.666
1971-12-07,0.67
1972-01-03,0.7224
1973-12-30,1.0494
1974-12-30,1.6032
1975-12-30,1.6465
1976-12-30,1.7143
1977-12-30,1.4497
1978-12-30,1.3723
1979-12-30,1.5895
1980-12-30,1.7578
1981-12-30,2.1482
1982-12-30,1.903
1983-12-30,1.7743
1984-12-30,1.8742
1985-12-30,1.5143
1986-12-30,1.3079
1987-12-30,1.7487
1988-12-30,2.6087
1989-12-30,2.0239
1990-12-30,1.4264
1991-12-30,1.3418
1992-12-30,1.5658
1993-12-30,1.6033
1994-12-30,1.4727
1995-12-30,1.9054
1996-12-30,2.3712
1997-12-30,1.882
1998-12-30,1.4466
1999-12-30,1.2134
2000-12-30,1.1887
2001-12-30,1.5767
2002-12-30,2.1626
2003-12-30,1.787
2004-12-30,1.7104
2005-12-30,1.84
2006-12-30,2.2402
2007-12-30,2.752
2008-12-30,3.651
2009-12-30,2.1337
2010-12-30,2.145
2011-12-30,3.0779
2012-12-30,3.6769
2013-12-30,3.8739
2014-12-30,4.0151
2015-12-30,2.6513
2016-12-30,1.9943
2017-12-30,2.5276
2018-12-30,2.5722
2019-12-30,2.855
2020-12-30,2.9391
2021-12-30,4.863
2022-12-30,5.3724
2023-12-30,3.8766
2024-12-30,3.5452
2025-12-30,2.9551
