date,value
1970-08-06,9.23
1971-12-07,-2.82
1972-01-03,27.54
1973-12-30,59.09
1974-12-30,15.71
1975-12-30,3.09
1976-12-30,0.6
1977-12-30,-21.43
1978-12-30,5.3
1979-12-30,13.67
1980-12-30,35.13
1981-12-30,-2.34
1982-12-30,-20.62
1983-12-30,18.43
1984-12-30,-6.38
1985-12-30,-22.89
1986-12-30,14.13
1987-12-30,25.39
1988-12-30,42.72
1989-12-30,-42.56
1990-12-30,-27.71
1991-12-30,26.25
1992-12-30,8.09
1993-12-30,-1.22
1994-12-30,-7.88
1995-12-30,76.01
1996-12-30,-25.45
1997-12-30,-10.74
1998-12-30,-32.95
1999-12-30,1.07
2000-12-30,-2.54
2001-12-30,94.14
2002-12-30,-3.13
2003-12-30,-23.76
2004-12-30,8.77
2005-12-30,21.84
2006-12-30,29.91
2007-12-30,9.23
2008-12-30,-33.23
2009-12-30,3.37
2010-12-30,0
2011-12-30,54.08
2012-12-30,9.68
2013-12-30,7.38
2014-12-30,-13.62
2015-12-30,-35.39
2016-12-30,5.18
2017-12-30,5.47
2018-12-30,14.21
2019-12-30,6.09
2020-12-30,23.54
2021-12-30,89.33
2022-12-30,-46.54
2023-12-30,6.27
2024-12-30,-14.76
2025-12-30,-15.87
