date,value
1463-06-27,0.61
1548-05-12,0.585
1627-10-05,0.585
1715-05-17,0.62
1800-04-01,0.66
1876-11-28,0.655
1967-04-06,0.65
2049-05-25,0.655
2050-01-22,0.645
2051-09-03,0.64
2052-10-23,0.66
2053-03-18,0.66
2054-10-27,0.63
2055-09-12,0.62
2056-07-28,0.69
2057-09-17,0.64
2058-11-05,0.71
2059-09-20,0.71
2060-08-06,0.71
2061-12-30,0.72
2062-08-29,0.71
2063-01-03,0.65
2064-02-22,0.69
2065-10-22,0.72
2066-02-27,0.66
2067-04-18,0.6
1954-11-28,0.625
1955-01-17,0.63
1956-06-11,0.65
1957-01-21,0.66
1958-12-07,0.69
1959-10-22,0.69
1960-03-17,0.68
1961-05-06,0.66
1962-09-29,0.69
1963-02-04,0.71
1964-03-25,0.69
1965-02-08,0.68
1966-12-25,0.71
1967-05-20,0.71
1968-12-29,0.8
1969-02-17,0.87
1970-07-13,0.88
1971-11-18,0.86
1972-07-18,0.84
1973-03-29,0.84
1973-04-29,0.88
1973-05-30,0.91
1973-06-28,0.83
1973-07-30,1.08
1973-08-30,1.16
1973-09-27,1.38
1973-10-30,1.2
1973-11-29,1.25
1973-12-30,1.4
1974-01-30,1.68
1974-02-27,1.63
1974-03-28,1.4
1974-04-29,1.35
1974-05-30,1.37
1974-06-27,1.42
1974-07-30,1.85
1974-08-29,1.66
1974-09-29,1.78
1974-10-30,1.9
1974-11-28,1.8
1974-12-30,1.62
1975-01-30,1.67
1975-02-27,1.52
1975-03-30,1.51
1975-04-29,1.7
1975-05-29,1.82
1975-06-29,1.58
1975-07-30,1.64
1975-08-28,1.7
1975-09-29,1.68
1975-10-30,1.74
1975-11-27,1.72
1975-12-30,1.67
1976-01-29,1.69
1976-02-26,1.68
1976-03-30,1.6
1976-04-29,1.73
1976-05-27,1.77
1976-06-29,2.02
1976-07-29,1.77
1976-08-30,1.7
1976-09-29,1.63
1976-10-28,1.76
1976-11-29,1.6
1976-12-30,1.68
1977-01-30,1.85
1977-02-27,1.84
1977-03-30,1.74
1977-04-28,1.78
1977-05-30,1.56
1977-06-29,1.33
1977-07-28,1.08
1977-08-30,1.08
1977-09-29,1.14
1977-10-30,1.25
1977-11-29,1.33
1977-12-29,1.32
1978-01-30,1.34
1978-02-27,1.26
1978-03-30,1.33
1978-04-27,1.39
1978-05-30,1.46
1978-06-29,1.28
1978-07-30,1.33
1978-08-30,1.3
1978-09-28,1.36
1978-10-30,1.47
1978-11-29,1.45
1978-12-28,1.39
1979-01-30,1.57
1979-02-27,1.59
1979-03-29,1.54
1979-04-29,1.47
1979-05-30,1.56
1979-06-28,1.8
1979-07-30,1.44
1979-08-30,1.54
1979-09-27,1.63
1979-10-30,1.68
1979-11-29,1.7
1979-12-30,1.58
1980-01-30,1.6
1980-02-28,1.5
1980-03-30,1.48
1980-04-29,1.62
1980-05-29,1.6
1980-06-29,1.7
1980-07-30,1.75
1980-08-28,1.72
1980-09-29,1.78
1980-10-30,2.08
1980-11-27,2.245
1980-12-30,2.135
1981-01-29,2.125
1981-02-26,2.24
1981-03-30,2.2175
