date,value
1966-12-04,2.454
1967-04-06,2.4943
1968-08-06,2.7699
1971-12-07,3.1079
1972-01-03,3.4788
1973-12-30,7.0595
1974-12-30,6.7643
1975-12-30,5.4249
1976-12-30,5.7931
1977-12-30,7.0023
1978-12-30,6.5184
1979-12-30,7.0607
1980-12-30,6.9526
1981-12-30,6.9714
1982-12-30,5.8523
1983-12-30,6.9135
1984-12-30,6.9645
1985-12-30,5.4612
1986-12-30,5.0605
1987-12-30,5.1544
1988-12-30,7.3969
1989-12-30,6.6362
1990-12-30,5.8595
1991-12-30,5.6346
1992-12-30,5.6263
1993-12-30,6.1399
1994-12-30,6.1161
1995-12-30,5.9867
1996-12-30,7.4508
1997-12-30,7.5332
1998-12-30,5.9705
1999-12-30,4.5676
2000-12-30,4.8039
2001-12-30,4.4751
2002-12-30,5.051
2003-12-30,6.2658
2004-12-30,7.4381
2005-12-30,5.9447
2006-12-30,5.6467
2007-12-30,8.1853
2008-12-30,11.9062
2009-12-30,10.2057
2010-12-30,10.3177
2011-12-30,12.9747
2012-12-30,14.5677
2013-12-30,14.1921
2014-12-30,12.49
2015-12-30,9.3445
2016-12-30,9.8427
2017-12-30,9.8102
2018-12-30,9.3456
2019-12-30,8.9298
2020-12-30,9.5344
2021-12-30,13.689
2022-12-30,15.5066
2023-12-30,14.1616
2024-12-30,11.0046
2025-12-30,10.3905
