date,value
1967-04-06,0.76
1968-08-06,16.7
1971-12-07,6.64
1972-01-03,36.22
1973-12-30,36.62
1974-12-30,20.68
1975-12-30,-35.82
1976-12-30,57.38
1977-12-30,-16.32
1978-12-30,14.57
1979-12-30,-8.36
1980-12-30,25.07
1981-12-30,-21.44
1982-12-30,-9
1983-12-30,46.91
1984-12-30,-29.4
1985-12-30,-8.49
1986-12-30,-9.08
1987-12-30,23.55
1988-12-30,34.3
1989-12-30,-28.83
1990-12-30,-0.8
1991-12-30,-0.99
1992-12-30,0.73
1993-12-30,25.38
1994-12-30,-21.68
1995-12-30,33
1996-12-30,-5.17
1997-12-30,-3.2
1998-12-30,-21.02
1999-12-30,-14.92
2000-12-30,8.94
2001-12-30,-15.18
2002-12-30,35.55
2003-12-30,38.98
2004-12-30,-30.62
2005-12-30,8.79
2006-12-30,10.97
2007-12-30,77.47
2008-12-30,-17.27
2009-12-30,6.63
2010-12-30,31.33
2011-12-30,-11.85
2012-12-30,20.13
2013-12-30,-8.24
2014-12-30,-22.52
2015-12-30,-14.43
2016-12-30,16.17
2017-12-30,-4.41
2018-12-30,-7.01
2019-12-30,6.78
2020-12-30,37.65
2021-12-30,1.93
2022-12-30,12.85
2023-12-30,-14.38
2024-12-30,-22.76
2025-12-30,6.51
