date,value
0967-12-04,22.4094
1052-10-19,22.2667
1129-06-18,21.9738
1206-02-14,21.4222
1296-06-21,21.3041
1375-11-15,21.157
1463-06-27,23.5972
1548-05-12,23.5566
1627-10-05,22.4921
1715-05-17,20.3883
1800-04-01,20.6465
1876-11-28,20.7299
1967-04-06,21.2616
2049-05-25,21.8881
2050-01-22,22.0275
2051-09-03,21.68
2052-10-23,22.3279
2053-03-18,22.9595
2054-10-27,24.296
2055-09-12,23.2409
2056-07-28,22.9308
2057-09-17,22.7932
2058-11-05,24.6424
2059-09-20,24.3143
2060-08-06,23.5032
2061-12-30,24.8404
2062-08-29,24.7176
2063-01-03,24.1518
2064-02-22,23.5888
2065-10-22,25.0325
2066-02-27,25.642
2067-04-18,26.2725
1954-11-28,24.9431
1955-01-17,24.2711
1956-06-11,24.7047
1957-01-21,23.364
1958-12-07,24.2706
1959-10-22,24.4471
1960-03-17,25.7549
1961-05-06,26.4126
1962-09-29,26.7376
1963-02-04,26.9253
1964-03-25,26.9574
1965-02-08,27.1559
1966-12-25,26.5537
1967-05-20,27.8123
1968-12-29,26.5751
1969-02-17,28.5094
1970-07-13,31.9715
1971-11-18,36.4963
1972-07-18,48.7977
1973-03-29,40.525
1973-04-29,56.1153
1973-05-30,81.4118
1973-06-28,66.4096
1973-07-30,65.5316
1973-08-30,53.641
1973-09-27,44.2451
1973-10-30,37.9151
1973-11-29,41.9891
1973-12-30,40.1805
1974-01-30,44.231
1974-02-27,41.7382
1974-03-28,41.0624
1974-04-29,36.3385
1974-05-30,35.9397
1974-06-27,37.0616
1974-07-30,58.1132
1974-08-29,47.0294
1974-09-29,55.0139
1974-10-30,50.846
1974-11-28,47.7578
1974-12-30,43.1635
1975-01-30,37.0233
1975-02-27,30.5665
1975-03-30,37.1527
1975-04-29,33.4909
1975-05-29,30.5584
1975-06-29,30.4808
1975-07-30,34.3093
1975-08-28,32.464
1975-09-29,32.7139
1975-10-30,27.0857
1975-11-27,27.9981
1975-12-30,25.9066
1976-01-29,26.7737
1976-02-26,27.2269
1976-03-30,26.4281
1976-04-29,27.1388
1976-05-27,32.6557
1976-06-29,37.3103
1976-07-29,33.4142
1976-08-30,36.7236
1976-09-29,34.2721
1976-10-28,37.0472
1976-11-29,36.9833
1976-12-30,38.8791
1977-01-30,39.0106
1977-02-27,41.6164
1977-03-30,47.7336
1977-04-28,52.8462
1977-05-30,50.8716
1977-06-29,40.1208
1977-07-28,31.2514
1977-08-30,28.066
1977-09-29,26.7531
1977-10-30,27.5303
1977-11-29,29.8981
1977-12-29,30.4901
1978-01-30,28.2692
1978-02-27,29.0638
1978-03-30,34.0622
1978-04-27,35.0072
1978-05-30,36.2569
1978-06-29,33.7403
1978-07-30,31.3969
1978-08-30,32.0362
1978-09-28,31.092
1978-10-30,33.6742
1978-11-29,32.2082
1978-12-28,32.0417
1979-01-30,32.7284
1979-02-27,34.4151
1979-03-29,34.9942
1979-04-29,32.3018
1979-05-30,32.7072
1979-06-28,32.8138
1979-07-30,31.3074
1979-08-30,31.5349
1979-09-27,30.1482
1979-10-30,26.2081
1979-11-29,27.8682
1979-12-30,25.9163
1980-01-30,26.8663
1980-02-28,25.5616
1980-03-30,22.833
1980-04-29,23.3558
1980-05-29,23.6893
1980-06-29,25.5085
1980-07-30,29.1943
1980-08-28,29.8069
1980-09-29,29.6449
1980-10-30,32.7506
1980-11-27,33.6897
1980-12-30,28.8081
1981-01-29,25.7122
1981-02-26,26.6049
1981-03-30,27.7913
1981-04-29,28.0386
1981-05-28,26.931
1981-06-29,24.0853
1981-07-30,25.539
1981-08-30,22.733
1981-09-29,21.5617
1981-10-29,21.671
1981-11-29,21.7737
1981-12-30,20.7777
1982-01-28,22.02
1982-02-25,20.9869
1982-03-30,20.8043
1982-04-29,21.5494
1982-05-27,20.623
1982-06-29,19.9023
1982-07-29,19.4033
1982-08-30,18.175
1982-09-29,16.474
1982-10-28,16.9328
1982-11-29,18.3004
1982-12-30,18.2102
1983-01-30,18.9975
1983-02-27,18.039
1983-03-30,20.1807
1983-04-28,20.5935
1983-05-30,19.3309
1983-06-29,19.2888
1983-07-28,21.827
1983-08-30,28.1034
1983-09-29,27.2271
1983-10-30,25.6133
1983-11-29,24.9092
1983-12-29,25.7762
1984-01-30,22.9496
1984-02-28,23.6723
1984-03-29,24.5379
1984-04-29,24.0748
1984-05-30,26.0482
1984-06-28,23.0956
1984-07-30,19.1182
1984-08-30,19.3537
1984-09-27,18.0327
1984-10-30,18.9156
1984-11-29,18.3795
1984-12-30,17.5065
1985-01-30,18.146
1985-02-27,17.2692
1985-03-28,18.0531
1985-04-29,17.7273
1985-05-30,16.9397
1985-06-27,16.6976
1985-07-30,15.395
1985-08-29,15.2022
1985-09-29,14.6537
1985-10-30,14.8966
1985-11-28,14.6484
1985-12-30,15.4345
1986-01-30,15.5542
1986-02-27,15.5526
1986-03-30,15.8019
1986-04-29,15.9647
1986-05-29,15.4468
1986-06-29,14.8761
1986-07-30,15.0676
1986-08-28,14.5402
1986-09-29,14.0059
1986-10-30,14.1979
1986-11-27,14.3312
1986-12-30,13.8803
1987-01-29,13.9815
1987-02-26,13.44
1987-03-30,13.7829
1987-04-29,14.7829
1987-05-28,15.2297
1987-06-29,14.9202
1987-07-30,15.0368
1987-08-30,13.9006
1987-09-29,14.3329
1987-10-29,14.4215
1987-11-29,16.2678
1987-12-30,16.4215
1988-01-28,16.4905
1988-02-28,17.1986
1988-03-30,17.5263
1988-04-28,18.5108
1988-05-30,21.0282
1988-06-29,25.6545
1988-07-28,20.4153
1988-08-30,22.8232
1988-09-29,21.3515
1988-10-30,20.368
1988-11-29,19.9891
1988-12-29,21.1204
1989-01-30,20.2167
1989-02-27,20.1203
1989-03-30,19.0688
1989-04-27,18.8401
1989-05-30,18.1994
1989-06-29,18.7273
1989-07-30,16.504
1989-08-30,15.5456
1989-09-28,14.1669
1989-10-30,14.0478
1989-11-29,14.6421
1989-12-28,14.363
1990-01-30,13.9633
1990-02-27,14.1246
1990-03-29,14.336
1990-04-29,15.4399
1990-05-30,14.7424
1990-06-28,15.2838
1990-07-30,14.7923
1990-08-30,14.7555
1990-09-27,14.5481
1990-10-30,14.0139
1990-11-29,13.9825
1990-12-30,13.428
1991-01-30,13.4321
1991-02-27,13.7352
1991-03-27,13.5715
1991-04-29,13.7422
1991-05-30,13.7493
1991-06-27,12.4874
1991-07-30,13.5703
