date,value
1961-12-30,13.88
1962-12-30,-18.9
1963-12-30,-3.67
1964-12-30,31.96
1965-12-30,-3.98
1966-12-30,-2.49
1965-12-30,-16.05
1966-12-04,-3.33
1967-04-06,12.58
1968-08-06,25.64
1971-12-07,-2.47
1972-01-03,-16.83
1973-12-30,169.18
1974-12-30,44.59
1975-12-30,-57.85
1976-12-30,31.31
1977-12-30,5.06
1978-12-30,18.43
1979-12-30,-5.75
1980-12-30,-3.73
1981-12-30,-19.48
1982-12-30,-14.99
1983-12-30,82.68
1984-12-30,-2.72
1985-12-30,-22.79
1986-12-30,-31.71
1987-12-30,35.55
1988-12-30,7.54
1989-12-30,-12.72
1990-12-30,10.99
1991-12-30,-12.9
1992-12-30,11.86
1993-12-30,46.9
1994-12-30,4.99
1995-12-30,-22.62
1996-12-30,-13.02
1997-12-30,17.84
1998-12-30,-8.43
1999-12-30,-33.93
2000-12-30,-16.44
2001-12-30,15.48
2002-12-30,51.3
2003-12-30,32.23
2004-12-30,-26.19
2005-12-30,-2.5
2006-12-30,34.25
2007-12-30,67.98
2008-12-30,-33.52
2009-12-30,15.11
2010-12-30,47.56
2011-12-30,-3.06
2012-12-30,-9.83
2013-12-30,-21.96
2014-12-30,-11.89
2015-12-30,-4.56
2016-12-30,12.72
2017-12-30,-4.14
2018-12-30,-16.36
2019-12-30,24.92
2020-12-30,22.68
2021-12-30,32.64
2022-12-30,24.14
