date,value
1960-10-30,0.0926
1960-11-29,0.089
1960-12-29,0.0932
1961-01-30,0.1067
1961-02-27,0.122
1961-03-29,0.1151
1961-04-27,0.1247
1961-05-30,0.1162
1961-06-29,0.1095
1961-07-30,0.1089
1961-08-30,0.1066
1961-09-28,0.1058
1961-10-30,0.1041
1961-11-29,0.1043
1961-12-28,0.1061
1962-01-30,0.104
1962-02-27,0.1013
1962-03-29,0.101
1962-04-29,0.0986
1962-05-30,0.0844
1962-06-28,0.0802
1962-07-30,0.0828
1962-08-30,0.0786
1962-09-27,0.0822
1962-10-30,0.0879
1962-11-29,0.0864
1962-12-30,0.0861
1963-01-30,0.0928
1963-02-27,0.0936
1963-03-28,0.0945
1963-04-29,0.0919
1963-05-30,0.0903
1963-06-27,0.0909
1963-07-30,0.0866
1963-08-29,0.0818
1963-09-29,0.092
1963-10-30,0.099
1963-11-28,0.0819
1963-12-30,0.0829
1964-01-30,0.0796
1964-02-27,0.079
1964-03-30,0.0771
1964-04-29,0.0803
1964-05-27,0.0822
1964-06-29,0.0793
1964-07-30,0.0845
1964-08-30,0.0881
1964-09-29,0.0992
1964-10-29,0.1072
1964-11-29,0.1195
1964-12-30,0.1094
1965-01-28,0.1195
1965-02-25,0.1183
1965-03-30,0.1201
1965-04-29,0.11
1965-05-27,0.1001
1965-06-29,0.0989
1965-07-29,0.0952
1965-08-30,0.0972
1965-09-29,0.0962
1965-10-28,0.0968
1965-11-29,0.1047
1965-12-29,0.1051
1966-01-30,0.1131
1966-02-27,0.1098
1966-03-30,0.1125
1966-04-28,0.1165
1966-05-30,0.1116
1966-06-29,0.1156
1966-07-28,0.124
1966-08-30,0.125
1966-09-29,0.1113
1966-10-30,0.1088
1967-12-30,0.106
1968-12-30,0.1024
1969-12-30,0.1009
1970-12-30,0.1001
1971-12-30,0.1026
1972-12-30,0.1012
1973-12-30,0.1016
1974-12-30,0.0927
1975-12-30,0.0899
1976-12-30,0.092
1977-12-30,0.0889
1978-12-30,0.0856
1979-12-30,0.0848
1980-12-30,0.086
1981-09-22,0.0884
1982-02-15,0.0892
1983-07-11,0.086
0297-02-19,0.0863
0382-01-05,0.0827
0458-09-03,0.0741
