date,value
1963-12-30,149.88
1964-12-30,-75.89
1965-12-30,-8
1966-12-30,-42.61
1965-12-30,90.91
1966-12-04,22.22
1967-04-06,-6.49
1968-08-06,51.39
1971-12-07,83.26
1972-01-03,24.66
1973-12-30,23.8
1974-12-30,282.81
1975-12-30,-69.49
1976-12-30,-44.17
1977-12-30,16.92
1978-12-30,-10.32
1979-12-30,93.48
1980-12-30,75.05
1981-12-30,-54.61
1982-12-30,-52.16
1983-12-30,16.61
1984-12-30,-56.15
1985-12-30,49.84
1986-12-30,14.32
1987-12-30,69.61
1988-12-30,18.68
1989-12-30,20.22
1990-12-30,-28.31
1991-12-30,-4.03
1992-12-30,-8.96
1993-12-30,27.83
1994-12-30,42.78
1995-12-30,-16.91
1996-12-30,-5.29
1997-12-30,7.45
1998-12-30,-32.76
1999-12-30,-28.22
2000-12-30,73.57
2001-12-30,-25.19
2002-12-30,5.78
2003-12-30,-24.58
2004-12-30,64.57
2005-12-30,52.92
2006-12-30,-19.9
2007-12-30,1.72
2008-12-30,-2.07
2009-12-30,116.55
2010-12-30,30.93
2011-12-30,-37.01
2012-12-30,-14.71
2013-12-30,-15.65
2014-12-30,-10.81
2015-12-30,4.31
2016-12-30,28.02
2017-12-30,-22.3
2018-12-30,-20.65
2019-12-30,11.55
2020-12-30,15.42
2021-12-30,21.89
2022-12-30,6.2
2023-12-30,2.19
2024-12-30,-5.86
2025-12-30,-23.02
