date,value
1959-12-30,1.9812
1960-12-30,1.9554
1961-12-30,2.0091
1962-12-30,2.0897
1963-12-30,2.0022
1964-12-30,1.682
1965-12-30,1.5209
1966-12-30,1.7429
1965-12-30,1.5998
1966-12-04,1.3451
1967-04-06,1.3286
1968-08-06,1.5341
1971-12-07,1.5757
1972-01-03,1.8039
1973-12-30,3.4883
1974-12-30,4.7135
1975-12-30,3.6191
1976-12-30,3.1855
1977-12-30,2.436
1978-12-30,3.2038
1979-12-30,4.0699
1980-12-30,4.3055
1981-12-30,3.9767
1982-12-30,3.3137
1983-12-30,3.5122
1984-12-30,3.5368
1985-12-30,3.285
1986-12-30,2.9701
1987-12-30,2.8539
1988-12-30,3.5567
1989-12-30,4.1287
1990-12-30,3.2405
1991-12-30,2.9247
1992-12-30,3.5497
1993-12-30,3.3242
1994-12-30,3.4939
1995-12-30,4.161
1996-12-30,4.6385
1997-12-30,3.597
1998-12-30,2.6915
1999-12-30,2.3434
2000-12-30,2.3492
2001-12-30,2.6049
2002-12-30,3.282
2003-12-30,3.4543
2004-12-30,3.625
2005-12-30,3.2157
2006-12-30,3.7844
2007-12-30,5.9346
2008-12-30,6.2991
2009-12-30,4.046
2010-12-30,5.4052
2011-12-30,7.057
2012-12-30,7.5046
2013-12-30,6.9957
2014-12-30,5.7763
2015-12-30,5.0975
2016-12-30,4.4273
2017-12-30,4.4389
2018-12-30,4.9757
2019-12-30,4.9414
2020-12-30,5.498
2021-12-30,7.0402
2022-12-30,9.5175
2023-12-30,7.2275
2024-12-30,6.3842
2025-12-30,6.2619
