date,value
1960-12-30,2.11
1961-12-30,-0.62
1962-12-30,1.88
1963-12-30,3.93
1964-12-30,-31.77
1965-12-30,12.56
1966-12-30,4.21
1965-12-30,-15.89
1966-12-04,-8.26
1967-04-06,8.77
1968-08-06,14.33
1971-12-07,-3.19
1972-01-03,61.83
1973-12-30,106.44
1974-12-30,-15.87
1975-12-30,-29.17
1976-12-30,-16.09
1977-12-30,0.18
1978-12-30,34.89
1979-12-30,20.64
1980-12-30,4.9
1981-12-30,-18.13
1982-12-30,-15.6
1983-12-30,15.06
1984-12-30,-1.48
1985-12-30,-2.33
1986-12-30,-17.67
1987-12-30,6.3
1988-12-30,41.51
1989-12-30,-6.57
1990-12-30,-34.79
1991-12-30,38.1
1992-12-30,0.27
1993-12-30,-0.94
1994-12-30,10.3
1995-12-30,26.04
1996-12-30,-25.15
1997-12-30,-14.06
1998-12-30,-23.94
1999-12-30,-8.96
2000-12-30,8.53
2001-12-30,21.17
2002-12-30,13.64
2003-12-30,10.54
2004-12-30,-7.15
2005-12-30,-6.56
2006-12-30,45.19
2007-12-30,69.19
2008-12-30,-39.28
2009-12-30,-15.97
2010-12-30,90.13
2011-12-30,-18.96
2012-12-30,21.42
2013-12-30,-16.67
2014-12-30,-7.19
2015-12-30,-20.88
2016-12-30,-13.19
2017-12-30,4.66
2018-12-30,17.86
2019-12-30,11.03
2020-12-30,14.63
2021-12-30,20.34
2022-12-30,16.21
2023-12-30,-25.3
2024-12-30,-0.23
2025-12-30,-11.02
