date,value
1959-07-30,1.962
1959-08-30,1.972
1959-09-29,1.964
1959-10-29,2.003
1959-11-29,2.022
1959-12-30,2.042
1960-01-28,2.005
1960-02-28,1.996
1960-03-30,2.075
1960-04-28,1.9006
1960-05-30,1.845
1960-06-29,1.8524
1960-07-28,1.84
1960-08-30,1.9012
1960-09-29,1.945
1960-10-30,1.992
1960-11-29,2.0516
1960-12-29,2.085
1961-01-30,2.132
1961-02-27,2.1144
1961-03-29,1.992
1961-04-27,1.8864
1961-05-30,1.857
1961-06-29,1.95
1961-07-30,1.963
1961-08-30,2.0184
1961-09-28,2.045
1961-10-30,2.024
1961-11-29,2.0872
1961-12-28,2.072
1962-01-30,2.026
1962-02-27,2.0314
1962-03-29,2.073
1962-04-29,2.1398
1962-05-30,2.144
1962-06-28,2.1342
1962-07-30,2.123
1962-08-30,2.127
1962-09-27,1.997
1962-10-30,2.066
1962-11-29,2.0888
1962-12-30,2.111
1963-01-30,2.114
1963-02-27,2.0662
1963-03-28,2.073
1963-04-29,1.9302
1963-05-30,1.852
1963-06-27,1.8578
1963-07-30,1.791
1963-08-29,1.8232
1963-09-29,2.064
1963-10-30,2.145
1963-11-28,2.156
1963-12-30,2.194
1964-01-30,2.18
1964-02-27,2.0804
1964-03-30,2.04
1964-04-29,1.612
1964-05-27,1.492
1964-06-29,1.436
1964-07-30,1.407
1964-08-30,1.4726
1964-09-29,1.476
1964-10-29,1.513
1964-11-29,1.5376
1964-12-30,1.497
1965-01-28,1.517
1965-02-25,1.5086
1965-03-30,1.486
1965-04-29,1.4124
1965-05-27,1.404
1965-06-29,1.432
1965-07-29,1.475
1965-08-30,1.584
1965-09-29,1.61
1965-10-28,1.632
1965-11-29,1.6322
1965-12-29,1.685
1966-01-30,1.661
1966-02-27,1.6232
1966-03-30,1.567
1966-04-28,1.593
1966-05-30,1.686
1966-06-29,1.854
1966-07-28,1.875
1966-08-30,1.9278
1966-09-29,1.767
1966-10-30,1.705
1967-12-30,1.8296
1968-12-30,1.756
1969-12-30,1.606
1970-12-30,1.7718
1971-12-30,1.771
1972-12-30,1.649
1973-12-30,1.681
1974-12-30,1.5384
1975-12-30,1.534
1976-12-30,1.5012
1977-12-30,1.547
1978-12-30,1.524
1979-12-30,1.488
1980-12-30,1.477
1981-09-22,1.471
1982-02-15,1.4862
1983-07-11,1.482
0297-02-19,1.3648
0382-01-05,1.376
0458-09-03,1.297
0549-01-09,1.245
0631-03-01,1.2128
0716-01-15,1.201
0800-11-29,1.285
0880-04-23,1.3326
0967-12-04,1.355
1052-10-19,1.3438
1129-06-18,1.3093
1206-02-14,1.2588
1296-06-21,1.2995
1375-11-15,1.2813
1463-06-27,1.2718
1548-05-12,1.2375
1627-10-05,1.3253
1715-05-17,1.3488
1800-04-01,1.3525
1876-11-28,1.4315
1967-04-06,1.4738
2049-05-25,1.4375
2050-01-22,1.4828
2051-09-03,1.4425
2052-10-23,1.4403
2053-06-21,1.345
2054-10-27,1.4155
2055-09-12,1.4713
2056-07-28,1.6308
2057-09-17,1.6838
2058-11-05,1.745
2059-09-20,1.7185
2060-08-06,1.685
2061-12-30,1.665
2062-08-29,1.6303
2063-01-03,1.5813
2064-02-22,1.5315
2065-10-22,1.575
2066-02-27,1.5655
2067-04-18,1.4763
1954-11-28,1.4945
1955-01-17,1.4688
1956-06-11,1.6138
1957-01-21,1.5758
1958-03-13,1.6313
1959-10-22,1.6463
1960-03-17,1.5665
1961-05-06,1.5775
1962-09-29,1.5033
1963-02-04,1.455
1964-03-25,1.4575
1965-02-08,1.5738
1966-12-25,1.9185
1967-05-20,2.1575
1968-12-29,2.205
1969-02-17,2.4555
1970-07-13,2.64
1971-11-18,2.47
1972-07-18,2.3675
1973-03-29,2.2275
1973-04-29,2.3525
1973-05-30,2.8125
1973-06-28,2.6812
1973-07-30,3.64
1973-08-30,4.974
1973-09-27,4.915
1973-10-30,4.305
1973-11-29,4.7465
1973-12-30,5.45
1974-01-30,5.645
1974-02-27,5.7395
