date,value
1992-12-30,-9.47
1993-12-30,-1.31
1994-12-30,14.29
1995-12-30,-4.12
1996-12-30,6.72
1997-12-30,-18.01
1998-12-30,-6.28
1999-12-30,7.65
2000-12-30,-14.97
2001-12-30,-8.58
2002-12-30,9.97
2003-12-30,34.07
2004-12-30,3.61
2005-12-30,-6.06
2006-12-30,7.66
2007-12-30,11.02
2008-12-30,-19.23
2009-12-30,26.85
2010-12-30,14
2011-12-30,-0.08
2012-12-30,1.7
2013-12-30,-14.21
2014-12-30,-8.47
2015-12-30,-10.73
2016-12-30,-1.07
2017-12-30,8.34
2018-12-30,-9.85
2019-12-30,-0.34
2020-12-30,9.73
2021-12-30,-5.59
2022-12-30,-6.38
2023-12-30,0.1
2024-12-30,-8.72
2025-12-30,6.47
