date,value
1991-01-30,0.783
1991-02-27,0.786
1991-03-27,0.775
1991-04-29,0.783
1991-05-30,0.761
1991-06-27,0.767
1991-07-30,0.778
1991-08-29,0.784
1991-09-29,0.799
1991-10-30,0.779
1991-11-28,0.785
1991-12-30,0.76
1992-01-30,0.751
1992-02-27,0.752
1992-03-30,0.769
1992-04-29,0.756
1992-05-28,0.757
1992-06-29,0.748
1992-07-30,0.744
1992-08-30,0.714
1992-09-29,0.713
1992-10-29,0.695
1992-11-29,0.682
1992-12-30,0.688
1993-01-28,0.679
1993-02-25,0.696
1993-03-30,0.705
1993-04-29,0.706
1993-05-27,0.686
1993-06-29,0.666
1993-07-29,0.689
1993-08-30,0.673
1993-09-29,0.646
1993-10-28,0.666
1993-11-29,0.659
1993-12-30,0.679
1994-01-30,0.709
1994-02-27,0.713
1994-03-30,0.702
1994-04-28,0.715
1994-05-30,0.737
1994-06-29,0.728
1994-07-28,0.739
1994-08-30,0.743
1994-09-29,0.739
1994-10-30,0.743
1994-11-29,0.768
1994-12-29,0.776
1995-01-30,0.757
1995-02-27,0.739
1995-03-30,0.734
1995-04-27,0.728
1995-05-30,0.718
1995-06-29,0.709
1995-07-30,0.739
1995-08-30,0.751
1995-09-28,0.755
1995-10-30,0.76
1995-11-29,0.743
1995-12-28,0.744
1996-01-30,0.745
1996-02-28,0.765
1996-03-28,0.781
1996-04-29,0.787
1996-05-30,0.798
1996-06-27,0.787
1996-07-30,0.774
1996-08-29,0.79
1996-09-29,0.791
1996-10-30,0.791
1996-11-28,0.816
1996-12-30,0.794
1997-01-30,0.762
1997-02-27,0.779
1997-03-30,0.786
1997-04-29,0.782
1997-05-29,0.76
1997-06-29,0.754
1997-07-30,0.748
1997-08-28,0.731
1997-09-29,0.726
1997-10-30,0.701
1997-11-27,0.681
1997-12-30,0.651
1998-01-29,0.686
1998-02-26,0.679
1998-03-30,0.6619
1998-04-29,0.6497
1998-05-28,0.623
1998-06-29,0.6184
1998-07-30,0.606
1998-08-30,0.569
1998-09-29,0.594
1998-10-29,0.6241
1998-11-29,0.6277
1998-12-30,0.6101
1999-01-28,0.6301
1999-02-25,0.6185
1999-03-30,0.6342
1999-04-29,0.6612
1999-05-27,0.652
1999-06-29,0.6668
1999-07-29,0.651
1999-08-30,0.6395
1999-09-29,0.6525
1999-10-28,0.6371
1999-11-29,0.6349
1999-12-30,0.6568
2000-01-30,0.6356
2000-02-28,0.6175
2000-03-30,0.6075
2000-04-27,0.5834
2000-05-30,0.5731
2000-06-29,0.5964
2000-07-30,0.5795
2000-08-30,0.5769
2000-09-28,0.5425
2000-10-30,0.5191
2000-11-29,0.5284
2000-12-28,0.5585
2001-01-30,0.5505
2001-02-27,0.5257
2001-03-29,0.4854
2001-04-29,0.513
2001-05-30,0.5064
2001-06-28,0.5111
2001-07-30,0.5096
2001-08-30,0.5292
2001-09-27,0.4912
2001-10-30,0.503
2001-11-29,0.5214
2001-12-30,0.5106
2002-01-30,0.5078
2002-02-27,0.5174
2002-03-27,0.5337
2002-04-29,0.5381
2002-05-30,0.5671
2002-06-27,0.5634
2002-07-30,0.5431
2002-08-29,0.5506
2002-09-29,0.5426
2002-10-30,0.554
2002-11-28,0.5605
2002-12-30,0.5615
2003-01-30,0.5865
2003-02-27,0.6085
2003-03-30,0.6044
2003-04-29,0.6263
2003-05-29,0.6535
2003-06-29,0.6731
2003-07-30,0.6484
2003-08-28,0.6467
2003-09-29,0.6795
2003-10-30,0.7066
2003-11-27,0.7235
2003-12-30,0.7528
2004-01-29,0.7639
2004-02-26,0.7735
2004-03-30,0.7666
2004-04-29,0.7206
2004-05-27,0.7142
2004-06-29,0.6988
2004-07-29,0.7024
2004-08-30,0.7041
2004-09-29,0.7273
2004-10-28,0.7483
2004-11-29,0.7725
2004-12-30,0.78
2005-01-30,0.7753
2005-02-27,0.7917
2005-03-30,0.7725
2005-04-28,0.7809
2005-05-30,0.7555
2005-06-29,0.7621
2005-07-28,0.7563
2005-08-30,0.755
2005-09-29,0.7619
2005-10-30,0.7479
2005-11-29,0.7377
2005-12-29,0.7327
2006-01-30,0.7581
2006-02-27,0.742
2006-03-30,0.7161
2006-04-27,0.7576
2006-05-30,0.7522
2006-06-29,0.7415
2006-07-30,0.7662
2006-08-30,0.764
2006-09-28,0.7455
2006-10-30,0.7738
2006-11-29,0.7888
2006-12-28,0.7888
2007-01-30,0.7769
2007-02-27,0.7876
