date,value
2006-01-30,99.434
2006-02-27,99.774
2006-03-30,100.5622
2006-04-27,98.1492
2006-05-30,97.7774
2006-06-29,98.2568
2006-07-30,98.0058
2006-08-30,97.6552
2006-09-28,98.1143
2006-10-30,97.3983
2006-11-29,96.5834
2006-12-28,97.036
2007-01-30,97.9672
2007-02-27,97.2426
2007-03-29,96.3241
2007-04-29,94.8493
2007-05-30,94.3363
2007-06-28,94.1558
2007-07-30,93.4428
2007-08-30,93.6837
2007-09-27,90.9691
2007-10-30,89.1713
2007-11-29,89.6448
2007-12-30,89.6543
2008-01-30,88.6777
2008-02-28,87.1923
2008-03-30,86.7117
2008-04-29,86.9167
2008-05-29,86.5796
2008-06-29,86.7897
2008-07-30,86.883
2008-08-28,90.078
2008-09-29,92.3956
2008-10-30,99.7531
2008-11-27,101.6358
2008-12-30,98.6459
2009-01-29,102.1025
2009-02-26,104.9261
2009-03-30,102.379
2009-04-29,100.111
2009-05-28,95.2935
2009-06-29,96.4016
2009-07-30,94.2855
2009-08-30,94.6504
2009-09-29,93.2192
2009-10-29,92.6529
2009-11-29,91.4028
2009-12-30,92.9433
2010-01-28,93.7868
2010-02-25,93.6763
2010-03-30,92.9137
2010-04-29,92.8569
2010-05-27,96.3048
2010-06-29,95.991
2010-07-29,93.2908
2010-08-30,94.7291
2010-09-29,91.3574
2010-10-28,90.1099
2010-11-29,92.1571
2010-12-29,90.5236
2011-01-30,89.7073
2011-02-27,88.9539
2011-03-30,88.0443
2011-04-28,85.6196
2011-05-30,86.6731
2011-06-29,86.4961
2011-07-28,85.7484
2011-08-30,86.7949
2011-09-29,92.0127
2011-10-30,89.2243
2011-11-29,91.489
2011-12-29,92.4395
2012-01-30,90.5667
2012-02-28,89.762
2012-03-29,90.4711
2012-04-29,90.3785
2012-05-30,94.6967
2012-06-28,92.9235
2012-07-30,92.8565
2012-08-30,92.1835
2012-09-27,90.8482
2012-10-30,91.1738
2012-11-29,91.1149
2012-12-30,91.0962
2013-01-30,90.8088
2013-02-27,92.3001
2013-03-28,92.3047
2013-04-29,91.3778
2013-05-30,93.6067
2013-06-27,94.3038
2013-07-30,93.5707
2013-08-29,94.7576
2013-09-29,92.9297
2013-10-30,92.7374
2013-11-28,93.6341
2013-12-30,93.5628
2014-01-30,95.1798
2014-02-27,94.3948
2014-03-30,94.2515
2014-04-29,93.9005
2014-05-29,93.7693
2014-06-29,93.218
2014-07-30,94.4542
2014-08-28,94.7299
2014-09-29,97.5243
2014-10-30,98.1139
2014-11-27,100.0685
2014-12-30,102.2821
2015-01-29,105.5746
2015-02-26,105.5859
2015-03-30,107.4176
2015-04-29,105.3028
2015-05-28,106.7277
2015-06-29,106.5124
2015-07-30,108.7709
2015-08-30,110.5547
2015-09-29,111.3204
2015-10-29,110.1996
2015-11-29,112.3244
2015-12-30,113.3302
2016-01-28,115.5593
2016-02-28,114.2359
2016-03-30,109.9138
2016-04-28,108.8291
2016-05-30,112.4249
2016-06-29,112.1484
2016-07-28,111.8594
2016-08-30,112.3857
2016-09-29,112.2633
2016-10-30,113.992
2016-11-29,117.7475
2016-12-29,118.3298
2017-01-30,116.2155
2017-02-27,115.9789
2017-03-30,114.762
2017-04-27,114.7619
2017-05-30,113.2707
2017-06-29,111.9735
2017-07-30,109.8092
2017-08-30,109.3535
2017-09-28,110.0826
2017-10-30,111.7936
2017-11-29,110.4508
2017-12-28,110.073
2018-01-30,106.7716
2018-02-27,108.3877
2018-03-29,107.4735
2018-04-29,109.3324
2018-05-30,111.991
2018-06-28,113.2652
2018-07-30,112.7339
2018-08-30,114.2874
2018-09-27,113.8239
2018-10-30,116.537
2018-11-29,116.4192
2018-12-30,115.5677
2019-01-30,113.4803
2019-02-27,114.1201
2019-03-28,115.0546
2019-04-29,115.3259
2019-05-30,116.7282
2019-06-27,114.584
2019-07-30,115.4932
2019-08-29,118.1602
2019-09-29,117.9485
2019-10-30,115.9144
2019-11-28,117.1231
2019-12-30,114.6709
2020-01-30,115.7337
2020-02-27,117.6588
2020-03-30,122.5495
2020-04-29,122.3493
2020-05-28,120.9625
2020-06-29,120.4864
2020-07-30,117.2339
2020-08-30,115.785
2020-09-29,116.9668
2020-10-29,116.1464
2020-11-29,113.2346
2020-12-30,111.3289
2021-01-28,111.9455
2021-02-25,112.8163
2021-03-30,113.8642
2021-04-29,112.1151
2021-05-27,110.7905
2021-06-29,112.6067
2021-07-29,112.6979
2021-08-30,113.1485
2021-09-29,114.6718
2021-10-28,114.1716
2021-11-29,116.2178
2021-12-29,115.3163
2022-01-30,115.611
2022-02-27,115.313
2022-03-30,115.3456
2022-04-28,119.6421
2022-05-30,118.2429
2022-06-29,121.054
2022-07-28,121.8526
2022-08-30,123.6748
2022-09-29,127.6413
2022-10-30,127.8126
2022-11-29,123.6502
2022-12-29,121.4047
2023-01-30,118.9619
2023-02-27,121.4065
2023-03-30,119.4828
2023-04-27,119.4312
2023-05-30,121.2284
2023-06-29,119.8885
2023-07-30,118.3389
2023-08-30,120.7427
2023-09-28,122.7675
2023-10-30,124.2261
2023-11-29,120.5421
2023-12-28,118.7686
2024-01-30,120.7727
2024-02-28,121.5385
2024-03-28,121.4062
2024-04-29,123.3446
2024-05-30,122.4845
2024-06-27,124.5172
2024-07-30,123.9223
2024-08-29,122.5582
2024-09-29,121.5298
2024-10-30,125.0247
2024-11-28,126.8114
2024-12-30,129.488
2025-01-30,128.6686
2025-02-27,128.4646
2025-03-30,126.9402
2025-04-29,122.944
2025-05-29,122.1112
2025-06-29,119.8269
2025-07-30,122.1088
2025-08-28,120.6028
2025-09-29,120.5624
2025-10-30,121.7715
2025-11-27,121.4288
2025-12-11,120.5383
