date,value
1999-01-28,1.6066
1999-02-25,1.5956
1999-03-30,1.5963
1999-04-29,1.6119
1999-05-27,1.5915
1999-06-29,1.6027
1999-07-29,1.5944
1999-08-30,1.6004
1999-09-29,1.6002
1999-10-28,1.6042
1999-11-29,1.6016
1999-12-30,1.5998
2000-01-30,1.6073
2000-02-28,1.6067
2000-03-30,1.5894
2000-04-27,1.5647
2000-05-30,1.5759
2000-06-29,1.5567
2000-07-30,1.5468
2000-08-30,1.5466
2000-09-28,1.5229
2000-10-30,1.5264
2000-11-29,1.5086
2000-12-28,1.521
2001-01-30,1.5315
2001-02-27,1.5415
2001-03-29,1.5269
2001-04-29,1.5389
2001-05-30,1.5201
2001-06-28,1.5238
2001-07-30,1.513
2001-08-30,1.5164
2001-09-27,1.477
2001-10-30,1.4711
2001-11-29,1.4717
2001-12-30,1.478
2002-01-30,1.4765
2002-02-27,1.4749
2002-03-27,1.4666
2002-04-29,1.4556
2002-05-30,1.4671
2002-06-27,1.4685
2002-07-30,1.4515
2002-08-29,1.4727
2002-09-29,1.456
2002-10-30,1.4628
2002-11-28,1.4746
2002-12-30,1.4493
2003-01-30,1.4684
2003-02-27,1.4604
2003-03-30,1.4748
2003-04-29,1.5149
2003-05-29,1.5288
2003-06-29,1.5543
2003-07-30,1.5389
2003-08-28,1.5372
2003-09-29,1.5369
2003-10-30,1.5511
2003-11-27,1.5486
2003-12-30,1.5605
2004-01-29,1.5675
2004-02-26,1.5767
2004-03-30,1.5593
2004-04-29,1.5508
2004-05-27,1.5299
2004-06-29,1.5225
2004-07-29,1.5407
2004-08-30,1.5424
2004-09-29,1.5496
2004-10-28,1.5277
2004-11-29,1.5147
2004-12-30,1.5444
2005-01-30,1.5495
2005-02-27,1.538
2005-03-30,1.5509
2005-04-28,1.5382
2005-05-30,1.5359
2005-06-29,1.5508
2005-07-28,1.5628
2005-08-30,1.5465
2005-09-29,1.5556
2005-10-30,1.545
2005-11-29,1.55
2005-12-29,1.5557
2006-01-30,1.5538
2006-02-27,1.5635
2006-03-30,1.5799
2006-04-27,1.5645
2006-05-30,1.561
2006-06-29,1.5627
2006-07-30,1.5719
2006-08-30,1.5781
2006-09-28,1.586
2006-10-30,1.5883
2006-11-29,1.587
2006-12-28,1.6094
2007-01-30,1.6225
2007-02-27,1.6126
2007-03-29,1.6232
2007-04-29,1.6471
2007-05-30,1.6484
2007-06-28,1.6539
2007-07-30,1.6418
2007-08-30,1.6471
2007-09-27,1.6613
2007-10-30,1.6768
2007-11-29,1.6563
2007-12-30,1.6534
2008-01-30,1.606
2008-02-28,1.5798
2008-03-30,1.5666
2008-04-29,1.6169
2008-05-29,1.6205
2008-06-29,1.6078
2008-07-30,1.6335
2008-08-28,1.6155
2008-09-29,1.5804
2008-10-30,1.4736
2008-11-27,1.5403
2008-12-30,1.4894
2009-01-29,1.4836
2009-02-26,1.4832
2009-03-30,1.5093
2009-04-29,1.5087
2009-05-28,1.5089
2009-06-29,1.5236
2009-07-30,1.522
2009-08-30,1.5174
2009-09-29,1.5154
2009-10-29,1.5098
2009-11-29,1.5085
2009-12-30,1.4826
2010-01-28,1.4705
2010-02-25,1.4627
2010-03-30,1.4234
2010-04-29,1.4323
2010-05-27,1.4215
2010-06-29,1.3175
2010-07-29,1.3584
2010-08-30,1.2866
2010-09-29,1.3393
2010-10-28,1.3696
2010-11-29,1.3028
2010-12-30,1.2489
2011-01-30,1.2919
2011-02-27,1.282
2011-03-30,1.3013
2011-04-28,1.2809
2011-05-30,1.2272
2011-06-29,1.2184
2011-07-28,1.1316
2011-08-30,1.1575
2011-09-29,1.2148
2011-10-30,1.2141
2011-11-29,1.2278
2011-12-29,1.2133
2012-01-30,1.2033
2012-02-28,1.2048
2012-03-29,1.2041
2012-04-29,1.201
2012-05-30,1.2007
2012-06-28,1.2012
2012-07-30,1.2007
2012-08-30,1.2004
2012-09-27,1.208
2012-10-30,1.2068
2012-11-29,1.205
2012-12-30,1.2072
2013-01-30,1.2355
2013-02-27,1.2225
2013-03-27,1.2172
2013-04-29,1.2235
2013-05-30,1.2416
2013-06-27,1.229
2013-07-30,1.2315
2013-08-29,1.2292
2013-09-29,1.2232
2013-10-30,1.2317
2013-11-28,1.2316
2013-12-30,1.227
2014-01-30,1.2222
2014-02-27,1.2139
2014-03-30,1.2179
2014-04-29,1.2205
2014-05-29,1.2204
2014-06-29,1.214
2014-07-30,1.2163
2014-08-28,1.2058
2014-09-29,1.2061
2014-10-30,1.2053
2014-11-27,1.2019
2014-12-30,1.2027
2015-01-29,1.0367
2015-02-26,1.0667
2015-03-30,1.044
2015-04-29,1.0464
2015-05-28,1.0338
2015-06-29,1.0418
2015-07-30,1.0619
2015-08-30,1.0844
2015-09-29,1.0879
