date,value
1999-01-28,3.15
1999-02-25,3.13
1999-03-30,3.12
1999-04-29,3.13
1999-05-27,3.09
1999-06-29,3.11
1999-07-29,3.09
1999-08-30,3.09
1999-09-29,3.07
1999-10-28,3.08
1999-11-29,3.07
1999-12-30,3.07
2000-01-30,3.07
2000-02-28,3.05
2000-03-30,2.99
2000-04-27,2.95
2000-05-30,2.96
2000-06-29,2.91
2000-07-30,2.89
2000-08-30,2.89
2000-09-28,2.83
2000-10-30,2.83
2000-11-29,2.8
2000-12-28,2.82
2001-01-30,2.82
2001-02-27,2.83
2001-03-29,2.8
2001-04-29,2.81
2001-05-30,2.76
2001-06-28,2.76
2001-07-30,2.75
2001-08-30,2.76
2001-09-27,2.67
2001-10-30,2.67
2001-11-29,2.68
2001-12-30,2.7
2002-01-30,2.69
2002-02-27,2.68
2002-03-27,2.65
2002-04-29,2.61
2002-05-30,2.63
2002-06-27,2.63
2002-07-30,2.6
2002-08-29,2.63
2002-09-29,2.59
2002-10-30,2.6
2002-11-28,2.62
2002-12-30,2.58
2003-01-30,2.61
2003-02-27,2.57
2003-03-30,2.58
2003-04-29,2.66
2003-05-29,2.69
2003-06-29,2.73
2003-07-30,2.7
2003-08-28,2.69
2003-09-29,2.68
2003-10-30,2.7
2003-11-27,2.71
2003-12-30,2.73
2004-01-29,2.73
2004-02-26,2.73
2004-03-30,2.68
2004-04-29,2.66
2004-05-27,2.61
2004-06-29,2.59
2004-07-29,2.62
2004-08-30,2.63
2004-09-29,2.63
2004-10-28,2.58
2004-11-29,2.56
2004-12-30,2.62
2005-01-30,2.62
2005-02-27,2.59
2005-03-30,2.59
2005-04-28,2.55
2005-05-30,2.55
2005-06-29,2.57
2005-07-28,2.58
2005-08-30,2.54
2005-09-29,2.52
2005-10-30,2.5
2005-11-29,2.53
2005-12-29,2.55
2006-01-30,2.53
2006-02-27,2.54
2006-03-30,2.55
2006-04-27,2.5
2006-05-30,2.49
2006-06-29,2.48
2006-07-30,2.49
2006-08-30,2.5
2006-09-28,2.52
2006-10-30,2.54
2006-11-29,2.54
2006-12-28,2.57
2007-01-30,2.59
2007-02-27,2.56
2007-03-29,2.55
2007-04-29,2.57
2007-05-30,2.56
2007-06-28,2.56
2007-07-30,2.54
2007-08-30,2.56
2007-09-27,2.57
2007-10-30,2.59
2007-11-29,2.54
2007-12-30,2.54
2008-01-30,2.45
2008-02-28,2.41
2008-03-30,2.37
2008-04-29,2.43
2008-05-29,2.41
2008-06-29,2.37
2008-07-30,2.4
2008-08-28,2.38
2008-09-29,2.33
2008-10-30,2.19
2008-11-27,2.34
2008-12-30,2.29
2009-01-29,2.27
2009-02-26,2.25
2009-03-30,2.29
2009-04-29,2.28
2009-05-28,2.28
2009-06-29,2.28
2009-07-30,2.28
2009-08-30,2.27
2009-09-29,2.26
2009-10-29,2.25
2009-11-29,2.25
2009-12-30,2.21
2010-01-28,2.19
2010-02-25,2.18
2010-03-30,2.11
2010-04-29,2.12
2010-05-27,2.1
2010-06-29,1.95
2010-07-29,2.01
2010-08-30,1.9
2010-09-29,1.98
2010-10-28,2.02
2010-11-29,1.92
2010-12-30,1.84
2011-01-30,1.89
2011-02-27,1.87
2011-03-30,1.88
2011-04-28,1.84
2011-05-30,1.75
2011-06-29,1.74
2011-07-28,1.62
2011-08-30,1.65
2011-09-29,1.73
2011-10-30,1.73
2011-11-29,1.75
2011-12-29,1.73
2012-01-30,1.71
2012-02-28,1.71
2012-03-29,1.69
2012-04-29,1.68
2012-05-30,1.69
2012-06-28,1.69
2012-07-30,1.69
2012-08-30,1.68
2012-09-27,1.68
2012-10-30,1.68
2012-11-29,1.69
2012-12-30,1.7
2013-01-30,1.73
2013-02-27,1.7
2013-03-27,1.69
2013-04-29,1.7
2013-05-30,1.72
2013-06-27,1.7
2013-07-30,1.7
2013-08-29,1.7
2013-09-29,1.69
2013-10-30,1.7
2013-11-28,1.7
2013-12-30,1.7
2014-01-30,1.69
2014-02-27,1.67
2014-03-30,1.66
2014-04-29,1.66
2014-05-29,1.65
2014-06-29,1.64
2014-07-30,1.65
2014-08-28,1.64
2014-09-29,1.63
2014-10-30,1.64
2014-11-27,1.64
2014-12-30,1.65
2015-01-29,1.43
2015-02-26,1.47
2015-03-30,1.43
2015-04-29,1.43
2015-05-28,1.4
2015-06-29,1.41
2015-07-30,1.44
2015-08-30,1.47
2015-09-29,1.47
2015-10-29,1.47
2015-11-29,1.48
2015-12-30,1.48
2016-01-28,1.51
2016-02-28,1.48
2016-03-30,1.48
2016-04-28,1.48
2016-05-30,1.49
2016-06-29,1.45
2016-07-28,1.45
2016-08-30,1.47
2016-09-29,1.46
2016-10-30,1.45
2016-11-29,1.44
2016-12-29,1.43
2017-01-30,1.42
2017-02-27,1.41
2017-03-30,1.41
2017-04-27,1.43
2017-05-30,1.43
2017-06-29,1.44
2017-07-30,1.51
2017-08-30,1.5
2017-09-28,1.5
2017-10-30,1.52
2017-11-29,1.53
2017-12-28,1.53
2018-01-30,1.5
2018-02-27,1.49
2018-03-30,1.52
2018-04-29,1.54
2018-05-30,1.48
2018-06-29,1.48
2018-07-30,1.48
2018-08-30,1.44
2018-09-28,1.46
2018-10-30,1.46
2018-11-29,1.45
2018-12-30,1.45
2019-01-30,1.46
2019-02-27,1.45
2019-03-29,1.42
2019-04-29,1.44
2019-05-30,1.41
2019-06-28,1.4
2019-07-30,1.38
2019-08-30,1.37
2019-09-29,1.37
2019-10-30,1.38
2019-11-29,1.38
2019-12-30,1.36
2020-01-30,1.34
2020-02-28,1.33
2020-03-30,1.33
2020-04-29,1.33
2020-05-29,1.34
2020-06-29,1.33
2020-07-30,1.34
2020-08-30,1.34
2020-09-29,1.34
2020-10-30,1.33
2020-11-29,1.34
2020-12-30,1.36
2021-01-29,1.33
2021-02-26,1.34
2021-03-30,1.35
2021-04-29,1.33
2021-05-30,1.32
2021-06-29,1.3
2021-07-30,1.27
2021-08-30,1.27
2021-09-29,1.27
2021-10-29,1.23
2021-11-29,1.21
2021-12-30,1.2
2022-01-30,1.19
2022-02-27,1.17
2022-03-30,1.15
2022-04-29,1.15
2022-05-30,1.14
2022-06-29,1.09
2022-07-29,1.06
2022-08-30,1.07
2022-09-29,1.05
2022-10-30,1.07
2022-11-29,1.07
2022-12-30,1.08
2023-01-30,1.07
2023-02-27,1.07
2023-03-30,1.06
2023-04-28,1.06
2023-05-30,1.03
2023-06-29,1.03
2023-07-30,1.01
2023-08-30,1.01
2023-09-29,1.02
2023-10-30,1.01
2023-11-29,1
2023-12-30,0.98
2024-01-30,0.97
2024-02-28,0.99
2024-03-30,1.01
2024-04-29,1.01
2024-05-30,1.01
2024-06-29,0.99
2024-07-30,0.97
2024-08-30,0.96
2024-09-29,0.96
2024-10-30,0.96
2024-11-29,0.95
2024-12-30,0.96
2025-01-30,0.96
2025-02-27,0.95
2025-03-30,0.96
2025-04-29,0.94
2025-05-30,0.94
2025-06-29,0.93
2025-07-30,0.93
2025-08-29,0.93
2025-09-29,0.93
2025-10-30,0.93
2025-11-28,0.93
