date,value
1999-01-28,0.6902
1999-02-25,0.6873
1999-03-30,0.6686
1999-04-29,0.6574
1999-05-27,0.651
1999-06-29,0.6553
1999-07-29,0.6591
1999-08-30,0.6584
1999-09-29,0.6495
1999-10-28,0.6408
1999-11-29,0.6312
1999-12-30,0.6253
2000-01-30,0.5993
2000-02-28,0.6111
2000-03-30,0.5999
2000-04-27,0.5874
2000-05-30,0.6243
2000-06-29,0.6279
2000-07-30,0.6177
2000-08-30,0.6137
2000-09-28,0.5985
2000-10-30,0.5858
2000-11-29,0.612
2000-12-28,0.6309
2001-01-30,0.6396
2001-02-27,0.6386
2001-03-29,0.6183
2001-04-29,0.6196
2001-05-30,0.596
2001-06-28,0.5997
2001-07-30,0.6146
2001-08-30,0.6276
2001-09-27,0.6179
2001-10-30,0.6184
2001-11-29,0.6293
2001-12-30,0.6115
2002-01-30,0.6083
2002-02-27,0.6132
2002-03-27,0.6106
2002-04-29,0.6172
2002-05-30,0.6409
2002-06-27,0.6466
2002-07-30,0.6246
2002-08-29,0.633
2002-09-29,0.6288
2002-10-30,0.6327
2002-11-28,0.6382
2002-12-30,0.6506
2003-01-30,0.6532
2003-02-27,0.6869
2003-03-30,0.6901
2003-04-29,0.6988
2003-05-29,0.7199
2003-06-29,0.6952
2003-07-30,0.6972
2003-08-28,0.6958
2003-09-29,0.7011
2003-10-30,0.6826
2003-11-27,0.6965
2003-12-30,0.7058
2004-01-29,0.6838
2004-02-26,0.6684
2004-03-30,0.6668
2004-04-29,0.6731
2004-05-27,0.6666
2004-06-29,0.6701
2004-07-29,0.6606
2004-08-30,0.6756
2004-09-29,0.6862
2004-10-28,0.6962
2004-11-29,0.6952
2004-12-30,0.7061
2005-01-30,0.6922
2005-02-27,0.6884
2005-03-30,0.6855
2005-04-28,0.6742
2005-05-30,0.6769
2005-06-29,0.6754
2005-07-28,0.6893
2005-08-30,0.6841
2005-09-29,0.6814
2005-10-30,0.6773
2005-11-29,0.6814
2005-12-29,0.6873
2006-01-30,0.6834
2006-02-27,0.6794
2006-03-30,0.6971
2006-04-27,0.6918
2006-05-30,0.685
2006-06-29,0.6911
2006-07-30,0.6834
2006-08-30,0.6728
2006-09-28,0.6776
2006-10-30,0.6692
2006-11-29,0.6735
2006-12-28,0.6739
2007-01-30,0.6631
2007-02-27,0.6736
2007-03-29,0.6783
2007-04-29,0.6825
2007-05-30,0.6792
2007-06-28,0.6739
2007-07-30,0.6737
2007-08-30,0.6761
2007-09-27,0.6971
2007-10-30,0.6957
2007-11-29,0.7111
2007-12-30,0.7349
2008-01-30,0.7474
2008-02-28,0.7638
2008-03-30,0.7953
2008-04-29,0.7861
2008-05-29,0.7844
2008-06-29,0.7903
2008-07-30,0.7863
2008-08-28,0.8054
2008-09-29,0.7917
2008-10-30,0.792
2008-11-27,0.8247
2008-12-30,0.956
2009-01-29,0.8808
2009-02-26,0.8853
2009-03-30,0.9246
2009-04-29,0.8942
2009-05-28,0.8742
2009-06-29,0.8519
2009-07-30,0.8519
2009-08-30,0.8799
2009-09-29,0.9142
2009-10-29,0.8948
2009-11-29,0.9124
2009-12-30,0.8862
2010-01-28,0.8663
2010-02-25,0.8941
2010-03-30,0.8899
2010-04-29,0.8705
2010-05-27,0.8479
2010-06-29,0.8184
2010-07-29,0.8316
2010-08-30,0.8265
2010-09-29,0.8676
2010-10-28,0.8694
2010-11-29,0.8344
2010-12-30,0.8574
2011-01-30,0.8546
2011-02-27,0.8488
2011-03-30,0.883
2011-04-28,0.8862
2011-05-30,0.875
2011-06-29,0.9033
2011-07-28,0.8761
2011-08-30,0.8848
2011-09-29,0.8588
2011-10-30,0.8613
2011-11-29,0.8563
2011-12-29,0.8328
2012-01-30,0.83
2012-02-28,0.8369
2012-03-29,0.8332
2012-04-29,0.8154
2012-05-30,0.8022
2012-06-28,0.8058
2012-07-30,0.7846
2012-08-30,0.7922
2012-09-27,0.7952
2012-10-30,0.803
2012-11-29,0.8117
2012-12-30,0.8124
2013-01-30,0.8562
2013-02-27,0.8613
2013-03-27,0.8434
2013-04-29,0.8476
2013-05-30,0.8549
2013-06-27,0.8554
2013-07-30,0.8744
2013-08-29,0.8523
2013-09-29,0.8354
2013-10-30,0.847
2013-11-28,0.8301
2013-12-30,0.8294
2014-01-30,0.8205
2014-02-27,0.8241
2014-03-30,0.8265
2014-04-29,0.8217
2014-05-29,0.8135
2014-06-29,0.8002
2014-07-30,0.7928
2014-08-28,0.7912
2014-09-29,0.7789
2014-10-30,0.7828
2014-11-27,0.7954
2014-12-30,0.7764
2015-01-29,0.7489
2015-02-26,0.7251
2015-03-30,0.7242
2015-04-29,0.7309
2015-05-28,0.7186
2015-06-29,0.7096
2015-07-30,0.7031
2015-08-30,0.7306
2015-09-29,0.7388
2015-10-29,0.7133
2015-11-29,0.7018
2015-12-30,0.737
2016-01-28,0.7608
2016-02-28,0.7813
2016-03-30,0.7926
2016-04-28,0.7837
2016-05-30,0.7686
2016-06-29,0.8343
2016-07-28,0.8446
2016-08-30,0.8492
2016-09-29,0.8661
2016-10-30,0.8969
2016-11-29,0.8467
2016-12-29,0.8535
2017-01-30,0.8584
2017-02-27,0.8543
2017-03-30,0.8485
2017-04-27,0.8413
2017-05-30,0.8723
2017-06-29,0.8771
2017-07-30,0.8961
2017-08-30,0.9211
2017-09-28,0.882
2017-10-30,0.8767
2017-11-29,0.8802
2017-12-28,0.8881
2018-01-30,0.8748
2018-02-27,0.8872
2018-03-30,0.8795
2018-04-29,0.8776
2018-05-30,0.8801
2018-06-29,0.8852
2018-07-30,0.891
2018-08-30,0.8967
2018-09-28,0.8919
2018-10-30,0.886
2018-11-29,0.8868
2018-12-30,0.9007
2019-01-30,0.8732
2019-02-27,0.8573
2019-03-29,0.861
2019-04-29,0.8603
2019-05-30,0.8861
2019-06-28,0.8972
2019-07-30,0.911
2019-08-30,0.9056
2019-09-29,0.8868
2019-10-30,0.8624
2019-11-29,0.8523
2019-12-30,0.8461
2020-01-30,0.8404
2020-02-28,0.8601
2020-03-30,0.8891
2020-04-29,0.8698
2020-05-29,0.8997
2020-06-29,0.9065
2020-07-30,0.9002
2020-08-30,0.8931
2020-09-29,0.9075
2020-10-30,0.9021
2020-11-29,0.895
2020-12-30,0.8924
2021-01-29,0.8851
2021-02-26,0.8669
2021-03-30,0.8509
2021-04-29,0.8699
2021-05-30,0.8604
2021-06-29,0.8574
2021-07-30,0.8534
2021-08-30,0.8587
2021-09-29,0.859
2021-10-29,0.8448
2021-11-29,0.8528
2021-12-30,0.8411
2022-01-30,0.8353
2022-02-27,0.8362
2022-03-30,0.8424
2022-04-29,0.8386
2022-05-30,0.8515
2022-06-29,0.8612
2022-07-29,0.8399
2022-08-30,0.8656
2022-09-29,0.8776
2022-10-30,0.8617
2022-11-29,0.8632
2022-12-30,0.8867
2023-01-30,0.8821
2023-02-27,0.8792
2023-03-30,0.8806
2023-04-28,0.8853
2023-05-30,0.8592
2023-06-29,0.8609
2023-07-30,0.8569
2023-08-30,0.8557
2023-09-29,0.868
2023-10-30,0.8706
2023-11-29,0.8624
2023-12-30,0.8684
2024-01-30,0.8522
2024-02-28,0.8558
2024-03-30,0.8541
2024-04-29,0.854
2024-05-30,0.8524
2024-06-29,0.8487
2024-07-30,0.8421
2024-08-30,0.8424
2024-09-29,0.8326
2024-10-30,0.844
2024-11-29,0.8306
2024-12-30,0.8293
2025-01-30,0.8356
2025-02-27,0.8255
2025-03-30,0.8373
2025-04-29,0.85
2025-05-30,0.8429
2025-06-29,0.8582
2025-07-30,0.8645
2025-08-29,0.8652
2025-09-29,0.8728
2025-10-30,0.8818
2025-11-28,0.875
2025-12-16,0.8755
