date,value
1999-01-28,132.14
1999-02-25,131.24
1999-03-30,128.05
1999-04-29,126.33
1999-05-27,126.68
1999-06-29,125.3
1999-07-29,122.53
1999-08-30,115.83
1999-09-29,113.71
1999-10-28,109.75
1999-11-29,102.97
1999-12-30,103.25
2000-01-30,103.97
2000-02-28,106.28
2000-03-30,98.19
2000-04-27,98.54
2000-05-30,100.97
2000-06-29,101.03
2000-07-30,101.36
2000-08-30,94.71
2000-09-28,95.47
2000-10-30,92.5
2000-11-29,96.3
2000-12-28,107.75
2001-01-30,109.14
2001-02-27,108.3
2001-03-29,110.61
2001-04-29,109.57
2001-05-30,100.81
2001-06-28,105.95
2001-07-30,109.52
2001-08-30,108.41
2001-09-27,108.82
2001-10-30,110.18
2001-11-29,110.63
2001-12-30,117.13
2002-01-30,115.52
2002-02-27,116
2002-03-27,115.5
2002-04-29,115.72
2002-05-30,115.99
2002-06-27,118.44
2002-07-30,117.15
2002-08-29,116.23
2002-09-29,120.2
2002-10-30,121.33
2002-11-28,121.89
2002-12-30,124.59
2003-01-30,129.02
2003-02-27,127.64
2003-03-30,128.79
2003-04-29,132.91
2003-05-29,140.58
2003-06-29,137.72
2003-07-30,135.36
2003-08-28,128.35
2003-09-29,129.93
2003-10-30,127.45
2003-11-27,131.49
2003-12-30,135.05
2004-01-29,131.89
2004-02-26,136.36
2004-03-30,128.38
2004-04-29,132.32
2004-05-27,134.66
2004-06-29,132.61
2004-07-29,133.86
2004-08-30,132.97
2004-09-29,136.84
2004-10-28,135.35
2004-11-29,136.82
2004-12-30,139.06
2005-01-30,135.15
2005-02-27,138.37
2005-03-30,138.87
2005-04-28,134.83
2005-05-30,133.58
2005-06-29,134.15
2005-07-28,136.33
2005-08-30,136.55
2005-09-29,136.45
2005-10-30,139.57
2005-11-29,141.23
2005-12-29,139.48
2006-01-30,142.5
2006-02-27,137.96
2006-03-30,142.58
2006-04-27,143.66
2006-05-30,144.24
2006-06-29,146.37
2006-07-30,146.38
2006-08-30,150.42
2006-09-28,149.8
2006-10-30,149.2
2006-11-29,153.33
2006-12-28,157.03
2007-01-30,157.5
2007-02-27,156.74
2007-03-29,157.33
2007-04-29,162.99
2007-05-30,163.76
2007-06-28,166.74
2007-07-30,161.86
2007-08-30,157.76
2007-09-27,163.82
2007-10-30,167
2007-11-29,162.66
2007-12-30,162.41
2008-01-30,158.07
2008-02-28,157.59
2008-03-30,157.36
2008-04-29,162.26
2008-05-29,164.07
2008-06-29,167.09
2008-07-30,168.19
2008-08-28,159.62
2008-09-29,149.63
2008-10-30,125.31
2008-11-27,121.18
2008-12-30,126.69
2009-01-29,114.97
2009-02-26,123.56
2009-03-30,130.9
2009-04-29,130.34
2009-05-28,134.84
2009-06-29,135.16
2009-07-30,134.86
2009-08-30,133.29
2009-09-29,131.34
2009-10-29,132.55
2009-11-29,129.52
2009-12-30,133.05
2010-01-28,125.13
2010-02-25,121.09
2010-03-30,126.27
2010-04-29,124.72
2010-05-27,111.69
2010-06-29,108.09
2010-07-29,112.77
2010-08-30,106.72
2010-09-29,113.77
2010-10-28,112.12
2010-11-29,108.59
2010-12-30,108.61
2011-01-30,112.35
2011-02-27,112.82
2011-03-30,117.76
2011-04-28,120.18
2011-05-30,117.28
2011-06-29,116.79
2011-07-28,110.6
2011-08-30,110.15
2011-09-29,103.21
2011-10-30,108.25
2011-11-29,104.23
2011-12-29,99.57
2012-01-30,99.69
2012-02-28,108.12
2012-03-29,110.56
2012-04-29,105.65
2012-05-30,96.79
2012-06-28,101.02
2012-07-30,96.09
2012-08-30,98.46
2012-09-27,100.13
2012-10-30,103.4
2012-11-29,107.2
2012-12-30,114.36
2013-01-30,124.32
2013-02-27,121.04
2013-03-27,120.67
2013-04-29,128.23
2013-05-30,130.46
2013-06-27,129.03
2013-07-30,130.2
2013-08-29,129.72
2013-09-29,132.8
2013-10-30,133.63
2013-11-28,139.18
2013-12-30,144.84
2014-01-30,137.69
2014-02-27,140.49
2014-03-30,142.15
2014-04-29,141.74
2014-05-29,138.66
2014-06-29,138.71
2014-07-30,137.63
2014-08-28,136.66
2014-09-29,138.47
2014-10-30,140.68
2014-11-27,147.61
2014-12-30,144.76
2015-01-29,132.5
2015-02-26,133.77
2015-03-30,128.92
2015-04-29,134.01
2015-05-28,136.35
2015-06-29,136.54
2015-07-30,136.08
2015-08-30,135.9
2015-09-29,133.99
2015-10-29,132.75
2015-11-29,130.05
2015-12-30,130.64
2016-01-28,131.21
2016-02-28,122.53
2016-03-30,128.11
2016-04-28,121.94
2016-05-30,123.25
2016-06-29,114.61
2016-07-28,114.06
2016-08-30,115.4
2016-09-29,113.92
2016-10-30,115.1
2016-11-29,121.19
2016-12-29,122.97
2017-01-30,121.8
2017-02-27,119.27
2017-03-30,118.67
2017-04-27,121.53
2017-05-30,124.56
2017-06-29,128.4
2017-07-30,130.57
2017-08-30,130.98
2017-09-28,132.92
2017-10-30,132.34
2017-11-29,133.96
2017-12-28,135.28
2018-01-30,135.54
2018-02-27,130.0933
2018-03-30,130.9757
2018-04-29,132.1017
2018-05-30,127.1963
2018-06-29,129.3774
2018-07-30,130.699
2018-08-30,129.0455
2018-09-28,132.1224
2018-10-30,127.8244
2018-11-29,128.4631
2018-12-30,125.9006
2019-01-30,124.5666
2019-02-27,126.6299
2019-03-29,124.5297
2019-04-29,124.9499
2019-05-30,121.2513
2019-06-28,122.8866
2019-07-30,120.472
2019-08-30,117.036
2019-09-29,117.7859
2019-10-30,120.4764
2019-11-29,120.6317
2019-12-30,121.9497
2020-01-30,120.1988
2020-02-28,119.233
2020-03-30,118.7288
2020-04-29,117.2153
2020-05-29,119.7175
2020-06-29,121.2862
2020-07-30,124.6657
2020-08-30,126.3975
2020-09-29,123.681
2020-10-30,122.2109
2020-11-29,124.4925
2020-12-30,126.1189
2021-01-29,127.0979
2021-02-26,128.688
2021-03-30,129.9171
2021-04-29,131.3737
2021-05-30,133.9424
2021-06-29,131.7436
2021-07-30,130.1632
2021-08-30,129.906
2021-09-29,128.9495
2021-10-29,131.7292
2021-11-29,128.3431
2021-12-30,130.8946
2022-01-30,129.3322
2022-02-27,129.0313
2022-03-30,134.8125
2022-04-29,136.8545
2022-05-30,138.2259
2022-06-29,142.2192
2022-07-29,136.2493
2022-08-30,139.7583
2022-09-29,141.9135
2022-10-30,146.9392
2022-11-29,143.7401
2022-12-30,140.6436
2023-01-30,141.3106
2023-02-27,144.0895
2023-03-30,144.3357
2023-04-28,151.6729
2023-05-30,148.7783
2023-06-29,157.5296
2023-07-30,156.5211
2023-08-30,157.7484
2023-09-29,158.1351
2023-10-30,160.0555
2023-11-29,161.24
2023-12-30,155.9008
2024-01-30,158.8153
2024-02-28,162.1709
2024-03-30,163.4016
2024-04-29,168.2375
2024-05-30,170.7194
2024-06-29,172.7395
2024-07-30,162.0948
2024-08-30,161.691
2024-09-29,160.0478
2024-10-30,165.3869
2024-11-29,158.4452
2024-12-30,163.6983
2025-01-30,160.8258
2025-02-27,156.3167
2025-03-30,162.1866
2025-04-29,161.9544
2025-05-30,163.4563
2025-06-29,169.6345
2025-07-30,172.1034
2025-08-29,171.8314
2025-09-29,173.5654
2025-10-30,178.62
2025-11-28,181.081
2025-12-16,181.6385
