date,value
1999-01-28,259.42
1999-02-25,257.34
1999-03-30,250.33
1999-04-29,245.18
1999-05-27,245.86
1999-06-29,243.18
1999-07-29,237.09
1999-08-30,223.59
1999-09-29,218.45
1999-10-28,210.47
1999-11-29,197.35
1999-12-30,197.89
2000-01-30,198.68
2000-02-28,201.9
2000-03-30,185
2000-04-27,185.55
2000-05-30,189.91
2000-06-29,189.03
2000-07-30,189.21
2000-08-30,176.79
2000-09-28,177.29
2000-10-30,171.48
2000-11-29,178.42
2000-12-28,199.75
2001-01-30,201.05
2001-02-27,198.71
2001-03-29,202.49
2001-04-29,199.79
2001-05-30,182.99
2001-06-28,192
2001-07-30,199.02
2001-08-30,197.01
2001-09-27,196.87
2001-10-30,200
2001-11-29,201.16
2001-12-30,213.82
2002-01-30,210.4
2002-02-27,210.44
2002-03-27,208.37
2002-04-29,207.6
2002-05-30,208.09
2002-06-27,212.36
2002-07-30,209.82
2002-08-29,207.48
2002-09-29,214.21
2002-10-30,215.87
2002-11-28,216.86
2002-12-30,222.16
2003-01-30,229.04
2003-02-27,224.86
2003-03-30,225.53
2003-04-29,233.25
2003-05-29,247.12
2003-06-29,241.82
2003-07-30,237.42
2003-08-28,224.27
2003-09-29,226.3
2003-10-30,222.22
2003-11-27,229.88
2003-12-30,236.36
2004-01-29,229.71
2004-02-26,236.22
2004-03-30,220.97
2004-04-29,227.03
2004-05-27,229.7
2004-06-29,225.49
2004-07-29,227.97
2004-08-30,226.34
2004-09-29,232.43
2004-10-28,228.7
2004-11-29,231.06
2004-12-30,235.71
2005-01-30,228.6
2005-02-27,232.7
2005-03-30,231.73
2005-04-28,223.49
2005-05-30,221.64
2005-06-29,222.48
2005-07-28,225.05
2005-08-30,224.27
2005-09-29,221.4
2005-10-30,226
2005-11-29,230.54
2005-12-29,228.61
2006-01-30,231.79
2006-02-27,223.96
2006-03-30,230.18
2006-04-27,229.97
2006-05-30,229.76
2006-06-29,232.69
2006-07-30,232.02
2006-08-30,237.96
2006-09-28,238.15
2006-10-30,238.48
2006-11-29,245.45
2006-12-28,251
2007-01-30,250.98
2007-02-27,248.44
2007-03-29,247.13
2007-04-29,254.37
2007-05-30,254.02
2007-06-28,258.14
2007-07-30,250.65
2007-08-30,244.75
2007-09-27,253.45
2007-10-30,257.82
2007-11-29,249.64
2007-12-30,249.42
2008-01-30,241.55
2008-02-28,240.12
2008-03-30,237.71
2008-04-29,243.64
2008-05-29,244.3
2008-06-29,246.31
2008-07-30,246.64
2008-08-28,235.01
2008-09-29,220.61
2008-10-30,186.64
2008-11-27,184.01
2008-12-30,194.39
2009-01-29,175.64
2009-02-26,187.83
2009-03-30,198.5
2009-04-29,197.16
2009-05-28,203.38
2009-06-29,202.13
