date,value
1992-12-30,-19
1993-12-30,-12.4
1994-12-30,-5.4
1995-12-30,2.75
1996-12-30,23.85
1997-12-30,8.28
1998-12-30,-11.99
1999-12-30,-12.86
2000-12-30,3.43
2001-12-30,12.16
2002-12-30,-0.04
2003-12-30,-0.07
2004-12-30,2.92
2005-12-30,3.05
2006-12-30,14.87
2007-12-30,-5
2008-12-30,-40.16
2009-12-30,13.33
2010-12-30,-15.65
2011-12-30,-5.61
2012-12-30,17.74
2013-12-30,24.05
2014-12-30,6.76
2015-12-30,-4.95
2016-12-30,-18.44
2017-12-30,5.35
2018-12-30,-8.18
2019-12-30,3.11
2020-12-30,-1.94
2021-12-30,10.12
2022-12-30,1.93
2023-12-30,13.18
2024-12-30,9.96
2025-12-30,5.09
