date,value
1972-01-03,-7.84
1973-12-30,-1.28
1974-12-30,1.29
1975-12-30,-14.04
1976-12-30,-15.84
1977-12-30,12.94
1978-12-30,6.25
1979-12-30,8.82
1980-12-30,7.66
1981-12-30,-19.67
1982-12-30,-15.63
1983-12-30,-10.49
1984-12-30,-20
1985-12-30,25
1986-12-30,2.07
1987-12-30,27.7
1988-12-30,-4.23
1989-12-30,-11.05
1990-12-30,19.88
1991-12-30,-3.11
1992-12-30,-19.25
1993-12-30,-1.99
1994-12-30,6.08
1995-12-30,-1.27
1996-12-30,10.32
1997-12-30,-4.09
1998-12-30,1.22
1999-12-30,-2.41
2000-12-30,-7.41
2001-12-30,-3.33
2002-12-30,11.03
2003-12-30,10.56
2004-12-30,7.87
2005-12-30,-10.42
2006-12-30,13.95
2007-12-30,1.02
2008-12-30,-26.26
2009-12-30,10.96
2010-12-30,-4.94
2011-12-30,0.65
2012-12-30,5.16
2013-12-30,1.84
2014-12-30,-6.02
2015-12-30,-5.77
2016-12-30,-16.05
2017-12-30,9.51
2018-12-30,-5.67
2019-12-30,4.04
2020-12-30,3.21
2021-12-30,-1.23
2022-12-30,-10.52
2023-12-30,5.22
2024-12-30,-1.43
2025-12-30,6.96
