date,value
1947-12-30,19.61
1948-08-29,19.56
1949-01-03,19.51
1950-02-22,19.47
1951-10-22,19.37
1952-02-27,19.23
1953-04-18,19.18
1954-11-28,19.37
1955-01-17,19.61
1956-06-11,19.64
1957-01-21,19.64
1958-12-07,20.01
1959-10-22,20.33
1960-03-17,20.38
1961-01-31,20.41
1962-09-29,20.29
1963-02-04,20.24
1964-03-25,18.87
1965-02-08,18.86
1966-12-25,18.82
1967-05-20,18.54
1968-12-29,17.84
1969-02-17,17.88
1970-07-13,17.84
1971-11-18,18.02
1972-07-18,18.72
1973-03-29,18.47
1973-04-29,18.42
1973-05-30,18.88
1973-06-28,18.83
1973-07-30,18.2
1973-08-30,17.59
1973-09-27,17.2
1973-10-30,17.26
1973-11-29,16.44
1973-12-30,16.2
1974-01-30,15.85
1974-02-27,15.72
1974-03-28,16.13
1974-04-29,16.26
1974-05-30,15.93
1974-06-27,15.73
1974-07-30,15.61
1974-08-29,14.97
1974-09-29,14.85
1974-10-30,14.77
1974-11-28,14.59
1974-12-30,14.61
1975-01-30,14.74
1975-02-27,14.93
1975-03-30,14.75
1975-04-29,14.33
1975-05-29,14.07
1975-06-29,13.18
1975-07-30,12.8
1975-08-28,12.53
1975-09-29,12.05
1975-10-30,12.22
1975-11-27,11.78
1975-12-30,11.74
1976-01-29,11.78
1976-02-26,11.73
1976-03-30,11.08
1976-04-29,10.58
1976-05-27,10.05
1976-06-29,10.17
1976-07-29,10.11
1976-08-30,10
1976-09-29,9.3
1976-10-28,8.86
1976-11-29,9.18
1976-12-30,9.42
1977-01-30,9.48
1977-02-27,9.33
1977-03-30,9.32
1977-04-28,9.25
1977-05-30,9.2
1977-06-29,9.14
1977-07-28,9.2
1977-08-30,9.17
1977-09-29,9.19
1977-10-30,9.63
1977-11-29,9.48
1977-12-29,9.97
1978-01-30,10.06
1978-02-27,9.95
1978-03-30,9.46
1978-04-27,9.19
1978-05-30,9.15
1978-06-29,9.2
1978-07-30,9.48
1978-08-30,9.48
1978-09-28,9.6
1978-10-30,10
1978-11-29,9.28
1978-12-28,9.72
1979-01-30,9.4
1979-02-27,9.43
1979-03-29,9.52
1979-04-29,9.46
1979-05-30,9.34
1979-06-28,9.73
1979-07-30,9.93
1979-08-30,9.83
1979-09-27,9.51
1979-10-30,8.88
1979-11-29,9.35
1979-12-30,9.34
1980-01-30,9.41
1980-02-28,9.28
1980-03-30,8.7
1980-04-29,9
1980-05-29,9.23
1980-06-29,9.2
1980-07-30,9.13
1980-08-28,9.29
1980-09-29,9.18
1980-10-30,9.28
1980-11-27,8.9
1980-12-30,8.93
1981-01-29,8.79
1981-02-26,8.07
1981-03-30,8.13
1981-04-29,7.75
1981-05-28,7.44
1981-06-29,6.87
1981-07-30,6.48
1981-08-30,6.47
1981-09-29,6.23
1981-10-29,6.42
1981-11-29,6.75
1981-12-30,6.59
1982-01-28,6.43
1982-02-25,6.21
1982-03-30,6.08
1982-04-29,6.08
1982-05-27,6.03
1982-06-29,5.79
1982-07-29,5.76
1982-08-30,5.68
1982-09-29,5.57
1982-10-28,5.52
1982-11-29,5.37
1982-12-30,5.35
1983-01-30,5.01
1983-02-27,4.98
1983-03-30,4.88
1983-04-28,5.1
1983-05-30,5.2
1983-06-29,4.96
1983-07-28,4.91
1983-08-30,4.8
1983-09-29,4.8
1983-10-30,4.79
1983-11-29,4.65
1983-12-29,4.62
1984-01-30,4.43
1984-02-28,4.69
1984-03-29,4.53
1984-04-29,4.38
1984-05-30,4.34
1984-06-28,4.23
1984-07-30,4.06
1984-08-30,4.04
1984-09-27,3.78
1984-10-30,3.74
1984-11-29,3.68
1984-12-30,3.55
1985-01-30,3.45
1985-02-27,3.29
1985-03-28,3.76
1985-04-29,3.74
1985-05-30,3.88
1985-06-27,3.93
1985-07-30,4.22
1985-08-29,4.15
1985-09-29,4.2
1985-10-30,4.27
1985-11-28,4.41
1985-12-30,4.28
1986-01-30,4.15
1986-02-27,4.28
1986-03-30,4.36
1986-04-29,4.6
1986-05-29,4.35
1986-06-29,4.51
1986-07-30,4.39
1986-08-28,4.38
1986-09-29,4.24
1986-10-30,4.12
1986-11-27,4.18
1986-12-30,4.32
1987-01-29,4.38
1987-02-26,4.48
1987-03-30,4.63
1987-04-29,4.75
1987-05-28,4.65
1987-06-29,4.58
1987-07-30,4.51
1987-08-30,4.6
1987-09-29,4.54
1987-10-29,4.81
1987-11-29,5.12
1987-12-30,5.28
1988-01-28,4.93
1988-02-28,4.92
1988-03-30,5.23
1988-04-28,5.18
1988-05-30,5.05
1988-06-29,4.67
1988-07-28,4.65
1988-08-30,4.55
1988-09-29,4.55
1988-10-30,4.75
1988-11-29,4.96
1988-12-29,4.85
1989-01-30,4.66
1989-02-27,4.62
1989-03-30,4.46
1989-04-27,4.43
1989-05-30,4.09
1989-06-29,4.03
1989-07-30,4.33
1989-08-30,4.06
1989-09-28,4.15
1989-10-30,4.06
1989-11-29,4.02
1989-12-28,4.12
1990-01-30,4.25
1990-02-27,4.26
1990-03-29,4.14
1990-04-29,4.1
1990-05-30,4.19
1990-06-28,4.35
1990-07-30,4.6
1990-08-30,4.63
1990-09-27,4.55
1990-10-30,4.69
1990-11-29,4.68
1990-12-30,4.65
1991-01-30,4.72
1991-02-27,4.57
1991-03-28,4.18
1991-04-29,4.1
1991-05-30,4.04
1991-06-27,3.84
1991-07-30,3.98
1991-08-29,3.97
1991-09-29,4.11
1991-10-30,4.08
1991-11-28,4.14
1991-12-30,4.37
1992-01-30,4.18
1992-02-27,4.1
1992-03-30,4.03
1992-04-29,4.12
1992-05-28,4.23
1992-06-29,4.37
1992-07-30,4.41
1992-08-30,4.56
1992-09-29,4.06
1992-10-29,3.55
1992-11-29,3.43
1992-12-30,3.43
1993-01-28,3.37
1993-02-25,3.2
1993-03-30,3.39
1993-04-29,3.52
1993-05-27,3.49
1993-06-29,3.33
1993-07-29,3.33
1993-08-30,3.32
1993-09-29,3.33
1993-10-28,3.3
1993-11-29,3.3
1993-12-30,3.27
1994-01-30,3.31
1994-02-27,3.28
1994-03-30,3.27
1994-04-28,3.3
1994-05-30,3.3
1994-06-29,3.38
1994-07-28,3.35
1994-08-30,3.33
1994-09-29,3.41
1994-10-30,3.54
1994-11-29,3.38
1994-12-29,3.38
1995-01-30,3.39
1995-02-27,3.38
1995-03-30,3.45
1995-04-27,3.42
1995-05-30,3.37
1995-06-29,3.36
1995-07-30,3.38
1995-08-30,3.27
1995-09-28,3.33
1995-10-30,3.32
1995-11-29,3.21
1995-12-28,3.26
1996-01-30,3.15
1996-02-28,3.19
1996-03-28,3.17
1996-04-29,3.12
1996-05-30,3.19
1996-06-27,3.19
1996-07-30,3.21
1996-08-29,3.2
1996-09-29,3.21
1996-10-30,3.32
1996-11-28,3.42
1996-12-30,3.48
1997-01-30,3.24
1997-02-27,3.29
1997-03-30,3.31
1997-04-29,3.26
1997-05-29,3.3
1997-06-29,3.36
