date,value
1991-12-30,0.58
1992-12-30,0.54
1993-12-30,0.54
1994-12-30,0.59
1995-12-30,0.66
1996-12-30,0.69
1997-12-30,0.66
1998-12-30,0.54
1999-12-30,0.53
2000-12-30,0.46
2001-12-30,0.42
2002-12-30,0.46
2003-12-30,0.58
2004-12-30,0.66
2005-12-30,0.7
2006-12-30,0.65
2007-12-30,0.74
2008-12-30,0.71
2009-12-30,0.64
2010-12-30,0.72
2011-12-30,0.79
2012-12-30,0.81
2013-12-30,0.82
2014-12-30,0.83
2015-12-30,0.7
2016-12-30,0.7
2017-12-30,0.71
2018-12-30,0.69
2019-12-30,0.66
2020-12-30,0.65
2021-12-30,0.71
2022-12-30,0.64
2023-12-30,0.61
2024-12-30,0.61
2025-12-30,0.58
