date,value
1992-12-30,-4.99
1993-12-30,8.8
1994-12-30,14.83
1995-12-30,1.7
1996-12-30,8.15
1997-12-30,-17.89
1998-12-30,-8.79
1999-12-30,-1.3
2000-12-30,-15.17
2001-12-30,-6.02
2002-12-30,25.85
2003-12-30,24.95
2004-12-30,9.65
2005-12-30,-4.94
2006-12-30,3.12
2007-12-30,8.81
2008-12-30,-23.84
2009-12-30,24.11
2010-12-30,7.5
2011-12-30,-0.1
2012-12-30,6.49
2013-12-30,-0.75
2014-12-30,-5.1
2015-12-30,-12.43
2016-12-30,1.51
2017-12-30,2.37
2018-12-30,-5.3
2019-12-30,-0.03
2020-12-30,6.89
2021-12-30,-4.75
2022-12-30,-7.21
2023-12-30,-0.49
2024-12-30,-11.46
2025-12-30,3.29
