date,value
1991-12-30,1.43
1992-12-30,1.4
1993-12-30,1.48
1994-12-30,1.37
1995-12-30,1.18
1996-12-30,1.24
1997-12-30,1.45
1998-12-30,1.45
1999-12-30,1.5
2000-12-30,1.69
2001-12-30,1.69
2002-12-30,1.55
2003-12-30,1.34
2004-12-30,1.24
2005-12-30,1.25
2006-12-30,1.25
2007-12-30,1.2
2008-12-30,1.08
2009-12-30,1.08
2010-12-30,1.04
2011-12-30,0.89
2012-12-30,0.94
2013-12-30,0.93
2014-12-30,0.92
2015-12-30,0.96
2016-12-30,0.99
2017-12-30,0.98
2018-12-30,0.98
2019-12-30,0.99
2020-12-30,0.94
2021-12-30,0.91
2022-12-30,0.95
2023-12-30,0.9
2024-12-30,0.88
2025-12-30,0.83
