date,value
1991-01-30,1.259
1991-02-27,1.3238
1991-03-27,1.454
1991-04-29,1.4427
1991-05-30,1.4845
1991-06-27,1.552
1991-07-30,1.522
1991-08-29,1.5266
1991-09-29,1.452
1991-10-30,1.467
1991-11-28,1.433
1991-12-30,1.3575
1992-01-30,1.4328
1992-02-27,1.485
1992-03-30,1.498
1992-04-29,1.51
1992-05-28,1.4555
1992-06-29,1.372
1992-07-30,1.314
1992-08-30,1.249
1992-09-29,1.2358
1992-10-29,1.3735
1992-11-29,1.433
1992-12-30,1.4665
1993-01-28,1.488
1993-02-25,1.526
1993-03-30,1.4885
1993-04-29,1.4305
1993-05-27,1.4176
1993-06-29,1.5133
1993-07-29,1.5245
1993-08-30,1.4783
1993-09-29,1.4252
1993-10-28,1.4916
1993-11-29,1.4976
1993-12-30,1.4883
1994-01-30,1.4564
1994-02-27,1.425
1994-03-30,1.4124
1994-04-28,1.4011
1994-05-30,1.4031
1994-06-29,1.3328
1994-07-28,1.34
1994-08-30,1.3325
1994-09-29,1.2868
1994-10-30,1.2556
1994-11-29,1.3263
1994-12-29,1.3088
1995-01-30,1.2861
1995-02-27,1.2368
1995-03-30,1.1313
1995-04-27,1.1443
1995-05-30,1.167
1995-06-29,1.1495
1995-07-30,1.1521
1995-08-30,1.2013
1995-09-28,1.1543
1995-10-30,1.1361
1995-11-29,1.1765
1995-12-28,1.153
1996-01-30,1.212
1996-02-28,1.201
1996-03-28,1.19
1996-04-29,1.243
1996-05-30,1.249
1996-06-27,1.253
1996-07-30,1.197
1996-08-29,1.201
1996-09-29,1.255
1996-10-30,1.268
1996-11-28,1.304
1996-12-30,1.341
1997-01-30,1.423
1997-02-27,1.478
1997-03-30,1.448
1997-04-29,1.474
1997-05-29,1.414
1997-06-29,1.462
1997-07-30,1.512
1997-08-28,1.491
1997-09-29,1.448
1997-10-30,1.398
1997-11-27,1.426
1997-12-30,1.462
1998-01-29,1.477
1998-02-26,1.465
1998-03-30,1.523
1998-04-29,1.501
1998-05-28,1.484
1998-06-29,1.52
1998-07-30,1.492
1998-08-30,1.444
1998-09-29,1.3778
1998-10-29,1.3514
1998-11-29,1.3939
1998-12-30,1.3751
1999-01-28,1.4143
1999-02-25,1.4468
1999-03-30,1.4824
1999-04-29,1.5233
1999-05-27,1.5273
1999-06-29,1.55
1999-07-29,1.4903
1999-08-30,1.5133
1999-09-29,1.4959
