date,value
1991-01-30,3.02
1991-02-27,3.17
1991-03-27,3.47
1991-04-29,3.44
1991-05-30,3.53
1991-06-27,3.68
1991-07-30,3.6
1991-08-29,3.6
1991-09-29,3.41
1991-10-30,3.44
1991-11-28,3.35
1991-12-30,3.18
1992-01-30,3.35
1992-02-27,3.46
1992-03-30,3.47
1992-04-29,3.49
1992-05-28,3.36
1992-06-29,3.16
1992-07-30,3.02
1992-08-30,2.86
1992-09-29,2.82
1992-10-29,3.12
1992-11-29,3.26
1992-12-30,3.33
1993-01-28,3.37
1993-02-25,3.44
1993-03-30,3.34
1993-04-29,3.2
1993-05-27,3.17
1993-06-29,3.38
1993-07-29,3.41
1993-08-30,3.29
1993-09-29,3.17
1993-10-28,3.3
1993-11-29,3.31
1993-12-30,3.29
1994-01-30,3.21
1994-02-27,3.13
1994-03-30,3.1
1994-04-28,3.07
1994-05-30,3.07
1994-06-29,2.9
1994-07-28,2.91
1994-08-30,2.88
1994-09-29,2.78
1994-10-30,2.71
1994-11-29,2.86
1994-12-29,2.82
1995-01-30,2.76
1995-02-27,2.64
1995-03-30,2.41
1995-04-27,2.43
1995-05-30,2.47
1995-06-29,2.43
1995-07-30,2.44
1995-08-30,2.53
1995-09-28,2.43
1995-10-30,2.38
1995-11-29,2.47
1995-12-28,2.42
1996-01-30,2.53
1996-02-28,2.5
1996-03-28,2.47
1996-04-29,2.57
1996-05-30,2.57
1996-06-27,2.58
1996-07-30,2.46
1996-08-29,2.46
1996-09-29,2.57
1996-10-30,2.58
1996-11-28,2.65
1996-12-30,2.73
1997-01-30,2.89
1997-02-27,2.99
1997-03-30,2.92
1997-04-29,2.97
1997-05-29,2.85
1997-06-29,2.94
1997-07-30,3.04
1997-08-28,2.99
1997-09-29,2.9
1997-10-30,2.79
1997-11-27,2.85
1997-12-30,2.92
1998-01-29,2.95
1998-02-26,2.92
1998-03-30,3.03
1998-04-29,2.98
1998-05-28,2.94
1998-06-29,3.01
1998-07-30,2.95
1998-08-30,2.85
1998-09-29,2.72
1998-10-29,2.66
1998-11-29,2.74
1998-12-30,2.71
1999-01-28,2.78
1999-02-25,2.84
1999-03-30,2.9
1999-04-29,2.96
1999-05-27,2.96
1999-06-29,3.01
1999-07-29,2.88
1999-08-30,2.92
1999-09-29,2.87
1999-10-28,2.92
1999-11-29,3.04
1999-12-30,3.05
2000-01-30,3.17
2000-02-28,3.16
2000-03-30,3.13
2000-04-27,3.23
2000-05-30,3.16
2000-06-29,3.06
2000-07-30,3.12
2000-08-30,3.25
2000-09-28,3.2
2000-10-30,3.33
2000-11-29,3.2
2000-12-28,2.99
2001-01-30,3.01
2001-02-27,3.06
2001-03-29,3.19
2001-04-29,3.16
2001-05-30,3.26
2001-06-28,3.25
2001-07-30,3.14
2001-08-30,3.02
2001-09-27,2.93
2001-10-30,2.97
2001-11-29,2.98
2001-12-30,3.03
2002-01-30,3.13
2002-02-27,3.08
2002-03-27,3.04
2002-04-29,2.9
2002-05-30,2.82
2002-06-27,2.65
2002-07-30,2.66
2002-08-29,2.67
2002-09-29,2.63
2002-10-30,2.63
2002-11-28,2.64
2002-12-30,2.46
2003-01-30,2.42
2003-02-27,2.38
2003-03-30,2.36
2003-04-29,2.38
2003-05-29,2.28
2003-06-29,2.37
2003-07-30,2.4
2003-08-28,2.45
2003-09-29,2.3
2003-10-30,2.33
2003-11-27,2.26
2003-12-30,2.17
2004-01-29,2.19
2004-02-26,2.19
2004-03-30,2.18
2004-04-29,2.22
2004-05-27,2.14
2004-06-29,2.12
2004-07-29,2.18
2004-08-30,2.16
2004-09-29,2.12
2004-10-28,2.02
2004-11-29,1.93
2004-12-30,1.93
2005-01-30,2.01
2005-02-27,1.96
2005-03-30,2
2005-04-28,1.98
2005-05-30,2.07
2005-06-29,2.12
2005-07-28,2.13
2005-08-30,2.06
2005-09-29,2.1
2005-10-30,2.09
2005-11-29,2.15
2005-12-29,2.15
2006-01-30,2.08
2006-02-27,2.13
2006-03-30,2.11
2006-04-27,1.98
2006-05-30,1.94
2006-06-29,1.94
2006-07-30,1.95
