date,value
1982-12-30,10.29
1983-12-30,3.11
1984-12-30,40.7
1985-12-30,14.64
1986-12-30,16.2
1987-12-30,0
1988-12-30,0
1989-12-30,26.81
1990-12-30,10.78
1991-12-30,4.01
1992-12-30,5.87
1993-12-30,0.69
1994-12-30,45.78
1995-12-30,-1.53
1996-12-30,-0.12
1997-12-30,-0.24
1998-12-30,-0.36
1999-12-30,0
2000-12-30,0
2001-12-30,0
2002-12-30,0
2003-12-30,0
2004-12-30,0
2005-12-30,-2.54
2006-12-30,-3.35
2007-12-30,-6.54
2008-12-30,-6.45
2009-12-30,0.15
2010-12-30,-3.37
2011-12-30,-4.7
2012-12-30,-0.95
2013-12-30,-2.89
2014-12-30,2.48
2015-12-30,4.52
2016-12-30,7.18
2017-12-30,-6.32
2018-12-30,5.72
2019-12-30,1.23
2020-12-30,-6.18
2021-12-30,-2.71
2022-12-30,8.53
2023-12-30,2.62
2024-12-30,3.12
2025-12-30,-3.52
