date,value
1981-01-29,5.9
1981-02-26,5.94
1981-03-30,5.9
1981-04-29,6.12
1981-05-28,6.29
1981-06-29,6.23
1981-07-30,6.27
1981-08-30,6.19
1981-09-29,6.13
1981-10-29,6.11
1981-11-29,5.92
1981-12-30,6.01
1982-01-28,6.16
1982-02-25,6.27
1982-03-30,6.38
1982-04-29,6.22
1982-05-27,6.16
1982-06-29,6.45
1982-07-29,6.39
1982-08-30,6.44
1982-09-29,6.49
1982-10-28,6.57
1982-11-29,6.55
1982-12-30,6.38
1983-01-30,6.43
1983-02-27,6.49
1983-03-30,6.59
1983-04-28,6.51
1983-05-30,6.5
1983-06-29,6.45
1983-07-28,6.46
1983-08-30,6.41
1983-09-29,6.34
1983-10-30,6.32
1983-11-29,6.34
1983-12-29,6.34
1984-01-30,6.58
1984-02-28,6.46
1984-03-29,6.48
1984-04-29,6.66
1984-05-30,6.93
1984-06-28,7
1984-07-30,7.25
1984-08-30,7.47
1984-09-27,7.9
1984-10-30,8.12
1984-11-29,8.58
1984-12-30,8.58
1985-01-30,8.62
1985-02-27,8.64
1985-03-28,8.58
1985-04-29,8.63
1985-05-30,8.57
1985-06-27,8.66
1985-07-30,8.65
1985-08-29,8.72
1985-09-29,8.88
1985-10-30,9.53
1985-11-28,9.5
1985-12-30,9.47
1986-01-30,9.45
1986-02-27,9.5
1986-03-30,9.58
1986-04-29,9.5
1986-05-29,9.54
1986-06-29,9.46
1986-07-30,10.93
1986-08-28,10.91
1986-09-29,10.89
1986-10-30,10.91
1986-11-27,10.9
1986-12-30,10.89
1987-01-29,10.82
1987-02-26,10.78
1987-03-30,10.73
1987-04-29,10.68
1987-05-28,10.64
1987-06-29,10.6
1987-07-30,10.57
1987-08-30,10.52
1987-09-29,10.46
1987-10-29,10.43
1987-11-29,10.43
1987-12-30,10.43
1988-01-28,10.4
1988-02-28,10.37
1988-03-30,10.33
1988-04-28,10.27
1988-05-30,10.24
1988-06-29,10.2
1988-07-28,10.15
1988-08-30,10.11
1988-09-29,10.04
1988-10-30,10.01
1988-11-29,10
1988-12-29,9.98
1989-01-30,9.94
1989-02-27,9.89
1989-03-30,9.84
1989-04-27,9.77
1989-05-30,9.72
1989-06-29,9.7
1989-07-30,9.67
1989-08-30,9.66
1989-09-28,9.63
1989-10-30,9.58
1989-11-29,9.56
1989-12-28,12.1
1990-01-30,11.98
1990-02-27,11.92
1990-03-29,11.85
1990-04-29,11.84
1990-05-30,11.81
1990-06-28,11.75
1990-07-30,11.7
1990-08-30,11.59
1990-09-27,11.5
1990-10-30,11.43
1990-11-29,12.63
1990-12-30,12.63
1991-01-30,12.56
1991-02-27,12.54
1991-03-28,12.52
1991-04-28,12.64
1991-05-30,12.73
1991-06-27,12.74
1991-07-30,12.69
1991-08-29,12.73
1991-09-26,12.67
1991-10-30,12.65
1991-11-28,12.66
1991-12-30,12.75
1992-01-30,12.78
1992-02-27,12.75
1992-03-30,12.69
1992-04-29,12.76
1992-05-28,12.7
1992-06-29,12.61
1992-07-30,12.47
1992-08-30,12.41
1992-09-29,12.58
1992-10-25,12.67
1992-11-29,13.02
1992-12-30,13.12
1993-01-28,13.1
1993-02-25,12.96
1993-03-30,12.87
1993-04-25,12.79
1993-05-27,12.84
1993-06-29,12.91
1993-07-29,12.91
1993-08-30,12.94
1993-09-29,12.89
1993-10-28,12.84
1993-11-29,12.88
1993-12-30,12.85
1994-01-30,19.24
1994-02-27,19.2
1994-03-30,19.13
1994-04-28,19.08
1994-05-30,18.98
1994-06-29,18.9
1994-07-28,18.78
1994-08-30,18.57
1994-09-29,18.46
1994-10-30,18.45
1994-11-29,18.38
1994-12-29,18.25
1995-01-30,18.16
1995-02-27,18.06
1995-03-30,18
1995-04-27,17.9
1995-05-30,17.65
1995-06-29,17.6
1995-07-30,17.6
1995-08-30,17.57
1995-09-28,17.56
1995-10-30,17.48
1995-11-29,17.49
1995-12-28,17.53
1996-01-30,17.4
1996-02-28,17.37
1996-03-28,17.3
1996-04-29,17.23
1996-05-30,17.2
1996-06-27,17.17
1996-07-30,17.13
1996-08-29,17.1
1996-09-29,17.03
1996-10-30,16.97
1996-11-28,16.94
1996-12-30,16.94
1997-01-30,16.87
1997-02-27,16.84
1997-03-30,16.79
1997-04-29,16.75
1997-05-29,16.76
1997-06-29,16.74
1997-07-30,16.66
1997-08-28,16.69
1997-09-29,16.63
1997-10-30,16.59
1997-11-27,16.6
1997-12-30,16.62
1998-01-29,16.59
1998-02-26,16.56
1998-03-30,16.47
1998-04-29,16.5
1998-05-28,16.46
1998-06-29,16.44
1998-07-30,16.42
1998-08-30,16.4
1998-09-29,16.33
1998-10-29,16.29
1998-11-29,16.29
1998-12-30,16.3
1999-01-28,16.26
1999-02-25,16.24
1999-03-30,16.19
1999-04-29,16.07
1999-05-27,16.07
1999-06-29,16.07
1999-07-29,16.02
1999-08-30,15.98
1999-09-29,15.91
1999-10-28,15.88
1999-11-29,15.87
1999-12-30,15.87
2000-01-30,15.82
2000-02-28,15.73
2000-03-30,15.6
2000-04-27,15.59
2000-05-30,15.57
2000-06-29,15.49
2000-07-30,15.46
2000-08-30,15.46
2000-09-28,15.38
2000-10-30,15.35
2000-11-29,15.34
2000-12-28,15.35
2001-01-30,15.25
2001-02-27,15.19
2001-03-29,15.16
2001-04-29,15.1
2001-05-30,15.03
2001-06-28,15
2001-07-30,15.05
2001-08-30,15.05
2001-09-27,14.98
2001-10-30,15.03
2001-11-29,15.06
2001-12-30,15.11
2002-01-30,15.08
2002-02-27,15.02
2002-03-28,14.94
2002-04-29,14.85
2002-05-30,14.85
2002-06-27,14.85
2002-07-30,14.83
2002-08-29,14.78
2002-09-29,14.76
2002-10-30,14.73
2002-11-28,14.73
2002-12-30,14.76
2003-01-30,14.7
2003-02-27,14.59
2003-03-30,14.5
2003-04-29,14.53
2003-05-29,14.55
2003-06-29,14.54
2003-07-30,14.52
2003-08-28,14.47
2003-09-29,14.42
2003-10-30,14.44
2003-11-27,14.48
2003-12-30,14.49
2004-01-29,14.42
2004-02-26,14.34
2004-03-30,14.25
2004-04-29,14.21
2004-05-27,14.12
2004-06-29,14.08
2004-07-29,14.1
2004-08-30,14.09
2004-09-29,14.06
2004-10-28,13.99
2004-11-29,13.98
2004-12-30,14.03
2005-01-30,14.01
2005-02-27,13.92
2005-03-30,13.82
2005-04-28,13.72
2005-05-30,13.74
2005-06-29,13.73
2005-07-28,13.39
2005-08-30,13.3
2005-09-29,13.13
2005-10-30,13.08
2005-11-29,13.19
2005-12-29,13.23
2006-01-30,13.11
2006-02-27,13.05
2006-03-30,12.95
2006-04-27,12.84
2006-05-30,12.78
2006-06-29,12.7
2006-07-30,12.63
2006-08-30,12.58
2006-09-28,12.56
2006-10-30,12.6
2006-11-29,12.53
2006-12-28,12.47
2007-01-30,12.38
2007-02-27,12.27
2007-03-29,12.13
2007-04-29,12.03
2007-05-30,11.87
2007-06-28,11.78
2007-07-30,11.72
2007-08-30,11.71
2007-09-27,11.59
2007-10-30,11.53
2007-11-29,11.34
2007-12-30,11.2
2008-01-30,10.97
2008-02-28,10.83
2008-03-30,10.59
2008-04-29,10.5
2008-05-29,10.33
2008-06-29,10.11
2008-07-30,10.03
2008-08-28,10.06
2008-09-29,10.01
2008-10-30,10.19
2008-11-27,10.37
2008-12-30,10.46
2009-01-29,10.45
2009-02-26,10.4
2009-03-30,10.36
2009-04-29,10.32
2009-05-28,10.3
2009-06-29,10.21
2009-07-30,10.23
2009-08-30,10.21
2009-09-29,10.2
2009-10-29,10.19
2009-11-29,10.18
2009-12-30,10.2
2010-01-28,10.17
2010-02-25,10.16
2010-03-30,10.12
2010-04-29,10.09
2010-05-27,10.1
2010-06-29,10.03
2010-07-29,10.02
2010-08-30,10.06
2010-09-29,9.88
2010-10-28,9.84
2010-11-29,9.83
2010-12-29,9.71
2011-01-30,9.67
2011-02-27,9.58
2011-03-30,9.45
2011-04-28,9.31
2011-05-30,9.25
