date,value
1971-12-07,347.79
1972-01-03,303.12
1973-12-30,271.31
1974-12-30,291.84
1975-12-30,296.78
1976-12-30,296.45
1977-12-30,268.62
1978-12-30,210.39
1979-12-30,219.02
1980-12-30,226.63
1981-12-30,220.63
1982-12-30,249.06
1983-12-30,237.55
1984-12-30,237.46
1985-12-30,238.47
1986-12-30,168.35
1987-12-30,144.6
1988-12-30,128.17
1989-12-30,138.07
1990-12-30,145
1991-12-30,134.59
1992-12-30,126.78
1993-12-30,111.08
1994-12-30,102.18
1995-12-30,93.96
1996-12-30,108.78
1997-12-30,121.06
1998-12-30,130.99
1999-12-30,113.73
2000-12-30,107.8
2001-12-30,121.57
2002-12-30,125.22
2003-12-30,115.94
2004-12-30,108.15
2005-12-30,110.11
2006-12-30,116.31
2007-12-30,117.76
2008-12-30,103.39
2009-12-30,93.68
2010-12-30,87.78
2011-12-30,79.7
2012-12-30,79.82
2013-12-30,97.6
2014-12-30,105.74
2015-12-30,121.05
2016-12-30,108.65
2017-12-30,112.15
2018-12-30,110.34
2019-12-30,109.01
2020-12-30,106.76
2021-12-30,109.84
2022-12-30,131.5
2023-12-30,140.94
2024-12-30,151.48
2025-12-30,149.41
