date,value
1972-01-03,-4.24
1973-12-30,-7.09
1974-12-30,7.4
1975-12-30,1.38
1976-12-30,-3.96
1977-12-30,-18.12
1978-12-30,-19.03
1979-12-30,23.67
1980-12-30,-15.48
1981-12-30,8.22
1982-12-30,6.78
1983-12-30,-1.28
1984-12-30,8.59
1985-12-30,-20.41
1986-12-30,-20.95
1987-12-30,-23.4
1988-12-30,3.13
1989-12-30,14.99
1990-12-30,-5.6
1991-12-30,-7.99
1992-12-30,-0.04
1993-12-30,-10.53
1994-12-30,-10.83
1995-12-30,3.69
1996-12-30,12.09
1997-12-30,12.68
1998-12-30,-13.32
1999-12-30,-9.66
2000-12-30,11.93
2001-12-30,14.6
2002-12-30,-9.38
2003-12-30,-9.79
2004-12-30,-4.15
2005-12-30,14.8
2006-12-30,0.97
2007-12-30,-6.14
2008-12-30,-18.73
2009-12-30,2.52
2010-12-30,-12.26
2011-12-30,-5.74
2012-12-30,12.55
2013-12-30,21.48
2014-12-30,13.87
2015-12-30,0.35
2016-12-30,-2.75
2017-12-30,-3.65
2018-12-30,-2.69
2019-12-30,-0.89
2020-12-30,-5
2021-12-30,11.49
2022-12-30,13.91
2023-12-30,7.56
2024-12-30,11.55
2025-12-30,-1.74
