date,value
1947-12-30,357.72
1948-08-29,357.56
1949-01-03,357.42
1950-02-22,357.4
1951-10-22,357.4
1952-02-27,357.4
1953-04-18,357.39
1954-11-28,339.85
1955-01-17,335.35
1956-06-11,329.5
1957-01-21,327.44
1958-12-07,315.01
1959-10-22,310.56
1960-03-17,303.4
1961-01-31,304.32
1962-09-29,304.88
1963-02-04,304.69
1964-03-25,300.93
1965-02-08,301.39
1966-12-25,301.11
1967-05-20,301.11
1968-12-29,301.11
1969-02-17,301.11
1970-07-13,301.66
1971-11-18,301.39
1972-07-18,265.67
1973-03-29,265.96
1973-04-29,265.53
1973-05-30,264.69
1973-06-28,263.16
1973-07-30,263.44
1973-08-30,265.39
1973-09-27,265.6
1973-10-30,266.95
1973-11-29,280.11
1973-12-30,280.27
1974-01-30,298.77
1974-02-27,288.43
1974-03-28,276.09
1974-04-29,279.64
1974-05-30,281.93
1974-06-27,284.25
1974-07-30,298.24
1974-08-29,302.94
1974-09-29,298.33
1974-10-30,299.94
1974-11-28,300.3
1974-12-30,301.02
1975-01-30,297.97
1975-02-27,286.45
1975-03-30,294.03
1975-04-29,292.23
1975-05-29,291.55
1975-06-29,295.68
1975-07-30,297.71
1975-08-28,297.97
1975-09-29,302.85
1975-10-30,301.75
1975-11-27,303.12
1975-12-30,305.16
1976-01-29,303.67
1976-02-26,302.11
1976-03-30,299.58
1976-04-29,299.04
1976-05-27,300.03
1976-06-29,297.97
1976-07-29,293.26
1976-08-30,289.35
1976-09-29,286.86
1976-10-28,294.38
1976-11-29,297.09
1976-12-30,293.08
1977-01-30,288.43
1977-02-27,282.81
1977-03-30,277.55
1977-04-28,277.78
1977-05-30,277.28
1977-06-29,267.59
1977-07-28,266.81
1977-08-30,267.5
1977-09-29,263.71
1977-10-30,249.13
1977-11-29,244.02
1977-12-29,239.98
1978-01-30,241.6
1978-02-27,238.1
1978-03-30,229.89
1978-04-27,224.97
1978-05-30,221.34
1978-06-29,203.71
1978-07-30,189.14
1978-08-30,190.51
1978-09-28,189.19
1978-10-30,179.5
1978-11-29,199.1
1978-12-28,194.3
1979-01-30,202.2
1979-02-27,202.65
1979-03-29,209.58
1979-04-29,221.8
1979-05-30,220.35
1979-06-28,217.8
1979-07-30,216.7
1979-08-30,220.4
1979-09-27,224.5
1979-10-30,237.85
1979-11-29,249.55
1979-12-30,240.3
1980-01-30,239.33
1980-02-28,251.65
1980-03-30,249.95
1980-04-29,239.35
1980-05-29,223
1980-06-29,219.9
1980-07-30,227.4
1980-08-28,219.1
1980-09-29,210.85
1980-10-30,211.05
1980-11-27,216.6
1980-12-30,203.1
1981-01-29,206.7
1981-02-26,209.7
1981-03-30,211.25
1981-04-29,215.78
1981-05-28,223.9
1981-06-29,226.85
1981-07-30,240.4
1981-08-30,230.5
1981-09-29,232.3
1981-10-29,232.8
1981-11-29,214.2
1981-12-30,219.8
1982-01-28,228.3
1982-02-25,237.25
1982-03-30,248.25
1982-04-29,235.85
1982-05-27,243.3
1982-06-29,255
1982-07-29,258.1
1982-08-30,261.1
1982-09-29,268.3
1982-10-28,277.1
1982-11-29,249.2
1982-12-30,234.7
1983-01-30,239.85
1983-02-27,237.85
1983-03-30,239
1983-04-28,238.3
1983-05-30,238.85
1983-06-29,239.28
1983-07-28,241.75
1983-08-30,246.45
1983-09-29,235.65
1983-10-30,234.05
1983-11-29,232.5
1983-12-29,231.7
1984-01-30,234.67
1984-02-28,233.43
1984-03-29,224.75
1984-04-29,227
1984-05-30,231.58
1984-06-28,237.3
1984-07-30,245.3
1984-08-30,241.9
1984-09-27,246.9
1984-10-30,245.7
1984-11-29,247.5
1984-12-30,251.6
1985-01-30,254.8
1985-02-27,259.45
1985-03-28,251
1985-04-29,251.5
1985-05-30,251.2
1985-06-27,248.4
1985-07-30,236.45
1985-08-29,239
1985-09-29,216.5
1985-10-30,211.55
1985-11-28,202.1
1985-12-30,200.25
1986-01-30,192.3
1986-02-27,180.55
1986-03-30,177.6
1986-04-29,167.6
1986-05-29,174.5
1986-06-29,163.8
1986-07-30,153.85
1986-08-28,154.55
1986-09-29,154.35
1986-10-30,163.4
1986-11-27,162.05
1986-12-30,158.3
1987-01-29,153.65
1987-02-26,153.27
1987-03-30,145.68
1987-04-29,140.67
1987-05-28,144.1
1987-06-29,146.8
1987-07-30,149.9
