date,value
1947-12-30,2899.16
1948-08-29,2890.6
1949-01-03,2882.24
1950-02-22,2874.9
1951-10-22,2860.63
1952-02-27,2839.49
1953-04-18,2832.43
1954-11-28,2686.82
1955-01-17,2651.25
1956-06-11,2598.63
1957-01-21,2582.38
1958-12-07,2472.26
1959-10-22,2437.34
1960-03-17,2369.61
1961-01-31,2371.06
1962-09-29,2369.7
1963-02-04,2362.53
1964-03-25,2327.78
1965-02-08,2320.21
1966-12-25,2312.53
1967-05-20,2307.04
1968-12-29,2296.13
1969-02-17,2290.72
1970-07-13,2289.5
1971-11-18,2282.08
1972-07-18,1997.55
1973-03-29,1981.25
1973-04-29,1964.44
1973-05-30,1944.84
1973-06-28,1920.48
1973-07-30,1918.18
1973-08-30,1898.1
1973-09-27,1895.4
1973-10-30,1888.33
1973-11-29,1968.47
1973-12-30,1956.8
1974-01-30,2068.06
1974-02-27,1971.11
1974-03-28,1863.09
1974-04-29,1879.19
1974-05-30,1871.19
1974-06-27,1871.18
1974-07-30,1947.38
1974-08-29,1954.33
1974-09-29,1901.77
1974-10-30,1893.33
1974-11-28,1880.88
1974-12-30,1870.85
1975-01-30,1844.79
1975-02-27,1759.95
1975-03-30,1799.67
1975-04-29,1781.89
1975-05-29,1767.72
1975-06-29,1779.38
1975-07-30,1771.76
1975-08-28,1770.05
1975-09-29,1789.15
1975-10-30,1772.91
1975-11-27,1768.08
1975-12-30,1773.56
1976-01-29,1761.73
1976-02-26,1746.4
1976-03-30,1728.67
1976-04-29,1719.41
1976-05-27,1712.88
1976-06-29,1692.14
1976-07-29,1656.64
1976-08-30,1626.01
1976-09-29,1606.42
1976-10-28,1639.99
1976-11-29,1652.24
1976-12-30,1624.33
1977-01-30,1590.36
1977-02-27,1543.54
1977-03-30,1504.65
1977-04-28,1493.35
1977-05-30,1483.25
1977-06-29,1421.98
1977-07-28,1410.86
1977-08-30,1409.89
1977-09-29,1385.38
1977-10-30,1304.54
1977-11-29,1271.59
1977-12-29,1246.51
1978-01-30,1246.89
1978-02-27,1221.01
1978-03-30,1169.61
1978-04-27,1135.63
1978-05-30,1106.91
1978-06-29,1007.81
1978-07-30,928.6
1978-08-30,931.08
1978-09-28,917.67
1978-10-30,862.89
1978-11-29,952.85
1978-12-28,925.75
1979-01-30,954.93
1979-02-27,945.98
1979-03-29,968.51
1979-04-29,1013.37
1979-05-30,994.07
1979-06-28,971.7
1979-07-30,956.21
1979-08-30,963.31
1979-09-27,970.71
1979-10-30,1020.23
1979-11-29,1060.54
1979-12-30,1010.58
1980-01-30,992.27
1980-02-28,1028.8
1980-03-30,1006.54
1980-04-29,953.15
1980-05-29,879.35
1980-06-29,857.69
1980-07-30,886.95
1980-08-28,848.42
1980-09-29,809.67
1980-10-30,802.79
1980-11-27,817.15
1980-12-30,759.12
1981-01-29,766.36
1981-02-26,769.52
1981-03-30,769.95
1981-04-29,781.17
1981-05-28,804.25
1981-06-29,807.65
1981-07-30,846.55
1981-08-30,805.53
1981-09-29,803.98
1981-10-29,803.99
1981-11-29,737.38
1981-12-30,754.24
1982-01-28,780.92
1982-02-25,808.96
1982-03-30,847.36
1982-04-29,801.64
1982-05-27,819.2
1982-06-29,847.97
1982-07-29,853.88
1982-08-30,862.03
1982-09-29,884
1982-10-28,910.2
1982-11-29,820.23
1982-12-30,775.67
1983-01-30,791.07
1983-02-27,783.67
1983-03-30,787.46
1983-04-28,779.58
1983-05-30,776.65
1983-06-29,775.7
1983-07-28,780.57
1983-08-30,793.36
1983-09-29,754.83
1983-10-30,747.48
1983-11-29,741.06
1983-12-29,737.78
1984-01-30,742.84
1984-02-28,735.31
1984-03-29,706.58
1984-04-29,710.2
1984-05-30,722.42
1984-06-28,738.13
1984-07-30,760.08
1984-08-30,746.67
1984-09-27,758.48
1984-10-30,752.64
1984-11-29,758.16
1984-12-30,770.72
1985-01-30,779.04
1985-02-27,789.51
1985-03-28,760.93
1985-04-29,758.88
1985-05-30,755.15
1985-06-27,744.65
1985-07-30,707.51
1985-08-29,713.82
1985-09-29,644.82
1985-10-30,627.76
1985-11-28,598.07
1985-12-30,590.97
1986-01-30,565.95
1986-02-27,532.83
1986-03-30,526.53
1986-04-29,497.8
1986-05-29,516.87
1986-06-29,482.52
1986-07-30,453.21
1986-08-28,454.44
1986-09-29,451.79
1986-10-30,477.85
1986-11-27,473.47
1986-12-30,462.09
1987-01-29,445.7
1987-02-26,443
1987-03-30,419.19
1987-04-29,402.61
1987-05-28,410.97
1987-06-29,417.2
1987-07-30,424.88
1987-08-30,399.68
1987-09-29,410.91
1987-10-29,387.19
1987-11-29,370.13
1987-12-30,338.91
1988-01-28,356.16
1988-02-28,357.18
1988-03-30,343.6
1988-04-28,344.1
1988-05-30,343.45
1988-06-29,365.01
1988-07-28,362.17
1988-08-30,370.05
1988-09-29,360.53
1988-10-30,336.78
1988-11-29,326.85
1988-12-29,334.74
1989-01-30,347.6
1989-02-27,336.54
1989-03-30,350.18
1989-04-27,348.11
1989-05-30,370.84
1989-06-29,374.29
1989-07-30,355.1
1989-08-30,374.34
1989-09-28,360.24
1989-10-30,366.55
1989-11-29,366.14
1989-12-28,367.84
1990-01-30,365.98
1990-02-27,375.03
1990-03-29,395.54
1990-04-29,397.51
1990-05-30,381.08
1990-06-28,378.31
1990-07-30,361.47
1990-08-30,352.78
1990-09-27,336.1
1990-10-30,313.98
1990-11-29,320.87
1990-12-30,327.26
1991-01-30,315.01
1991-02-27,318.13
1991-03-28,335.94
1991-04-29,325.38
1991-05-30,329.34
1991-06-27,327.07
1991-07-30,325.45
1991-08-29,323.15
1991-09-29,312.33
1991-10-30,306.6
1991-11-28,304.49
1991-12-30,292.15
1992-01-30,293.25
1992-02-27,300.57
1992-03-30,307.79
1992-04-29,308.22
1992-05-28,294.97
1992-06-29,289.59
1992-07-30,292.37
1992-08-30,281.47
1992-09-29,273.94
1992-10-29,280.48
1992-11-29,282.63
1992-12-30,283.8
1993-01-28,282.68
1993-02-25,266.21
1993-03-30,258.09
1993-04-29,249.25
1993-05-27,239.73
1993-06-29,238.57
1993-07-29,234.66
1993-08-30,233.3
1993-09-29,235.75
1993-10-28,239.87
1993-11-29,241.32
1993-12-30,247.12
1994-01-30,239.87
1994-02-27,229.16
1994-03-30,224.39
1994-04-28,223.32
1994-05-30,229.05
1994-06-29,214.7
1994-07-28,217.47
1994-08-30,216.72
1994-09-29,213.85
1994-10-30,209.07
1994-11-29,213.12
1994-12-29,214.61
1995-01-30,213.39
1995-02-27,206.49
1995-03-30,185.04
1995-04-27,178.46
1995-05-30,179.4
1995-06-29,179.32
1995-07-30,186.85
1995-08-30,206.22
1995-09-28,208.65
1995-10-30,214.61
1995-11-29,213.78
1995-12-28,217.03
1996-01-30,223.43
1996-02-28,218.9
1996-03-28,221.67
1996-04-29,215.93
1996-05-30,222.44
1996-06-27,225.36
1996-07-30,219.36
1996-08-29,222.9
1996-09-29,228.23
1996-10-30,231.86
1996-11-28,231.61
1996-12-30,235.45
1997-01-30,245.82
1997-02-27,244.2
1997-03-30,249.42
1997-04-29,255.77
1997-05-29,234.52
1997-06-29,230.62
1997-07-30,237.89
1997-08-28,242.02
1997-09-29,241.54
1997-10-30,240.3
1997-11-27,255.13
1997-12-30,260.87
1998-01-29,253.7
1998-02-26,251.27
1998-03-30,265.07
1998-04-29,262.75
1998-05-28,274.41
1998-06-29,273.66
1998-07-30,285.9
1998-08-30,278.14
1998-09-29,269.31
1998-10-29,229.04
1998-11-29,242.33
1998-12-30,222.55
1999-01-28,227.74
1999-02-25,232.75
1999-03-30,231.52
1999-04-29,231.79
1999-05-27,234.6
1999-06-29,234.72
1999-07-29,221.94
1999-08-30,210.99
1999-09-29,205.22
1999-10-28,200
1999-11-29,195.11
1999-12-30,195.8
2000-01-30,205.1
2000-02-28,208.73
2000-03-30,193.56
2000-04-27,203.33
2000-05-30,202.64
2000-06-29,198.59
2000-07-30,204.74
2000-08-30,199.1
2000-09-28,200.37
2000-10-30,202.34
2000-11-29,205.52
2000-12-28,211.98
2001-01-30,214.41
2001-02-27,215.19
2001-03-29,229.82
2001-04-29,225.32
2001-05-30,215.79
2001-06-28,226.03
2001-07-30,227.16
2001-08-30,215.8
2001-09-27,215.7
2001-10-30,222.43
2001-11-29,224.05
2001-12-30,239.21
2002-01-30,244.17
2002-02-27,243.03
2002-03-28,239.4
2002-04-29,230.44
2002-05-30,222.69
2002-06-27,214.89
2002-07-30,214.51
2002-08-29,211.99
2002-09-29,216.95
2002-10-30,218.44
2002-11-28,218.34
2002-12-30,211.74
2003-01-30,212.96
2003-02-27,208.26
2003-03-30,206.76
2003-04-29,208.96
2003-05-29,210.06
2003-06-29,210.48
2003-07-30,211.22
2003-08-28,203.93
2003-09-29,194.08
2003-10-30,191.97
2003-11-27,191.49
2003-12-30,187.5
2004-01-29,184.34
2004-02-26,189.28
2004-03-30,179.32
2004-04-29,189.37
2004-05-27,187.94
2004-06-29,186.07
2004-07-29,189.7
2004-08-30,185.54
2004-09-29,187.18
2004-10-28,179.17
2004-11-29,174.01
2004-12-30,174.04
2005-01-30,175.15
2005-02-27,175.32
2005-03-30,178.92
2005-04-28,173.45
2005-05-30,179.15
2005-06-29,183.93
2005-07-28,185.3
2005-08-30,182.04
2005-09-29,183.82
2005-10-30,188.42
2005-11-29,195.33
2005-12-29,193.21
2006-01-30,190.12
2006-02-27,188.02
2006-03-30,189.66
2006-04-27,182.15
2006-05-30,178.82
2006-06-29,182.04
2006-07-30,181.39
2006-08-30,185.64
2006-09-28,187.58
2006-10-30,186.73
2006-11-29,184.97
2006-12-28,190.24
2007-01-30,192.85
2007-02-27,187.56
2007-03-29,184.66
2007-04-29,186.4
2007-05-30,188.87
2007-06-28,191.03
2007-07-30,184.48
2007-08-30,179.7
2007-09-27,177.87
2007-10-30,177.96
2007-11-29,170.38
2007-12-30,171.56
2008-01-30,163.11
2008-02-28,158.76
2008-03-30,150.84
2008-04-29,156.95
2008-05-29,157.03
2008-06-29,156.51
2008-07-30,158.52
2008-08-28,160.02
2008-09-29,156.19
2008-10-30,146.38
2008-11-27,144.95
2008-12-30,139.3
2009-01-29,137.23
2009-02-26,148.58
2009-03-30,150.36
2009-04-29,149.39
2009-05-28,144.12
2009-06-29,144.19
2009-07-30,141.61
2009-08-30,138.72
2009-09-29,133.66
2009-10-29,135.04
2009-11-29,128.41
2009-12-30,139.03
2010-01-28,134.54
2010-02-25,132.21
2010-03-30,138.43
2010-04-29,139.44
2010-05-27,134.26
2010-06-29,130.95
2010-07-29,127.88
2010-08-30,124.26
2010-09-29,123.35
2010-10-28,118.69
2010-11-29,123.18
2010-12-29,120.19
2011-01-30,120.06
2011-02-27,119.43
2011-03-30,119.46
2011-04-28,116.62
2011-05-30,116.04
2011-06-29,115.24
2011-07-28,110.19
2011-08-30,108.92
2011-09-29,109.53
2011-10-30,111.08
2011-11-29,110.61
2011-12-29,110.03
2012-01-30,108.64
2012-02-28,114.91
