date,value
1995-12-30,57.42
1996-12-30,2.42
1997-12-30,2.34
1998-12-30,23.2
1999-12-30,-4.41
2000-12-30,1.29
2001-12-30,-4.81
2002-12-30,13.94
2003-12-30,7.64
2004-12-30,-0.77
2005-12-30,-4.66
2006-12-30,1.71
2007-12-30,0.85
2008-12-30,25.28
2009-12-30,-4.22
2010-12-30,-5.49
2011-12-30,12.89
2012-12-30,-7.79
2013-12-30,1.35
2014-12-30,13.11
2015-12-30,16.73
2016-12-30,20.45
2017-12-30,-5.15
2018-12-30,-0.06
2019-12-30,-3.64
2020-12-30,5.03
2021-12-30,3.08
2022-12-30,-4.95
2023-12-30,-12.87
2024-12-30,23
2025-12-30,-13.95
